"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"15"	"AF321523|AF321523"	9787	9804	"+"	15	26.0715	16	2.8881	2284	2301	9787	1	1	17	17	NA	18	9913	10353	"AF082339|AF082339"	16	19	TRUE	"AF082339|AF082339"	2284	2301	18	"*"	16	10353
"5"	"AF321523|AF321523"	9698	9737	"+"	5	50.303	33	1.45405e-07	835	876	9698	1	1	39	39	2	42	9913	10353	"AF082339|AF082339"	33	18	TRUE	"AF082339|AF082339"	835	876	42	"*"	33	10353
"10"	"AF321523|AF321523"	9401	9466	"+"	10	33.1984	21	0.0206126	429	498	9401	1	1	49	49	4	70	9913	10353	"AF082339|AF082339"	21	16	TRUE	"AF082339|AF082339"	429	498	70	"*"	21	10353
"3"	"AF321523|AF321523"	8986	9348	"+"	3	114.445	78	6.98528e-27	9410	9766	8986	1	1	239	239	18	369	9913	10353	"AF082339|AF082339"	78	15	TRUE	"AF082339|AF082339"	9410	9766	357	"*"	78	10353
"9"	"AF321523|AF321523"	8060	8329	"+"	9	37.4745	24	0.0010623	8535	8804	8060	1	1	161	161	12	276	9913	10353	"AF082339|AF082339"	24	13	TRUE	"AF082339|AF082339"	8535	8804	270	"*"	24	10353
"17"	"AF321523|AF321523"	7112	7141	"+"	17	26.0715	16	2.8881	6302	6331	7112	1	1	23	23	NA	30	9913	10353	"AF082339|AF082339"	16	12	TRUE	"AF082339|AF082339"	6302	6331	30	"*"	16	10353
"8"	"AF321523|AF321523"	6665	6915	"+"	8	40.3253	26	0.000147114	7155	7402	6665	1	1	144	144	5	252	9913	10353	"AF082339|AF082339"	26	11	TRUE	"AF082339|AF082339"	7155	7402	248	"*"	26	10353
"7"	"AF321523|AF321523"	5877	6034	"+"	7	50.303	33	1.45405e-07	6544	6695	5877	1	1	100	100	6	158	9913	10353	"AF082339|AF082339"	33	10	TRUE	"AF082339|AF082339"	6544	6695	152	"*"	33	10353
"1"	"AF321523|AF321523"	2235	5027	"+"	1	1140.72	798	0	2631	5420	2235	1	1	1842	1842	39	2811	9913	10353	"AF082339|AF082339"	798	9	TRUE	"AF082339|AF082339"	2631	5420	2790	"*"	798	10353
"14"	"AF321523|AF321523"	2146	2166	"+"	14	27.4968	17	1.07477	2461	2481	2146	1	1	19	19	NA	21	9913	10353	"AF082339|AF082339"	17	8	TRUE	"AF082339|AF082339"	2461	2481	21	"*"	17	10353
"2"	"AF321523|AF321523"	1232	2085	"+"	2	382.417	266	1.36463e-107	1550	2397	1232	1	1	578	578	18	860	9913	10353	"AF082339|AF082339"	266	7	TRUE	"AF082339|AF082339"	1550	2397	848	"*"	266	10353
"4"	"AF321523|AF321523"	781	1010	"+"	4	103.042	70	1.89921e-23	1084	1313	781	1	1	150	150	NA	230	9913	10353	"AF082339|AF082339"	70	6	TRUE	"AF082339|AF082339"	1084	1313	230	"*"	70	10353
"16"	"AF321523|AF321523"	709	726	"+"	16	26.0715	16	2.8881	2284	2301	709	1	1	17	17	NA	18	9913	10353	"AF082339|AF082339"	16	5	TRUE	"AF082339|AF082339"	2284	2301	18	"*"	16	10353
"6"	"AF321523|AF321523"	620	659	"+"	6	50.303	33	1.45405e-07	835	876	620	1	1	39	39	2	42	9913	10353	"AF082339|AF082339"	33	4	TRUE	"AF082339|AF082339"	835	876	42	"*"	33	10353
"12"	"AF321523|AF321523"	323	370	"+"	12	30.3476	19	0.148842	429	477	323	1	1	35	35	1	49	9913	10353	"AF082339|AF082339"	19	2	TRUE	"AF082339|AF082339"	429	477	49	"*"	19	10353
"19"	"AF321523|AF321523"	144	174	"-"	19	27.4968	17	1.07477	7478	7508	144	1	-1	24	24	NA	31	9913	10353	"AF082339|AF082339"	17	1	TRUE	"AF082339|AF082339"	7478	7508	31	"*"	17	10353
