"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"8"	"AB253712|AB253712"	10143	10294	"+"	8	80.236	54	1.38808e-16	405	553	10143	1	1	115	115	11	156	10340	9815	"L40990|SIVREV"	54	36	TRUE	"L40990|SIVREV"	405	553	149	"*"	156	9815
"4"	"AB253712|AB253712"	9683	9950	"+"	4	113.02	77	1.85578e-26	8982	9249	9683	1	1	180	180	6	271	10340	9815	"L40990|SIVREV"	77	33	TRUE	"L40990|SIVREV"	8982	9249	268	"*"	271	9815
"7"	"AB253712|AB253712"	8780	9148	"+"	7	87.3629	59	9.90649e-19	8226	8594	8780	1	1	224	224	8	373	10340	9815	"L40990|SIVREV"	59	31	TRUE	"L40990|SIVREV"	8226	8594	369	"*"	373	9815
"34"	"AB253712|AB253712"	8747	8767	"-"	34	24.6461	15	7.67412	9100	9120	8747	1	-1	18	18	NA	21	10340	9815	"L40990|SIVREV"	15	28	TRUE	"L40990|SIVREV"	9100	9120	21	"*"	21	9815
"28"	"AB253712|AB253712"	8480	8496	"+"	28	24.6461	15	7.67412	5537	5553	8480	1	1	16	16	NA	17	10340	9815	"L40990|SIVREV"	15	27	TRUE	"L40990|SIVREV"	5537	5553	17	"*"	17	9815
"29"	"AB253712|AB253712"	7895	7915	"+"	29	24.6461	15	7.67412	4933	4953	7895	1	1	18	18	NA	21	10340	9815	"L40990|SIVREV"	15	26	TRUE	"L40990|SIVREV"	4933	4953	21	"*"	21	9815
"31"	"AB253712|AB253712"	6438	6466	"+"	31	24.6461	15	7.67412	5988	6016	6438	1	1	22	22	NA	29	10340	9815	"L40990|SIVREV"	15	25	TRUE	"L40990|SIVREV"	5988	6016	29	"*"	29	9815
"32"	"AB253712|AB253712"	6262	6291	"-"	32	26.0715	16	2.85583	9766	9795	6262	1	-1	23	23	NA	30	10340	9815	"L40990|SIVREV"	16	23	TRUE	"L40990|SIVREV"	9766	9795	30	"*"	30	9815
"26"	"AB253712|AB253712"	6226	6247	"+"	26	26.0715	16	2.85583	1097	1118	6226	1	1	19	19	NA	22	10340	9815	"L40990|SIVREV"	16	22	TRUE	"L40990|SIVREV"	1097	1118	22	"*"	22	9815
"3"	"AB253712|AB253712"	5332	5722	"+"	3	229.901	159	1.16342e-61	4880	5270	5332	1	1	280	280	4	393	10340	9815	"L40990|SIVREV"	159	20	TRUE	"L40990|SIVREV"	4880	5270	391	"*"	393	9815
"1"	"AB253712|AB253712"	2367	5056	"+"	1	1169.23	818	0	2578	5270	2367	1	1	1813	1813	49	2716	10340	9815	"L40990|SIVREV"	818	17	TRUE	"L40990|SIVREV"	2578	5270	2693	"*"	2716	9815
"17"	"AB253712|AB253712"	1973	2107	"+"	17	48.8776	32	3.86346e-07	2142	2273	1973	1	1	86	86	3	135	10340	9815	"L40990|SIVREV"	32	11	TRUE	"L40990|SIVREV"	2142	2273	132	"*"	135	9815
"2"	"AB253712|AB253712"	1234	1902	"+"	2	390.969	272	3.58051e-110	1391	2062	1234	1	1	475	475	3	672	10340	9815	"L40990|SIVREV"	272	9	TRUE	"L40990|SIVREV"	1391	2062	672	"*"	672	9815
"6"	"AB253712|AB253712"	809	994	"+"	6	103.042	70	1.8777e-23	942	1127	809	1	1	128	128	NA	186	10340	9815	"L40990|SIVREV"	70	8	TRUE	"L40990|SIVREV"	942	1127	186	"*"	186	9815
"20"	"AB253712|AB253712"	623	656	"+"	20	46.0268	30	2.78979e-06	713	746	623	1	1	32	32	NA	34	10340	9815	"L40990|SIVREV"	30	7	TRUE	"L40990|SIVREV"	713	746	34	"*"	34	9815
"10"	"AB253712|AB253712"	350	501	"+"	10	77.3852	52	1.00233e-15	405	553	350	1	1	114	114	11	156	10340	9815	"L40990|SIVREV"	52	5	TRUE	"L40990|SIVREV"	405	553	149	"*"	156	9815
"13"	"AB253712|AB253712"	1	157	"+"	13	58.8553	39	3.81849e-10	1	157	1	1	1	103	103	4	159	10340	9815	"L40990|SIVREV"	39	1	TRUE	"L40990|SIVREV"	1	157	157	"*"	159	9815
