"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"19"	"MH705144|MH705144"	9688	9735	"+"	19	30.3476	19	0.142212	629	678	9688	1	1	39	39	4	51	9802	10006	"AF131870|AF131870"	19	25	TRUE	"AF131870|AF131870"	629	678	50	"*"	19	10006
"11"	"MH705144|MH705144"	9546	9662	"+"	11	56.0045	37	2.66389e-09	416	530	9546	1	1	85	85	8	120	9802	10006	"AF131870|AF131870"	37	24	TRUE	"AF131870|AF131870"	416	530	115	"*"	37	10006
"3"	"MH705144|MH705144"	9046	9306	"+"	3	131.55	90	4.70386e-32	9131	9391	9046	1	1	178	178	2	262	9802	10006	"AF131870|AF131870"	90	22	TRUE	"AF131870|AF131870"	9131	9391	261	"*"	90	10006
"18"	"MH705144|MH705144"	8299	8426	"+"	18	40.3253	26	0.00014055	8537	8664	8299	1	1	82	82	4	130	9802	10006	"AF131870|AF131870"	26	20	TRUE	"AF131870|AF131870"	8537	8664	128	"*"	26	10006
"9"	"MH705144|MH705144"	7864	8128	"+"	9	67.4076	45	9.79721e-13	8120	8384	7864	1	1	160	160	4	267	9802	10006	"AF131870|AF131870"	45	18	TRUE	"AF131870|AF131870"	8120	8384	265	"*"	45	10006
"23"	"MH705144|MH705144"	7719	7745	"+"	23	24.6461	15	7.41547	6934	6960	7719	1	1	21	21	NA	27	9802	10006	"AF131870|AF131870"	15	17	TRUE	"AF131870|AF131870"	6934	6960	27	"*"	15	10006
"24"	"MH705144|MH705144"	6571	6615	"+"	24	24.6461	15	7.41547	6713	6757	6571	1	1	30	30	NA	45	9802	10006	"AF131870|AF131870"	15	16	TRUE	"AF131870|AF131870"	6713	6757	45	"*"	15	10006
"15"	"MH705144|MH705144"	5564	5664	"+"	15	50.303	33	1.38907e-07	5933	6033	5564	1	1	67	67	NA	101	9802	10006	"AF131870|AF131870"	33	15	TRUE	"AF131870|AF131870"	5933	6033	101	"*"	33	10006
"1"	"MH705144|MH705144"	2575	5044	"+"	1	1018.14	712	4.29303e-299	2933	5405	2575	1	1	1651	1651	51	2497	9802	10006	"AF131870|AF131870"	712	14	TRUE	"AF131870|AF131870"	2933	5405	2473	"*"	712	10006
"8"	"MH705144|MH705144"	2300	2517	"+"	8	68.8329	46	3.64586e-13	2646	2869	2300	1	1	142	142	8	225	9802	10006	"AF131870|AF131870"	46	13	TRUE	"AF131870|AF131870"	2646	2869	224	"*"	46	10006
"16"	"MH705144|MH705144"	2024	2132	"+"	16	44.6014	29	7.24316e-06	2325	2433	2024	1	1	77	77	8	113	9802	10006	"AF131870|AF131870"	29	12	TRUE	"AF131870|AF131870"	2325	2433	109	"*"	29	10006
"2"	"MH705144|MH705144"	1561	1892	"+"	2	178.587	123	3.20164e-46	1802	2133	1561	1	1	230	230	2	333	9802	10006	"AF131870|AF131870"	123	11	TRUE	"AF131870|AF131870"	1802	2133	332	"*"	123	10006
"4"	"MH705144|MH705144"	1221	1452	"+"	4	114.445	78	6.66967e-27	1453	1683	1221	1	1	156	156	1	232	9802	10006	"AF131870|AF131870"	78	10	TRUE	"AF131870|AF131870"	1453	1683	231	"*"	78	10006
"10"	"MH705144|MH705144"	873	977	"+"	10	57.4299	38	9.91323e-10	1129	1233	873	1	1	74	74	2	106	9802	10006	"AF131870|AF131870"	38	8	TRUE	"AF131870|AF131870"	1129	1233	105	"*"	38	10006
"17"	"MH705144|MH705144"	645	682	"+"	17	43.1761	28	1.94639e-05	764	801	645	1	1	33	33	NA	38	9802	10006	"AF131870|AF131870"	28	7	TRUE	"AF131870|AF131870"	764	801	38	"*"	28	10006
"21"	"MH705144|MH705144"	536	557	"+"	21	27.4968	17	1.02692	629	651	536	1	1	21	21	1	23	9802	10006	"AF131870|AF131870"	17	5	TRUE	"AF131870|AF131870"	629	651	23	"*"	17	10006
"12"	"MH705144|MH705144"	394	510	"+"	12	56.0045	37	2.66389e-09	416	530	394	1	1	85	85	8	120	9802	10006	"AF131870|AF131870"	37	4	TRUE	"AF131870|AF131870"	416	530	115	"*"	37	10006
"6"	"MH705144|MH705144"	1	154	"+"	6	74.5345	50	6.99184e-15	1	154	1	1	1	102	102	NA	154	9802	10006	"AF131870|AF131870"	50	1	TRUE	"AF131870|AF131870"	1	154	154	"*"	50	10006
