"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"24"	"NC_001722|NC_001722"	9953	10002	"+"	24	26.0715	16	2.89388	369	417	9953	1	1	34	34	1	50	10359	9927	"JQ866001|JQ866001"	16	32	TRUE	"JQ866001|JQ866001"	369	417	49	"*"	16	9927
"30"	"NC_001722|NC_001722"	9845	9869	"+"	30	24.6461	15	7.77634	1860	1884	9845	1	1	20	20	NA	25	10359	9927	"JQ866001|JQ866001"	15	31	TRUE	"JQ866001|JQ866001"	1860	1884	25	"*"	15	9927
"20"	"NC_001722|NC_001722"	9739	9778	"+"	20	26.0715	16	2.89388	232	271	9739	1	1	28	28	NA	40	10359	9927	"JQ866001|JQ866001"	16	29	TRUE	"JQ866001|JQ866001"	232	271	40	"*"	16	9927
"4"	"NC_001722|NC_001722"	9412	9675	"+"	4	120.147	82	1.34236e-28	9191	9454	9412	1	1	173	173	NA	264	10359	9927	"JQ866001|JQ866001"	82	28	TRUE	"JQ866001|JQ866001"	9191	9454	264	"*"	82	9927
"16"	"NC_001722|NC_001722"	9245	9279	"+"	16	33.1984	21	0.0206539	8963	8997	9245	1	1	28	28	NA	35	10359	9927	"JQ866001|JQ866001"	21	25	TRUE	"JQ866001|JQ866001"	8963	8997	35	"*"	21	9927
"7"	"NC_001722|NC_001722"	8564	8821	"+"	7	71.6837	48	5.29665e-14	8270	8527	8564	1	1	158	158	4	260	10359	9927	"JQ866001|JQ866001"	48	24	TRUE	"JQ866001|JQ866001"	8270	8527	258	"*"	48	9927
"6"	"NC_001722|NC_001722"	8256	8493	"+"	6	87.3629	59	1.00399e-18	7914	8151	8256	1	1	151	151	2	239	10359	9927	"JQ866001|JQ866001"	59	23	TRUE	"JQ866001|JQ866001"	7914	8151	238	"*"	59	9927
"17"	"NC_001722|NC_001722"	7964	8190	"+"	17	33.1984	21	0.0206539	7607	7833	7964	1	1	134	134	8	231	10359	9927	"JQ866001|JQ866001"	21	22	TRUE	"JQ866001|JQ866001"	7607	7833	227	"*"	21	9927
"32"	"NC_001722|NC_001722"	7753	7793	"+"	32	24.6461	15	7.77634	3805	3845	7753	1	1	28	28	NA	41	10359	9927	"JQ866001|JQ866001"	15	21	TRUE	"JQ866001|JQ866001"	3805	3845	41	"*"	15	9927
"12"	"NC_001722|NC_001722"	6561	6675	"+"	12	61.706	41	5.35894e-11	6013	6127	6561	1	1	78	78	NA	115	10359	9927	"JQ866001|JQ866001"	41	20	TRUE	"JQ866001|JQ866001"	6013	6127	115	"*"	41	9927
"15"	"NC_001722|NC_001722"	6264	6355	"+"	15	40.3253	26	0.000147409	5689	5780	6264	1	1	59	59	NA	92	10359	9927	"JQ866001|JQ866001"	26	19	TRUE	"JQ866001|JQ866001"	5689	5780	92	"*"	26	9927
"13"	"NC_001722|NC_001722"	5654	5812	"+"	13	53.1537	35	2.01771e-08	5377	5535	5654	1	1	102	102	4	161	10359	9927	"JQ866001|JQ866001"	35	18	TRUE	"JQ866001|JQ866001"	5377	5535	159	"*"	35	9927
