"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"16"	"AF131870|AF131870"	9872	9890	"+"	16	24.6461	15	7.5104	537	555	9872	1	1	17	17	NA	19	10006	9927	"JQ866001|JQ866001"	15	24	TRUE	"JQ866001|JQ866001"	537	555	19	"*"	19	9927
"12"	"AF131870|AF131870"	9673	9767	"+"	12	31.773	20	0.0536003	408	503	9673	1	1	68	68	9	100	10006	9927	"JQ866001|JQ866001"	20	22	TRUE	"JQ866001|JQ866001"	408	503	96	"*"	100	9927
"3"	"AF131870|AF131870"	9136	9390	"+"	3	93.0645	63	1.85887e-20	9182	9436	9136	1	1	163	163	4	257	10006	9927	"JQ866001|JQ866001"	63	21	TRUE	"JQ866001|JQ866001"	9182	9436	255	"*"	257	9927
"15"	"AF131870|AF131870"	8739	8769	"+"	15	26.0715	16	2.79488	6272	6302	8739	1	1	26	26	2	32	10006	9927	"JQ866001|JQ866001"	16	19	TRUE	"JQ866001|JQ866001"	6272	6302	31	"*"	32	9927
"9"	"AF131870|AF131870"	8399	8635	"+"	9	40.3253	26	0.000142354	8258	8497	8399	1	1	148	148	13	245	10006	9927	"JQ866001|JQ866001"	26	18	TRUE	"JQ866001|JQ866001"	8258	8497	240	"*"	245	9927
"4"	"AF131870|AF131870"	8106	8341	"+"	4	60.2807	40	1.3905e-10	7914	8149	8106	1	1	138	138	NA	236	10006	9927	"JQ866001|JQ866001"	40	17	TRUE	"JQ866001|JQ866001"	7914	8149	236	"*"	236	9927
"24"	"AF131870|AF131870"	7977	7993	"-"	24	24.6461	15	7.5104	8147	8163	7977	1	-1	16	16	NA	17	10006	9927	"JQ866001|JQ866001"	15	16	TRUE	"JQ866001|JQ866001"	8147	8163	17	"*"	17	9927
"5"	"AF131870|AF131870"	6681	6756	"+"	5	48.8776	32	3.7807e-07	6633	6708	6681	1	1	54	54	NA	76	10006	9927	"JQ866001|JQ866001"	32	15	TRUE	"JQ866001|JQ866001"	6633	6708	76	"*"	76	9927
"6"	"AF131870|AF131870"	6282	6429	"+"	6	47.4522	31	1.01595e-06	6013	6164	6282	1	1	95	95	4	152	10006	9927	"JQ866001|JQ866001"	31	14	TRUE	"JQ866001|JQ866001"	6013	6164	152	"*"	152	9927
"1"	"AF131870|AF131870"	2716	5405	"+"	1	1099.38	769	0	2473	5153	2716	1	1	1793	1793	57	2714	10006	9927	"JQ866001|JQ866001"	769	13	TRUE	"JQ866001|JQ866001"	2473	5153	2681	"*"	2714	9927
"14"	"AF131870|AF131870"	2332	2359	"+"	14	27.4968	17	1.04008	2062	2090	2332	1	1	24	24	1	29	10006	9927	"JQ866001|JQ866001"	17	9	TRUE	"JQ866001|JQ866001"	2062	2090	29	"*"	29	9927
"7"	"AF131870|AF131870"	2223	2312	"+"	7	46.0268	30	2.73006e-06	2028	2116	2223	1	1	65	65	5	92	10006	9927	"JQ866001|JQ866001"	30	8	TRUE	"JQ866001|JQ866001"	2028	2116	89	"*"	92	9927
"2"	"AF131870|AF131870"	1453	2133	"+"	2	286.916	199	7.6508e-79	1297	1977	1453	1	1	457	457	14	688	10006	9927	"JQ866001|JQ866001"	199	7	TRUE	"JQ866001|JQ866001"	1297	1977	681	"*"	688	9927
"8"	"AF131870|AF131870"	764	793	"+"	8	40.3253	26	0.000142354	640	669	764	1	1	28	28	NA	30	10006	9927	"JQ866001|JQ866001"	26	5	TRUE	"JQ866001|JQ866001"	640	669	30	"*"	30	9927
"18"	"AF131870|AF131870"	635	653	"+"	18	24.6461	15	7.5104	537	555	635	1	1	17	17	NA	19	10006	9927	"JQ866001|JQ866001"	15	3	TRUE	"JQ866001|JQ866001"	537	555	19	"*"	19	9927
"10"	"AF131870|AF131870"	436	530	"+"	10	34.6238	22	0.00742281	408	503	436	1	1	69	69	9	100	10006	9927	"JQ866001|JQ866001"	22	1	TRUE	"JQ866001|JQ866001"	408	503	96	"*"	100	9927
