"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"16"	"AY271690|AY271690"	9689	9736	"+"	16	30.3476	19	0.141804	629	678	9689	1	1	39	39	4	51	9774	10006	"AF131870|AF131870"	19	27	TRUE	"AF131870|AF131870"	629	678	50	"*"	51	10006
"12"	"AY271690|AY271690"	9570	9664	"+"	12	43.1761	28	1.94079e-05	436	530	9570	1	1	66	66	4	97	9774	10006	"AF131870|AF131870"	28	26	TRUE	"AF131870|AF131870"	436	530	95	"*"	97	10006
"21"	"AY271690|AY271690"	8898	8961	"+"	21	28.9222	18	0.381056	1621	1683	8898	1	1	42	42	1	64	9774	10006	"AF131870|AF131870"	18	23	TRUE	"AF131870|AF131870"	1621	1683	63	"*"	64	10006
"15"	"AY271690|AY271690"	8147	8403	"+"	15	38.8999	25	0.000376601	8411	8664	8147	1	1	154	154	11	261	9774	10006	"AF131870|AF131870"	25	21	TRUE	"AF131870|AF131870"	8411	8664	254	"*"	261	10006
"4"	"AY271690|AY271690"	7832	8105	"+"	4	85.9375	58	2.56395e-18	8112	8384	7832	1	1	172	172	5	276	9774	10006	"AF131870|AF131870"	58	20	TRUE	"AF131870|AF131870"	8112	8384	273	"*"	276	10006
"27"	"AY271690|AY271690"	7705	7731	"+"	27	24.6461	15	7.39421	6934	6960	7705	1	1	21	21	NA	27	9774	10006	"AF131870|AF131870"	15	19	TRUE	"AF131870|AF131870"	6934	6960	27	"*"	27	10006
"26"	"AY271690|AY271690"	7212	7230	"+"	26	24.6461	15	7.39421	7455	7473	7212	1	1	17	17	NA	19	9774	10006	"AF131870|AF131870"	15	18	TRUE	"AF131870|AF131870"	7455	7473	19	"*"	19	10006
"20"	"AY271690|AY271690"	6587	6631	"+"	20	28.9222	18	0.381056	6713	6757	6587	1	1	34	34	2	46	9774	10006	"AF131870|AF131870"	18	17	TRUE	"AF131870|AF131870"	6713	6757	45	"*"	46	10006
"6"	"AY271690|AY271690"	5906	5981	"+"	6	51.7284	34	5.15428e-08	6275	6350	5906	1	1	55	55	NA	76	9774	10006	"AF131870|AF131870"	34	16	TRUE	"AF131870|AF131870"	6275	6350	76	"*"	76	10006
"11"	"AY271690|AY271690"	5564	5673	"+"	11	46.0268	30	2.68766e-06	5925	6033	5564	1	1	71	71	1	110	9774	10006	"AF131870|AF131870"	30	15	TRUE	"AF131870|AF131870"	5925	6033	109	"*"	110	10006
"9"	"AY271690|AY271690"	5310	5470	"+"	9	48.8776	32	3.72196e-07	5704	5864	5310	1	1	99	99	2	162	9774	10006	"AF131870|AF131870"	32	14	TRUE	"AF131870|AF131870"	5704	5864	161	"*"	162	10006
"1"	"AY271690|AY271690"	2380	5056	"+"	1	1002.46	701	2.25975e-294	2720	5405	2380	1	1	1757	1757	57	2710	9774	10006	"AF131870|AF131870"	701	12	TRUE	"AF131870|AF131870"	2720	5405	2686	"*"	2710	10006
"7"	"AY271690|AY271690"	2036	2146	"+"	7	51.7284	34	5.15428e-08	2325	2435	2036	1	1	81	81	8	115	9774	10006	"AF131870|AF131870"	34	11	TRUE	"AF131870|AF131870"	2325	2435	111	"*"	115	10006
"2"	"AY271690|AY271690"	1576	1907	"+"	2	184.289	127	6.12157e-48	1802	2133	1576	1	1	232	232	2	333	9774	10006	"AF131870|AF131870"	127	10	TRUE	"AF131870|AF131870"	1802	2133	332	"*"	333	10006
"3"	"AY271690|AY271690"	1228	1456	"+"	3	115.871	79	2.47476e-27	1443	1673	1228	1	1	159	159	4	232	9774	10006	"AF131870|AF131870"	79	9	TRUE	"AF131870|AF131870"	1443	1673	231	"*"	232	10006
"5"	"AY271690|AY271690"	864	1138	"+"	5	65.9822	44	2.62511e-12	1129	1407	864	1	1	175	175	12	283	9774	10006	"AF131870|AF131870"	44	7	TRUE	"AF131870|AF131870"	1129	1407	279	"*"	283	10006
"13"	"AY271690|AY271690"	625	653	"+"	13	41.7507	27	5.2153e-05	764	792	625	1	1	28	28	NA	29	9774	10006	"AF131870|AF131870"	27	5	TRUE	"AF131870|AF131870"	764	792	29	"*"	29	10006
"17"	"AY271690|AY271690"	517	564	"+"	17	30.3476	19	0.141804	629	678	517	1	1	39	39	4	51	9774	10006	"AF131870|AF131870"	19	3	TRUE	"AF131870|AF131870"	629	678	50	"*"	51	10006
"8"	"AY271690|AY271690"	398	492	"+"	8	48.8776	32	3.72196e-07	436	530	398	1	1	68	68	4	97	9774	10006	"AF131870|AF131870"	32	2	TRUE	"AF131870|AF131870"	436	530	95	"*"	97	10006
