"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"8"	"AY271690|AY271690"	9505	9671	"+"	8	83.0868	56	1.81563e-17	391	552	9505	1	1	125	125	13	171	9774	9815	"L40990|SIVREV"	56	28	TRUE	"L40990|SIVREV"	391	552	162	"*"	56	9815
"21"	"AY271690|AY271690"	9421	9437	"+"	21	27.4968	17	1.00435	253	269	9421	1	1	17	17	NA	17	9774	9815	"L40990|SIVREV"	17	26	TRUE	"L40990|SIVREV"	253	269	17	"*"	17	9815
"4"	"AY271690|AY271690"	9058	9342	"+"	4	137.251	94	8.81844e-34	8982	9269	9058	1	1	199	199	7	290	9774	9815	"L40990|SIVREV"	94	25	TRUE	"L40990|SIVREV"	8982	9269	288	"*"	94	9815
"7"	"AY271690|AY271690"	8135	8502	"+"	7	87.3629	59	9.35647e-19	8227	8594	8135	1	1	221	221	6	371	9774	9815	"L40990|SIVREV"	59	23	TRUE	"L40990|SIVREV"	8227	8594	368	"*"	59	9815
"3"	"AY271690|AY271690"	7723	8098	"+"	3	148.654	102	3.24288e-37	7824	8202	7723	1	1	246	246	5	380	9774	9815	"L40990|SIVREV"	102	21	TRUE	"L40990|SIVREV"	7824	8202	379	"*"	102	9815
"20"	"AY271690|AY271690"	6887	7029	"+"	20	30.3476	19	0.139084	6985	7130	6887	1	1	85	85	3	146	9774	9815	"L40990|SIVREV"	19	20	TRUE	"L40990|SIVREV"	6985	7130	146	"*"	19	9815
"27"	"AY271690|AY271690"	5747	5796	"+"	27	27.4968	17	1.00435	5964	6014	5747	1	1	35	35	1	51	9774	9815	"L40990|SIVREV"	17	19	TRUE	"L40990|SIVREV"	5964	6014	51	"*"	17	9815
"19"	"AY271690|AY271690"	5618	5671	"+"	19	31.773	20	0.0517577	5824	5877	5618	1	1	37	37	NA	54	9774	9815	"L40990|SIVREV"	20	18	TRUE	"L40990|SIVREV"	5824	5877	54	"*"	20	9815
"1"	"AY271690|AY271690"	2365	5054	"+"	1	1182.06	827	0	2578	5270	2365	1	1	1813	1813	45	2714	9774	9815	"L40990|SIVREV"	827	16	TRUE	"L40990|SIVREV"	2578	5270	2693	"*"	827	9815
"13"	"AY271690|AY271690"	1966	2105	"+"	13	63.1314	42	1.85906e-11	2137	2273	1966	1	1	93	93	3	140	9774	9815	"L40990|SIVREV"	42	11	TRUE	"L40990|SIVREV"	2137	2273	137	"*"	42	9815
"2"	"AY271690|AY271690"	1108	1900	"+"	2	366.738	255	6.70107e-103	1270	2062	1108	1	1	536	536	10	798	9774	9815	"L40990|SIVREV"	255	9	TRUE	"L40990|SIVREV"	1270	2062	793	"*"	255	9815
"6"	"AY271690|AY271690"	775	1101	"+"	6	107.318	73	9.1376e-25	920	1245	775	1	1	210	210	9	331	9774	9815	"L40990|SIVREV"	73	8	TRUE	"L40990|SIVREV"	920	1245	326	"*"	73	9815
"16"	"AY271690|AY271690"	620	656	"+"	16	47.4522	31	9.8093e-07	713	749	620	1	1	34	34	NA	37	9774	9815	"L40990|SIVREV"	31	7	TRUE	"L40990|SIVREV"	713	749	37	"*"	31	9815
"10"	"AY271690|AY271690"	333	499	"+"	10	83.0868	56	1.81563e-17	391	552	333	1	1	125	125	13	171	9774	9815	"L40990|SIVREV"	56	5	TRUE	"L40990|SIVREV"	391	552	162	"*"	56	9815
"23"	"AY271690|AY271690"	249	265	"+"	23	27.4968	17	1.00435	253	269	249	1	1	17	17	NA	17	9774	9815	"L40990|SIVREV"	17	3	TRUE	"L40990|SIVREV"	253	269	17	"*"	17	9815
"14"	"AY271690|AY271690"	1	170	"+"	14	61.706	41	4.99572e-11	5	177	1	1	1	115	115	7	175	9774	9815	"L40990|SIVREV"	41	1	TRUE	"L40990|SIVREV"	5	177	173	"*"	41	9815
