"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"25"	"AF321523|AF321523"	9705	9758	"-"	25	30.3476	19	0.14383	9910	9964	9705	1	-1	38	38	1	55	9913	10006	"AF131870|AF131870"	19	28	TRUE	"AF131870|AF131870"	9910	9964	55	"*"	55	10006
"17"	"AF321523|AF321523"	9599	9620	"+"	17	27.4968	17	1.0386	629	651	9599	1	1	21	21	1	23	9913	10006	"AF131870|AF131870"	17	24	TRUE	"AF131870|AF131870"	629	651	23	"*"	23	10006
"8"	"AF321523|AF321523"	9474	9540	"+"	8	50.303	33	1.40493e-07	427	496	9474	1	1	54	54	3	70	9913	10006	"AF131870|AF131870"	33	22	TRUE	"AF131870|AF131870"	427	496	70	"*"	70	10006
"4"	"AF321523|AF321523"	8978	9233	"+"	4	100.191	68	1.32469e-22	9136	9391	8978	1	1	169	169	6	259	9913	10006	"AF131870|AF131870"	68	21	TRUE	"AF131870|AF131870"	9136	9391	256	"*"	259	10006
"15"	"AF321523|AF321523"	8073	8274	"+"	15	40.3253	26	0.000142152	8411	8609	8073	1	1	129	129	13	207	9913	10006	"AF131870|AF131870"	26	20	TRUE	"AF131870|AF131870"	8411	8609	199	"*"	207	10006
"23"	"AF321523|AF321523"	7631	7658	"+"	23	26.0715	16	2.79093	6934	6961	7631	1	1	22	22	NA	28	9913	10006	"AF131870|AF131870"	16	19	TRUE	"AF131870|AF131870"	6934	6961	28	"*"	28	10006
"22"	"AF321523|AF321523"	7128	7151	"+"	22	26.0715	16	2.79093	1010	1033	7128	1	1	20	20	NA	24	9913	10006	"AF131870|AF131870"	16	18	TRUE	"AF131870|AF131870"	1010	1033	24	"*"	24	10006
"21"	"AF321523|AF321523"	6567	6611	"+"	21	27.4968	17	1.0386	6713	6757	6567	1	1	31	31	NA	45	9913	10006	"AF131870|AF131870"	17	17	TRUE	"AF131870|AF131870"	6713	6757	45	"*"	45	10006
"7"	"AF321523|AF321523"	5877	5952	"+"	7	54.5791	36	7.24025e-09	6275	6350	5877	1	1	56	56	NA	76	9913	10006	"AF131870|AF131870"	36	16	TRUE	"AF131870|AF131870"	6275	6350	76	"*"	76	10006
"14"	"AF321523|AF321523"	5281	5365	"+"	14	41.7507	27	5.28998e-05	5704	5788	5281	1	1	56	56	NA	85	9913	10006	"AF131870|AF131870"	27	15	TRUE	"AF131870|AF131870"	5704	5788	85	"*"	85	10006
"1"	"AF321523|AF321523"	2351	5027	"+"	1	996.757	697	1.19916e-292	2720	5405	2351	1	1	1764	1764	65	2714	9913	10006	"AF131870|AF131870"	697	13	TRUE	"AF131870|AF131870"	2720	5405	2686	"*"	2714	10006
"16"	"AF321523|AF321523"	2016	2128	"+"	16	37.4745	24	0.00102649	2325	2435	2016	1	1	80	80	12	118	9913	10006	"AF131870|AF131870"	24	11	TRUE	"AF131870|AF131870"	2325	2435	111	"*"	118	10006
"2"	"AF321523|AF321523"	1553	1884	"+"	2	162.908	112	1.70912e-41	1802	2133	1553	1	1	222	222	NA	332	9913	10006	"AF131870|AF131870"	112	10	TRUE	"AF131870|AF131870"	1802	2133	332	"*"	332	10006
"3"	"AF321523|AF321523"	1213	1496	"+"	3	108.744	74	3.51805e-25	1453	1736	1213	1	1	186	186	6	287	9913	10006	"AF131870|AF131870"	74	9	TRUE	"AF131870|AF131870"	1453	1736	284	"*"	287	10006
"6"	"AF321523|AF321523"	793	1101	"+"	6	56.0045	37	2.69434e-09	1063	1371	793	1	1	183	183	8	313	9913	10006	"AF131870|AF131870"	37	8	TRUE	"AF131870|AF131870"	1063	1371	309	"*"	313	10006
"26"	"AF321523|AF321523"	627	680	"-"	26	30.3476	19	0.14383	9910	9964	627	1	-1	38	38	1	55	9913	10006	"AF131870|AF131870"	19	7	TRUE	"AF131870|AF131870"	9910	9964	55	"*"	55	10006
"18"	"AF321523|AF321523"	521	542	"+"	18	27.4968	17	1.0386	629	651	521	1	1	21	21	1	23	9913	10006	"AF131870|AF131870"	17	3	TRUE	"AF131870|AF131870"	629	651	23	"*"	23	10006
"10"	"AF321523|AF321523"	395	495	"+"	10	50.303	33	1.40493e-07	432	530	395	1	1	76	76	8	104	9913	10006	"AF131870|AF131870"	33	2	TRUE	"AF131870|AF131870"	432	530	99	"*"	104	10006
