"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"17"	"JX236671|JX236671"	9430	9450	"+"	17	24.6461	15	7.67557	9328	9348	9430	1	1	18	18	NA	21	9854	10301	"KX174311|KX174311"	15	21	TRUE	"KX174311|KX174311"	9328	9348	21	"*"	21	10301
"3"	"JX236671|JX236671"	9084	9356	"+"	3	121.572	83	4.92958e-29	9324	9596	9084	1	1	183	183	4	275	9854	10301	"KX174311|KX174311"	83	20	TRUE	"KX174311|KX174311"	9324	9596	273	"*"	275	10301
"7"	"JX236671|JX236671"	8190	8449	"+"	7	74.5345	50	7.23924e-15	8562	8821	8190	1	1	166	166	10	265	9854	10301	"KX174311|KX174311"	50	18	TRUE	"KX174311|KX174311"	8562	8821	260	"*"	265	10301
"4"	"JX236671|JX236671"	7881	8153	"+"	4	110.169	75	1.34033e-25	8264	8537	7881	1	1	185	185	11	279	9854	10301	"KX174311|KX174311"	75	16	TRUE	"KX174311|KX174311"	8264	8537	274	"*"	279	10301
"15"	"JX236671|JX236671"	7415	7444	"+"	15	28.9222	18	0.395567	7868	7897	7415	1	1	24	24	NA	30	9854	10301	"KX174311|KX174311"	18	15	TRUE	"KX174311|KX174311"	7868	7897	30	"*"	30	10301
"20"	"JX236671|JX236671"	6821	6855	"+"	20	24.6461	15	7.67557	7579	7613	6821	1	1	25	25	NA	35	9854	10301	"KX174311|KX174311"	15	14	TRUE	"KX174311|KX174311"	7579	7613	35	"*"	35	10301
"14"	"JX236671|JX236671"	6531	6687	"+"	14	37.4745	24	0.0010506	6906	7064	6531	1	1	98	98	6	161	9854	10301	"KX174311|KX174311"	24	13	TRUE	"KX174311|KX174311"	6906	7064	159	"*"	161	10301
"11"	"JX236671|JX236671"	5607	5827	"+"	11	56.0045	37	2.75784e-09	6267	6487	5607	1	1	129	129	NA	221	9854	10301	"KX174311|KX174311"	37	12	TRUE	"KX174311|KX174311"	6267	6487	221	"*"	221	10301
"12"	"JX236671|JX236671"	5361	5447	"+"	12	47.4522	31	1.03838e-06	5714	5800	5361	1	1	59	59	NA	87	9854	10301	"KX174311|KX174311"	31	11	TRUE	"KX174311|KX174311"	5714	5800	87	"*"	87	10301
"1"	"JX236671|JX236671"	2289	5158	"+"	1	1173.5	821	0	2639	5508	2289	1	1	1903	1903	50	2895	9854	10301	"KX174311|KX174311"	821	10	TRUE	"KX174311|KX174311"	2639	5508	2870	"*"	2895	10301
"6"	"JX236671|JX236671"	2002	2127	"+"	6	94.4898	64	7.07143e-21	2277	2402	2002	1	1	95	95	NA	126	9854	10301	"KX174311|KX174311"	64	7	TRUE	"KX174311|KX174311"	2277	2402	126	"*"	126	10301
"2"	"JX236671|JX236671"	1285	1925	"+"	2	304.021	211	5.51961e-84	1551	2191	1285	1	1	439	439	12	647	9854	10301	"KX174311|KX174311"	211	6	TRUE	"KX174311|KX174311"	1551	2191	641	"*"	647	10301
"5"	"JX236671|JX236671"	807	1127	"+"	5	108.744	74	3.60173e-25	1083	1402	807	1	1	201	201	3	322	9854	10301	"KX174311|KX174311"	74	5	TRUE	"KX174311|KX174311"	1083	1402	320	"*"	322	10301
"13"	"JX236671|JX236671"	643	674	"+"	13	38.8999	25	0.000390967	866	899	643	1	1	31	31	2	34	9854	10301	"KX174311|KX174311"	25	4	TRUE	"KX174311|KX174311"	866	899	34	"*"	34	10301
"18"	"JX236671|JX236671"	231	251	"+"	18	24.6461	15	7.67557	9328	9348	231	1	1	18	18	NA	21	9854	10301	"KX174311|KX174311"	15	3	TRUE	"KX174311|KX174311"	9328	9348	21	"*"	21	10301
"9"	"JX236671|JX236671"	81	157	"+"	9	63.1314	42	1.96825e-11	97	173	81	1	1	62	62	2	78	9854	10301	"KX174311|KX174311"	42	1	TRUE	"KX174311|KX174311"	97	173	77	"*"	78	10301
