"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"16"	"EU861977|EU861977"	9496	9642	"+"	16	38.8999	25	0.000388053	473	627	9496	1	1	99	99	10	156	9781	10301	"KX174311|KX174311"	25	26	TRUE	"KX174311|KX174311"	473	627	155	"*"	25	10301
"4"	"EU861977|EU861977"	9030	9292	"+"	4	117.296	80	9.49326e-28	9334	9596	9030	1	1	179	179	6	266	9781	10301	"KX174311|KX174311"	80	25	TRUE	"KX174311|KX174311"	9334	9596	263	"*"	80	10301
"20"	"EU861977|EU861977"	8785	8821	"+"	20	31.773	20	0.0543726	9223	9260	8785	1	1	30	30	1	38	9781	10301	"KX174311|KX174311"	20	23	TRUE	"KX174311|KX174311"	9223	9260	38	"*"	20	10301
"3"	"EU861977|EU861977"	7490	8074	"+"	3	137.251	94	9.27247e-34	7959	8537	7490	1	1	371	371	32	598	9781	10301	"KX174311|KX174311"	94	22	TRUE	"KX174311|KX174311"	7959	8537	579	"*"	94	10301
"21"	"EU861977|EU861977"	7382	7485	"+"	21	31.773	20	0.0543726	7869	7974	7382	1	1	65	65	2	106	9781	10301	"KX174311|KX174311"	20	20	TRUE	"KX174311|KX174311"	7869	7974	106	"*"	20	10301
"11"	"EU861977|EU861977"	6690	6951	"+"	11	51.7284	34	5.31136e-08	7158	7420	6690	1	1	157	157	7	266	9781	10301	"KX174311|KX174311"	34	19	TRUE	"KX174311|KX174311"	7158	7420	263	"*"	34	10301
"15"	"EU861977|EU861977"	6491	6609	"+"	15	41.7507	27	5.37396e-05	6906	7024	6491	1	1	73	73	NA	119	9781	10301	"KX174311|KX174311"	27	18	TRUE	"KX174311|KX174311"	6906	7024	119	"*"	27	10301
"12"	"EU861977|EU861977"	6335	6394	"+"	12	46.0268	30	2.76949e-06	6774	6833	6335	1	1	45	45	NA	60	9781	10301	"KX174311|KX174311"	30	17	TRUE	"KX174311|KX174311"	6774	6833	60	"*"	30	10301
"27"	"EU861977|EU861977"	5989	6012	"+"	27	26.0715	16	2.83512	6191	6214	5989	1	1	20	20	NA	24	9781	10301	"KX174311|KX174311"	16	16	TRUE	"KX174311|KX174311"	6191	6214	24	"*"	16	10301
"8"	"EU861977|EU861977"	5576	5796	"+"	8	64.5568	43	7.26971e-12	6267	6487	5576	1	1	132	132	NA	221	9781	10301	"KX174311|KX174311"	43	15	TRUE	"KX174311|KX174311"	6267	6487	221	"*"	43	10301
"13"	"EU861977|EU861977"	5330	5416	"+"	13	44.6014	29	7.44214e-06	5714	5800	5330	1	1	58	58	NA	87	9781	10301	"KX174311|KX174311"	29	14	TRUE	"KX174311|KX174311"	5714	5800	87	"*"	29	10301
"1"	"EU861977|EU861977"	2258	5050	"+"	1	1109.36	776	0	2639	5428	2258	1	1	1814	1814	35	2809	9781	10301	"KX174311|KX174311"	776	13	TRUE	"KX174311|KX174311"	2639	5428	2790	"*"	776	10301
"6"	"EU861977|EU861977"	1974	2099	"+"	6	94.4898	64	7.01819e-21	2277	2402	1974	1	1	95	95	NA	126	9781	10301	"KX174311|KX174311"	64	10	TRUE	"KX174311|KX174311"	2277	2402	126	"*"	64	10301
"2"	"EU861977|EU861977"	1153	1897	"+"	2	326.827	227	7.40551e-91	1447	2191	1153	1	1	508	508	20	755	9781	10301	"KX174311|KX174311"	227	9	TRUE	"KX174311|KX174311"	1447	2191	745	"*"	227	10301
"5"	"EU861977|EU861977"	779	1099	"+"	5	97.3406	66	9.71907e-22	1083	1402	779	1	1	199	199	5	323	9781	10301	"KX174311|KX174311"	66	8	TRUE	"KX174311|KX174311"	1083	1402	320	"*"	66	10301
"14"	"EU861977|EU861977"	636	671	"+"	14	41.7507	27	5.37396e-05	866	903	636	1	1	34	34	2	38	9781	10301	"KX174311|KX174311"	27	7	TRUE	"KX174311|KX174311"	866	903	38	"*"	27	10301
"17"	"EU861977|EU861977"	363	509	"+"	17	38.8999	25	0.000388053	473	627	363	1	1	99	99	10	156	9781	10301	"KX174311|KX174311"	25	3	TRUE	"KX174311|KX174311"	473	627	155	"*"	25	10301
"9"	"EU861977|EU861977"	81	159	"+"	9	53.1537	35	1.97655e-08	97	173	81	1	1	61	61	4	80	9781	10301	"KX174311|KX174311"	35	1	TRUE	"KX174311|KX174311"	97	173	77	"*"	35	10301
