"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"15"	"AB253712|AB253712"	10313	10334	"+"	15	27.4968	17	1.08353	629	651	10313	1	1	21	21	1	23	10340	10006	"AF131870|AF131870"	17	21	TRUE	"AF131870|AF131870"	629	651	23	"*"	17	10006
"21"	"AB253712|AB253712"	9583	9599	"+"	21	24.6461	15	7.82403	8194	8210	9583	1	1	16	16	NA	17	10340	10006	"AF131870|AF131870"	15	20	TRUE	"AF131870|AF131870"	8194	8210	17	"*"	15	10006
"5"	"AB253712|AB253712"	8464	8746	"+"	5	74.5345	50	7.38049e-15	8096	8379	8464	1	1	173	173	5	286	10340	10006	"AF131870|AF131870"	50	19	TRUE	"AF131870|AF131870"	8096	8379	284	"*"	50	10006
"22"	"AB253712|AB253712"	8351	8377	"+"	22	24.6461	15	7.82403	6934	6960	8351	1	1	21	21	NA	27	10340	10006	"AF131870|AF131870"	15	18	TRUE	"AF131870|AF131870"	6934	6960	27	"*"	15	10006
"13"	"AB253712|AB253712"	6868	6906	"+"	13	30.3476	19	0.150055	1967	2005	6868	1	1	29	29	NA	39	10340	10006	"AF131870|AF131870"	19	17	TRUE	"AF131870|AF131870"	1967	2005	39	"*"	19	10006
"7"	"AB253712|AB253712"	6574	6649	"+"	7	57.4299	38	1.04626e-09	6275	6350	6574	1	1	57	57	NA	76	10340	10006	"AF131870|AF131870"	38	16	TRUE	"AF131870|AF131870"	6275	6350	76	"*"	38	10006
"12"	"AB253712|AB253712"	6241	6278	"+"	12	37.4745	24	0.00107097	5933	5970	6241	1	1	31	31	NA	38	10340	10006	"AF131870|AF131870"	24	15	TRUE	"AF131870|AF131870"	5933	5970	38	"*"	24	10006
"14"	"AB253712|AB253712"	6081	6104	"+"	14	28.9222	18	0.403224	4729	4752	6081	1	1	21	21	NA	24	10340	10006	"AF131870|AF131870"	18	14	TRUE	"AF131870|AF131870"	4729	4752	24	"*"	18	10006
"10"	"AB253712|AB253712"	5978	6062	"+"	10	44.6014	29	7.64364e-06	5704	5788	5978	1	1	57	57	NA	85	10340	10006	"AF131870|AF131870"	29	13	TRUE	"AF131870|AF131870"	5704	5788	85	"*"	29	10006
"2"	"AB253712|AB253712"	5326	5724	"+"	2	209.946	145	1.21529e-55	5007	5405	5326	1	1	277	277	4	401	10340	10006	"AF131870|AF131870"	145	12	TRUE	"AF131870|AF131870"	5007	5405	399	"*"	145	10006
"1"	"AB253712|AB253712"	2589	5058	"+"	1	949.719	664	1.8579e-278	2933	5405	2589	1	1	1637	1637	59	2501	10340	10006	"AF131870|AF131870"	664	10	TRUE	"AF131870|AF131870"	2933	5405	2473	"*"	664	10006
"6"	"AB253712|AB253712"	2329	2531	"+"	6	71.6837	48	5.3294e-14	2661	2869	2329	1	1	133	133	6	209	10340	10006	"AF131870|AF131870"	48	9	TRUE	"AF131870|AF131870"	2661	2869	209	"*"	48	10006
"9"	"AB253712|AB253712"	2038	2148	"+"	9	50.303	33	1.46595e-07	2325	2435	2038	1	1	80	80	8	115	10340	10006	"AF131870|AF131870"	33	8	TRUE	"AF131870|AF131870"	2325	2435	111	"*"	33	10006
"3"	"AB253712|AB253712"	1578	1909	"+"	3	181.438	125	4.68489e-47	1802	2133	1578	1	1	231	231	2	333	10340	10006	"AF131870|AF131870"	125	7	TRUE	"AF131870|AF131870"	1802	2133	332	"*"	125	10006
"4"	"AB253712|AB253712"	1165	1557	"+"	4	130.124	89	1.335e-31	1382	1772	1165	1	1	250	250	8	396	10340	10006	"AF131870|AF131870"	89	6	TRUE	"AF131870|AF131870"	1382	1772	391	"*"	89	10006
"8"	"AB253712|AB253712"	875	990	"+"	8	57.4299	38	1.04626e-09	1129	1244	875	1	1	77	77	NA	116	10340	10006	"AF131870|AF131870"	38	4	TRUE	"AF131870|AF131870"	1129	1244	116	"*"	38	10006
"11"	"AB253712|AB253712"	628	665	"+"	11	43.1761	28	2.05398e-05	764	801	628	1	1	33	33	NA	38	10340	10006	"AF131870|AF131870"	28	3	TRUE	"AF131870|AF131870"	764	801	38	"*"	28	10006
"17"	"AB253712|AB253712"	520	541	"+"	17	27.4968	17	1.08353	629	651	520	1	1	21	21	1	23	10340	10006	"AF131870|AF131870"	17	1	TRUE	"AF131870|AF131870"	629	651	23	"*"	17	10006
