"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"19"	"AB253712|AB253712"	10067	10083	"-"	19	24.6461	15	8.10107	8235	8251	10067	1	-1	16	16	NA	17	10340	10359	"NC_001722|NC_001722"	15	20	TRUE	"NC_001722|NC_001722"	8235	8251	17	"*"	15	10359
"4"	"AB253712|AB253712"	9688	10062	"+"	4	111.594	76	5.26865e-26	9399	9767	9688	1	1	240	240	14	379	10340	10359	"NC_001722|NC_001722"	76	19	TRUE	"NC_001722|NC_001722"	9399	9767	369	"*"	76	10359
"6"	"AB253712|AB253712"	8781	9066	"+"	6	84.5122	57	7.55574e-18	8552	8839	8781	1	1	184	184	10	292	10340	10359	"NC_001722|NC_001722"	57	17	TRUE	"NC_001722|NC_001722"	8552	8839	288	"*"	57	10359
"5"	"AB253712|AB253712"	8434	8744	"+"	5	94.4898	64	7.46834e-21	8218	8527	8434	1	1	197	197	9	315	10340	10359	"NC_001722|NC_001722"	64	16	TRUE	"NC_001722|NC_001722"	8218	8527	310	"*"	64	10359
"14"	"AB253712|AB253712"	8196	8219	"+"	14	28.9222	18	0.417512	5053	5076	8196	1	1	21	21	NA	24	10340	10359	"NC_001722|NC_001722"	18	14	TRUE	"NC_001722|NC_001722"	5053	5076	24	"*"	18	10359
"13"	"AB253712|AB253712"	7523	7629	"+"	13	37.4745	24	0.00110898	7315	7421	7523	1	1	68	68	2	108	10340	10359	"NC_001722|NC_001722"	24	13	TRUE	"NC_001722|NC_001722"	7315	7421	107	"*"	24	10359
"12"	"AB253712|AB253712"	7008	7067	"+"	12	40.3253	26	0.000153581	6779	6838	7008	1	1	43	43	NA	60	10340	10359	"NC_001722|NC_001722"	26	12	TRUE	"NC_001722|NC_001722"	6779	6838	60	"*"	26	10359
"8"	"AB253712|AB253712"	6248	6501	"+"	8	65.9822	44	2.87795e-12	6264	6514	6248	1	1	154	154	5	255	10340	10359	"NC_001722|NC_001722"	44	11	TRUE	"NC_001722|NC_001722"	6264	6514	251	"*"	44	10359
"3"	"AB253712|AB253712"	5323	5724	"+"	3	211.371	146	4.688e-56	5026	5427	5323	1	1	286	286	10	407	10340	10359	"NC_001722|NC_001722"	146	10	TRUE	"NC_001722|NC_001722"	5026	5427	402	"*"	146	10359
"1"	"AB253712|AB253712"	2266	5058	"+"	1	1159.25	811	0	2638	5427	2266	1	1	1854	1854	45	2814	10340	10359	"NC_001722|NC_001722"	811	9	TRUE	"NC_001722|NC_001722"	2638	5427	2790	"*"	811	10359
"2"	"AB253712|AB253712"	807	2107	"+"	2	462.239	322	1.2994e-131	1101	2404	807	1	1	858	858	41	1323	10340	10359	"NC_001722|NC_001722"	322	7	TRUE	"NC_001722|NC_001722"	1101	2404	1304	"*"	322	10359
"11"	"AB253712|AB253712"	621	657	"+"	11	46.0268	30	2.94559e-06	843	881	621	1	1	36	36	2	39	10340	10359	"NC_001722|NC_001722"	30	5	TRUE	"NC_001722|NC_001722"	843	881	39	"*"	30	10359
"20"	"AB253712|AB253712"	274	290	"-"	20	24.6461	15	8.10107	8235	8251	274	1	-1	16	16	NA	17	10340	10359	"NC_001722|NC_001722"	15	4	TRUE	"NC_001722|NC_001722"	8235	8251	17	"*"	15	10359
"9"	"AB253712|AB253712"	1	269	"+"	9	64.5568	43	7.73349e-12	1	263	1	1	1	168	168	12	272	10340	10359	"NC_001722|NC_001722"	43	2	TRUE	"NC_001722|NC_001722"	1	263	263	"*"	43	10359
