"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"11"	"M30502|HIV2BEN"	9981	10140	"+"	11	47.4522	31	1.06371e-06	403	560	9981	1	1	107	107	10	164	10359	10036	"U04005|SIU04005"	31	21	TRUE	"U04005|SIU04005"	403	560	158	"*"	31	10036
"5"	"M30502|HIV2BEN"	9395	9811	"+"	5	184.289	127	6.52023e-48	9160	9576	9395	1	1	281	281	8	421	10359	10036	"U04005|SIU04005"	127	20	TRUE	"U04005|SIU04005"	9160	9576	417	"*"	127	10036
"17"	"M30502|HIV2BEN"	9220	9255	"+"	17	28.9222	18	0.405184	9021	9056	9220	1	1	27	27	NA	36	10359	10036	"U04005|SIU04005"	18	18	TRUE	"U04005|SIU04005"	9021	9056	36	"*"	18	10036
"3"	"M30502|HIV2BEN"	7952	8900	"+"	3	305.446	212	2.10649e-84	7786	8722	7952	1	1	618	618	34	960	10359	10036	"U04005|SIU04005"	212	17	TRUE	"U04005|SIU04005"	7786	8722	937	"*"	212	10036
"4"	"M30502|HIV2BEN"	7300	7914	"+"	4	195.692	135	2.39806e-51	7080	7697	7300	1	1	387	387	11	622	10359	10036	"U04005|SIU04005"	135	16	TRUE	"U04005|SIU04005"	7080	7697	618	"*"	135	10036
"22"	"M30502|HIV2BEN"	7255	7281	"+"	22	24.6461	15	7.86204	7014	7040	7255	1	1	21	21	NA	27	10359	10036	"U04005|SIU04005"	15	15	TRUE	"U04005|SIU04005"	7014	7040	27	"*"	15	10036
"16"	"M30502|HIV2BEN"	6756	6814	"+"	16	43.1761	28	2.06399e-05	6524	6582	6756	1	1	46	46	2	60	10359	10036	"U04005|SIU04005"	28	14	TRUE	"U04005|SIU04005"	6524	6582	59	"*"	28	10036
"1"	"M30502|HIV2BEN"	2624	5813	"+"	1	1497.07	1048	0	2637	5826	2624	1	1	2163	2163	38	3209	10359	10036	"U04005|SIU04005"	1048	13	TRUE	"U04005|SIU04005"	2637	5826	3190	"*"	1048	10036
"19"	"M30502|HIV2BEN"	2486	2557	"+"	19	28.9222	18	0.405184	2541	2611	2486	1	1	46	46	1	72	10359	10036	"U04005|SIU04005"	18	10	TRUE	"U04005|SIU04005"	2541	2611	71	"*"	18	10036
"10"	"M30502|HIV2BEN"	2267	2446	"+"	10	83.0868	56	1.96984e-17	2262	2441	2267	1	1	124	124	6	183	10359	10036	"U04005|SIU04005"	56	9	TRUE	"U04005|SIU04005"	2262	2441	180	"*"	56	10036
"2"	"M30502|HIV2BEN"	1374	2217	"+"	2	438.007	305	2.50015e-124	1324	2167	1374	1	1	594	594	18	853	10359	10036	"U04005|SIU04005"	305	8	TRUE	"U04005|SIU04005"	1324	2167	844	"*"	305	10036
"15"	"M30502|HIV2BEN"	843	880	"+"	15	44.6014	29	7.6809e-06	755	790	843	1	1	35	35	2	38	10359	10036	"U04005|SIU04005"	29	5	TRUE	"U04005|SIU04005"	755	790	36	"*"	29	10036
"13"	"M30502|HIV2BEN"	477	636	"+"	13	47.4522	31	1.06371e-06	403	560	477	1	1	107	107	10	164	10359	10036	"U04005|SIU04005"	31	3	TRUE	"U04005|SIU04005"	403	560	158	"*"	31	10036
"8"	"M30502|HIV2BEN"	1	307	"+"	8	114.445	78	7.07785e-27	1	307	1	1	1	199	199	6	310	10359	10036	"U04005|SIU04005"	78	1	TRUE	"U04005|SIU04005"	1	307	307	"*"	78	10036
