"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"13"	"AF131870|AF131870"	9918	9939	"-"	13	26.0715	16	2.76322	5448	5469	9918	1	-1	19	19	NA	22	10006	9815	"L40990|SIVREV"	16	16	TRUE	"L40990|SIVREV"	5448	5469	22	"*"	22	9815
"3"	"AF131870|AF131870"	8003	8665	"+"	3	160.057	110	1.22164e-40	7825	8496	8003	1	1	416	416	23	679	10006	9815	"L40990|SIVREV"	110	15	TRUE	"L40990|SIVREV"	7825	8496	672	"*"	679	9815
"10"	"AF131870|AF131870"	7774	7804	"+"	10	30.3476	19	0.142402	7629	7659	7774	1	1	25	25	NA	31	10006	9815	"L40990|SIVREV"	19	14	TRUE	"L40990|SIVREV"	7629	7659	31	"*"	31	9815
"7"	"AF131870|AF131870"	7042	7234	"+"	7	43.1761	28	1.94899e-05	6906	7104	7042	1	1	121	121	8	200	10006	9815	"L40990|SIVREV"	28	13	TRUE	"L40990|SIVREV"	6906	7104	199	"*"	200	9815
"6"	"AF131870|AF131870"	6475	6617	"+"	6	48.8776	32	3.7377e-07	6342	6484	6475	1	1	90	90	2	144	10006	9815	"L40990|SIVREV"	32	12	TRUE	"L40990|SIVREV"	6342	6484	143	"*"	144	9815
"5"	"AF131870|AF131870"	6276	6354	"+"	5	53.1537	35	1.9262e-08	6137	6215	6276	1	1	57	57	NA	79	10006	9815	"L40990|SIVREV"	35	11	TRUE	"L40990|SIVREV"	6137	6215	79	"*"	79	9815
"1"	"AF131870|AF131870"	2599	5403	"+"	1	1120.77	784	0	2472	5270	2599	1	1	1855	1855	54	2829	10006	9815	"L40990|SIVREV"	784	10	TRUE	"L40990|SIVREV"	2472	5270	2799	"*"	2829	9815
"11"	"AF131870|AF131870"	2478	2504	"+"	11	27.4968	17	1.02829	2786	2812	2478	1	1	22	22	NA	27	10006	9815	"L40990|SIVREV"	17	8	TRUE	"L40990|SIVREV"	2786	2812	27	"*"	27	9815
"9"	"AF131870|AF131870"	2379	2410	"+"	9	40.3253	26	0.000140738	2255	2286	2379	1	1	29	29	NA	32	10006	9815	"L40990|SIVREV"	26	7	TRUE	"L40990|SIVREV"	2255	2286	32	"*"	32	9815
"15"	"AF131870|AF131870"	2134	2152	"-"	15	24.6461	15	7.42534	9562	9580	2134	1	-1	17	17	NA	19	10006	9815	"L40990|SIVREV"	15	5	TRUE	"L40990|SIVREV"	9562	9580	19	"*"	19	9815
"2"	"AF131870|AF131870"	1413	2127	"+"	2	258.409	179	2.91557e-70	1355	2063	1413	1	1	466	466	18	721	10006	9815	"L40990|SIVREV"	179	4	TRUE	"L40990|SIVREV"	1355	2063	709	"*"	721	9815
"4"	"AF131870|AF131870"	1129	1378	"+"	4	56.0045	37	2.66746e-09	1007	1257	1129	1	1	145	145	1	251	10006	9815	"L40990|SIVREV"	37	3	TRUE	"L40990|SIVREV"	1007	1257	251	"*"	251	9815
"8"	"AF131870|AF131870"	766	794	"+"	8	41.7507	27	5.23733e-05	720	748	766	1	1	28	28	NA	29	10006	9815	"L40990|SIVREV"	27	2	TRUE	"L40990|SIVREV"	720	748	29	"*"	29	9815
"14"	"AF131870|AF131870"	681	702	"-"	14	26.0715	16	2.76322	5448	5469	681	1	-1	19	19	NA	22	10006	9815	"L40990|SIVREV"	16	1	TRUE	"L40990|SIVREV"	5448	5469	22	"*"	22	9815
