"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"12"	"MH705134|MH705134"	9508	9621	"+"	12	38.8999	25	0.000388492	475	589	9508	1	1	71	71	1	115	9792	10301	"KX174311|KX174311"	25	20	TRUE	"KX174311|KX174311"	475	589	115	"*"	115	10301
"4"	"MH705134|MH705134"	9030	9317	"+"	4	114.445	78	6.86302e-27	9322	9609	9030	1	1	188	188	4	290	9792	10301	"KX174311|KX174311"	78	19	TRUE	"KX174311|KX174311"	9322	9609	288	"*"	290	10301
"7"	"MH705134|MH705134"	8113	8338	"+"	7	63.1314	42	1.95573e-11	8561	8786	8113	1	1	144	144	8	230	9792	10301	"KX174311|KX174311"	42	17	TRUE	"KX174311|KX174311"	8561	8786	226	"*"	230	10301
"3"	"MH705134|MH705134"	7762	8077	"+"	3	120.147	82	1.31617e-28	8228	8537	7762	1	1	214	214	16	321	9792	10301	"KX174311|KX174311"	82	16	TRUE	"KX174311|KX174311"	8228	8537	310	"*"	321	10301
"16"	"MH705134|MH705134"	7376	7431	"+"	16	33.1984	21	0.0202569	7842	7897	7376	1	1	41	41	2	57	9792	10301	"KX174311|KX174311"	21	15	TRUE	"KX174311|KX174311"	7842	7897	56	"*"	57	10301
"17"	"MH705134|MH705134"	6127	6167	"+"	17	27.4968	17	1.05624	8757	8797	6127	1	1	29	29	NA	41	9792	10301	"KX174311|KX174311"	17	14	TRUE	"KX174311|KX174311"	8757	8797	41	"*"	41	10301
"10"	"MH705134|MH705134"	5927	6003	"+"	10	50.303	33	1.42888e-07	6555	6631	5927	1	1	55	55	NA	77	9792	10301	"KX174311|KX174311"	33	13	TRUE	"KX174311|KX174311"	6555	6631	77	"*"	77	10301
"6"	"MH705134|MH705134"	5603	5823	"+"	6	63.1314	42	1.95573e-11	6267	6487	5603	1	1	134	134	2	222	9792	10301	"KX174311|KX174311"	42	12	TRUE	"KX174311|KX174311"	6267	6487	221	"*"	222	10301
"18"	"MH705134|MH705134"	5483	5508	"+"	18	26.0715	16	2.83832	3523	3548	5483	1	1	21	21	NA	26	9792	10301	"KX174311|KX174311"	16	11	TRUE	"KX174311|KX174311"	3523	3548	26	"*"	26	10301
"1"	"MH705134|MH705134"	2285	5077	"+"	1	1153.55	807	0	2639	5428	2285	1	1	1848	1848	41	2812	9792	10301	"KX174311|KX174311"	807	10	TRUE	"KX174311|KX174311"	2639	5428	2790	"*"	2812	10301
"2"	"MH705134|MH705134"	1243	2129	"+"	2	380.992	265	3.59979e-107	1512	2402	1243	1	1	595	595	16	897	9792	10301	"KX174311|KX174311"	265	8	TRUE	"KX174311|KX174311"	1512	2402	891	"*"	897	10301
"11"	"MH705134|MH705134"	633	671	"+"	11	40.3253	26	0.000144572	866	906	633	1	1	35	35	2	41	9792	10301	"KX174311|KX174311"	26	6	TRUE	"KX174311|KX174311"	866	906	41	"*"	41	10301
"21"	"MH705134|MH705134"	557	594	"-"	21	26.0715	16	2.83832	4339	4375	557	1	-1	28	28	1	38	9792	10301	"KX174311|KX174311"	16	5	TRUE	"KX174311|KX174311"	4339	4375	37	"*"	38	10301
"13"	"MH705134|MH705134"	361	474	"+"	13	38.8999	25	0.000388492	475	589	361	1	1	71	71	1	115	9792	10301	"KX174311|KX174311"	25	3	TRUE	"KX174311|KX174311"	475	589	115	"*"	115	10301
"8"	"MH705134|MH705134"	81	170	"+"	8	57.4299	38	1.01977e-09	97	186	81	1	1	64	64	NA	90	9792	10301	"KX174311|KX174311"	38	1	TRUE	"KX174311|KX174311"	97	186	90	"*"	90	10301
