"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"6"	"MH705144|MH705144"	9521	9670	"+"	6	91.6391	62	4.83568e-20	404	553	9521	1	1	120	120	12	156	9802	9815	"L40990|SIVREV"	62	27	TRUE	"L40990|SIVREV"	404	553	150	"*"	62	9815
"19"	"MH705144|MH705144"	9482	9517	"+"	19	31.773	20	0.0519068	391	426	9482	1	1	28	28	NA	36	9802	9815	"L40990|SIVREV"	20	23	TRUE	"L40990|SIVREV"	391	426	36	"*"	20	9815
"3"	"MH705144|MH705144"	9042	9324	"+"	3	124.423	85	6.46286e-30	8982	9267	9042	1	1	195	195	9	289	9802	9815	"L40990|SIVREV"	85	22	TRUE	"L40990|SIVREV"	8982	9267	286	"*"	85	9815
"4"	"MH705144|MH705144"	8157	8525	"+"	4	120.147	82	1.25413e-28	8226	8594	8157	1	1	233	233	6	372	9802	9815	"L40990|SIVREV"	82	20	TRUE	"L40990|SIVREV"	8226	8594	369	"*"	82	9815
"28"	"MH705144|MH705144"	7857	7873	"+"	28	24.6461	15	7.27339	5537	5553	7857	1	1	16	16	NA	17	9802	9815	"L40990|SIVREV"	15	19	TRUE	"L40990|SIVREV"	5537	5553	17	"*"	15	9815
"18"	"MH705144|MH705144"	7390	7421	"+"	18	31.773	20	0.0519068	7477	7508	7390	1	1	26	26	NA	32	9802	9815	"L40990|SIVREV"	20	18	TRUE	"L40990|SIVREV"	7477	7508	32	"*"	20	9815
"16"	"MH705144|MH705144"	6904	7047	"+"	16	41.7507	27	5.12983e-05	6985	7131	6904	1	1	90	90	3	147	9802	9815	"L40990|SIVREV"	27	17	TRUE	"L40990|SIVREV"	6985	7131	147	"*"	27	9815
"17"	"MH705144|MH705144"	6325	6359	"+"	17	36.0491	23	0.00267495	6349	6383	6325	1	1	29	29	NA	35	9802	9815	"L40990|SIVREV"	23	16	TRUE	"L40990|SIVREV"	6349	6383	35	"*"	23	9815
"14"	"MH705144|MH705144"	5889	5972	"+"	14	51.7284	34	5.06967e-08	6128	6211	5889	1	1	59	59	NA	84	9802	9815	"L40990|SIVREV"	34	15	TRUE	"L40990|SIVREV"	6128	6211	84	"*"	34	9815
"1"	"MH705144|MH705144"	2353	5461	"+"	1	1224.82	857	0	2578	5692	2353	1	1	2080	2080	86	3155	9802	9815	"L40990|SIVREV"	857	14	TRUE	"L40990|SIVREV"	2578	5692	3115	"*"	857	9815
"2"	"MH705144|MH705144"	1114	2093	"+"	2	406.649	283	6.4059e-115	1289	2273	1114	1	1	664	664	27	996	9802	9815	"L40990|SIVREV"	283	11	TRUE	"L40990|SIVREV"	1289	2273	985	"*"	283	9815
"5"	"MH705144|MH705144"	784	990	"+"	5	93.0645	63	1.7995e-20	920	1125	784	1	1	136	136	1	207	9802	9815	"L40990|SIVREV"	63	10	TRUE	"L40990|SIVREV"	920	1125	206	"*"	63	9815
"15"	"MH705144|MH705144"	636	673	"+"	15	46.0268	30	2.64359e-06	709	746	636	1	1	34	34	NA	38	9802	9815	"L40990|SIVREV"	30	9	TRUE	"L40990|SIVREV"	709	746	38	"*"	30	9815
"8"	"MH705144|MH705144"	369	518	"+"	8	91.6391	62	4.83568e-20	404	553	369	1	1	120	120	12	156	9802	9815	"L40990|SIVREV"	62	7	TRUE	"L40990|SIVREV"	404	553	150	"*"	62	9815
"21"	"MH705144|MH705144"	330	365	"+"	21	31.773	20	0.0519068	391	426	330	1	1	28	28	NA	36	9802	9815	"L40990|SIVREV"	20	3	TRUE	"L40990|SIVREV"	391	426	36	"*"	20	9815
"12"	"MH705144|MH705144"	77	172	"+"	12	63.1314	42	1.86444e-11	77	175	77	1	1	73	73	3	99	9802	9815	"L40990|SIVREV"	42	1	TRUE	"L40990|SIVREV"	77	175	99	"*"	42	9815
