"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"4"	"AB253712|AB253712"	9677	9950	"+"	4	115.871	79	2.70354e-27	9367	9640	9677	1	1	184	184	6	277	10340	10315	"DQ201174|DQ201174"	79	24	TRUE	"DQ201174|DQ201174"	9367	9640	274	"*"	79	10315
"21"	"AB253712|AB253712"	9562	9589	"+"	21	26.0715	16	3.0019	7733	7760	9562	1	1	22	22	NA	28	10340	10315	"DQ201174|DQ201174"	16	22	TRUE	"DQ201174|DQ201174"	7733	7760	28	"*"	16	10315
"15"	"AB253712|AB253712"	9337	9361	"+"	15	27.4968	17	1.11713	92	116	9337	1	1	21	21	NA	25	10340	10315	"DQ201174|DQ201174"	17	20	TRUE	"DQ201174|DQ201174"	92	116	25	"*"	17	10315
"6"	"AB253712|AB253712"	8780	9049	"+"	6	85.9375	58	2.79969e-18	8518	8787	8780	1	1	174	174	8	274	10340	10315	"DQ201174|DQ201174"	58	19	TRUE	"DQ201174|DQ201174"	8518	8787	270	"*"	58	10315
"12"	"AB253712|AB253712"	7523	7635	"+"	12	34.6238	22	0.00797345	7240	7352	7523	1	1	70	70	2	114	10340	10315	"DQ201174|DQ201174"	22	18	TRUE	"DQ201174|DQ201174"	7240	7352	113	"*"	22	10315
"17"	"AB253712|AB253712"	7361	7387	"+"	17	27.4968	17	1.11713	1091	1117	7361	1	1	22	22	NA	27	10340	10315	"DQ201174|DQ201174"	17	17	TRUE	"DQ201174|DQ201174"	1091	1117	27	"*"	17	10315
"23"	"AB253712|AB253712"	7267	7317	"+"	23	24.6461	15	8.06654	2826	2876	7267	1	1	33	33	NA	51	10340	10315	"DQ201174|DQ201174"	15	16	TRUE	"DQ201174|DQ201174"	2826	2876	51	"*"	15	10315
"11"	"AB253712|AB253712"	6666	6731	"+"	11	43.1761	28	2.11785e-05	6538	6603	6666	1	1	47	47	NA	66	10340	10315	"DQ201174|DQ201174"	28	15	TRUE	"DQ201174|DQ201174"	6538	6603	66	"*"	28	10315
"5"	"AB253712|AB253712"	6191	6483	"+"	5	98.766	67	3.83235e-22	6112	6403	6191	1	1	181	181	1	293	10340	10315	"DQ201174|DQ201174"	67	14	TRUE	"DQ201174|DQ201174"	6112	6403	292	"*"	67	10315
"3"	"AB253712|AB253712"	5323	5724	"+"	3	198.543	137	3.41e-52	4946	5347	5323	1	1	279	279	8	406	10340	10315	"DQ201174|DQ201174"	137	13	TRUE	"DQ201174|DQ201174"	4946	5347	402	"*"	137	10315
"1"	"AB253712|AB253712"	2266	5058	"+"	1	1187.76	831	0	2558	5347	2266	1	1	1871	1871	53	2818	10340	10315	"DQ201174|DQ201174"	831	11	TRUE	"DQ201174|DQ201174"	2558	5347	2790	"*"	831	10315
"2"	"AB253712|AB253712"	807	2107	"+"	2	490.746	342	3.35403e-140	1063	2375	807	1	1	869	869	38	1326	10340	10315	"DQ201174|DQ201174"	342	8	TRUE	"DQ201174|DQ201174"	1063	2375	1313	"*"	342	10315
"10"	"AB253712|AB253712"	621	657	"+"	10	46.0268	30	2.93299e-06	820	858	621	1	1	36	36	2	39	10340	10315	"DQ201174|DQ201174"	30	7	TRUE	"DQ201174|DQ201174"	820	858	39	"*"	30	10315
"13"	"AB253712|AB253712"	350	405	"+"	13	28.9222	18	0.415731	415	471	350	1	1	41	41	3	58	10340	10315	"DQ201174|DQ201174"	18	5	TRUE	"DQ201174|DQ201174"	415	471	57	"*"	18	10315
"8"	"AB253712|AB253712"	1	157	"+"	8	71.6837	48	5.49595e-14	1	157	1	1	1	105	105	2	158	10340	10315	"DQ201174|DQ201174"	48	2	TRUE	"DQ201174|DQ201174"	1	157	157	"*"	48	10315
