"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"14"	"EU861977|EU861977"	9602	9648	"+"	14	30.3476	19	0.14685	591	636	9602	1	1	34	34	1	47	9781	10353	"AF082339|AF082339"	19	23	TRUE	"AF082339|AF082339"	591	636	46	"*"	19	10353
"3"	"EU861977|EU861977"	9066	9431	"+"	3	124.423	85	6.80992e-30	9434	9793	9066	1	1	239	239	14	370	9781	10353	"AF082339|AF082339"	85	22	TRUE	"AF082339|AF082339"	9434	9793	360	"*"	85	10353
"9"	"EU861977|EU861977"	8193	8379	"+"	9	47.4522	31	1.03587e-06	8618	8804	8193	1	1	114	114	4	189	9781	10353	"AF082339|AF082339"	31	19	TRUE	"AF082339|AF082339"	8618	8804	187	"*"	31	10353
"5"	"EU861977|EU861977"	7700	8074	"+"	5	108.744	74	3.59292e-25	8134	8511	7700	1	1	243	243	17	385	9781	10353	"AF082339|AF082339"	74	18	TRUE	"AF082339|AF082339"	8134	8511	378	"*"	74	10353
"13"	"EU861977|EU861977"	7382	7410	"+"	13	30.3476	19	0.14685	7849	7877	7382	1	1	24	24	NA	29	9781	10353	"AF082339|AF082339"	19	16	TRUE	"AF082339|AF082339"	7849	7877	29	"*"	19	10353
"18"	"EU861977|EU861977"	6808	6856	"+"	18	28.9222	18	0.394614	8732	8777	6808	1	1	36	36	3	49	9781	10353	"AF082339|AF082339"	18	15	TRUE	"AF082339|AF082339"	8732	8777	46	"*"	18	10353
"12"	"EU861977|EU861977"	6704	6768	"+"	12	33.1984	21	0.0203367	7153	7216	6704	1	1	44	44	1	65	9781	10353	"AF082339|AF082339"	21	14	TRUE	"AF082339|AF082339"	7153	7216	64	"*"	21	10353
"11"	"EU861977|EU861977"	6491	6606	"+"	11	43.1761	28	2.01001e-05	6901	7016	6491	1	1	72	72	NA	116	9781	10353	"AF082339|AF082339"	28	13	TRUE	"AF082339|AF082339"	6901	7016	116	"*"	28	10353
"1"	"EU861977|EU861977"	2258	5050	"+"	1	1126.47	788	0	2631	5420	2258	1	1	1823	1823	39	2811	9781	10353	"AF082339|AF082339"	788	12	TRUE	"AF082339|AF082339"	2631	5420	2790	"*"	788	10353
"19"	"EU861977|EU861977"	2157	2177	"+"	19	27.4968	17	1.0604	2461	2481	2157	1	1	19	19	NA	21	9781	10353	"AF082339|AF082339"	17	9	TRUE	"AF082339|AF082339"	2461	2481	21	"*"	17	10353
"2"	"EU861977|EU861977"	1251	2099	"+"	2	403.798	281	4.88769e-114	1552	2397	1251	1	1	584	584	17	856	9781	10353	"AF082339|AF082339"	281	8	TRUE	"AF082339|AF082339"	1552	2397	846	"*"	281	10353
"4"	"EU861977|EU861977"	789	1045	"+"	4	108.744	74	3.59292e-25	1084	1340	789	1	1	165	165	NA	257	9781	10353	"AF082339|AF082339"	74	7	TRUE	"AF082339|AF082339"	1084	1340	257	"*"	74	10353
"10"	"EU861977|EU861977"	636	672	"+"	10	43.1761	28	2.01001e-05	838	876	636	1	1	35	35	2	39	9781	10353	"AF082339|AF082339"	28	6	TRUE	"AF082339|AF082339"	838	876	39	"*"	28	10353
"15"	"EU861977|EU861977"	469	515	"+"	15	30.3476	19	0.14685	591	636	469	1	1	34	34	1	47	9781	10353	"AF082339|AF082339"	19	4	TRUE	"AF082339|AF082339"	591	636	46	"*"	19	10353
"7"	"EU861977|EU861977"	1	298	"+"	7	71.6837	48	5.21475e-14	1	290	1	1	1	188	188	16	302	9781	10353	"AF082339|AF082339"	48	2	TRUE	"AF082339|AF082339"	1	290	290	"*"	48	10353
