"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"17"	"KX174311|KX174311"	9892	9915	"+"	17	26.0715	16	2.87761	364	387	9892	1	1	20	20	NA	24	10301	9927	"JQ866001|JQ866001"	16	23	TRUE	"JQ866001|JQ866001"	364	387	24	"*"	24	9927
"4"	"KX174311|KX174311"	9279	9557	"+"	4	114.445	78	6.95954e-27	9127	9401	9279	1	1	182	182	4	279	10301	9927	"JQ866001|JQ866001"	78	22	TRUE	"JQ866001|JQ866001"	9127	9401	275	"*"	279	9927
"11"	"KX174311|KX174311"	8574	8831	"+"	11	51.7284	34	5.39133e-08	8270	8527	8574	1	1	151	151	4	260	10301	9927	"JQ866001|JQ866001"	34	21	TRUE	"JQ866001|JQ866001"	8270	8527	258	"*"	260	9927
"6"	"KX174311|KX174311"	8266	8503	"+"	6	98.766	67	3.67172e-22	7914	8151	8266	1	1	155	155	2	239	10301	9927	"JQ866001|JQ866001"	67	19	TRUE	"JQ866001|JQ866001"	7914	8151	238	"*"	239	9927
"15"	"KX174311|KX174311"	7834	7894	"+"	15	28.9222	18	0.398511	7476	7536	7834	1	1	42	42	2	62	10301	9927	"JQ866001|JQ866001"	18	18	TRUE	"JQ866001|JQ866001"	7476	7536	61	"*"	62	9927
"7"	"KX174311|KX174311"	6556	6712	"+"	7	61.706	41	5.32864e-11	6007	6168	6556	1	1	106	106	5	162	10301	9927	"JQ866001|JQ866001"	41	16	TRUE	"JQ866001|JQ866001"	6007	6168	162	"*"	162	9927
"10"	"KX174311|KX174311"	6267	6356	"+"	10	51.7284	34	5.39133e-08	5691	5780	6267	1	1	62	62	NA	90	10301	9927	"JQ866001|JQ866001"	34	15	TRUE	"JQ866001|JQ866001"	5691	5780	90	"*"	90	9927
"16"	"KX174311|KX174311"	6120	6162	"+"	16	27.4968	17	1.07087	5864	5906	6120	1	1	30	30	NA	43	10301	9927	"JQ866001|JQ866001"	17	14	TRUE	"JQ866001|JQ866001"	5864	5906	43	"*"	43	9927
"9"	"KX174311|KX174311"	5701	5897	"+"	9	60.2807	40	1.4319e-10	5423	5616	5701	1	1	121	121	3	197	10301	9927	"JQ866001|JQ866001"	40	13	TRUE	"JQ866001|JQ866001"	5423	5616	194	"*"	197	9927
"1"	"KX174311|KX174311"	2639	5428	"+"	1	1204.86	843	0	2361	5153	2639	1	1	1857	1857	33	2808	10301	9927	"JQ866001|JQ866001"	843	12	TRUE	"JQ866001|JQ866001"	2361	5153	2793	"*"	2808	9927
"23"	"KX174311|KX174311"	2297	2323	"+"	23	24.6461	15	7.73264	1511	1537	2297	1	1	21	21	NA	27	10301	9927	"JQ866001|JQ866001"	15	9	TRUE	"JQ866001|JQ866001"	1511	1537	27	"*"	27	9927
"2"	"KX174311|KX174311"	1750	2191	"+"	2	202.819	140	1.68237e-53	1526	1973	1750	1	1	298	298	6	448	10301	9927	"JQ866001|JQ866001"	140	8	TRUE	"JQ866001|JQ866001"	1526	1973	448	"*"	448	9927
"5"	"KX174311|KX174311"	1094	1408	"+"	5	110.169	75	1.35045e-25	796	1109	1094	1	1	201	201	5	317	10301	9927	"JQ866001|JQ866001"	75	5	TRUE	"JQ866001|JQ866001"	796	1109	314	"*"	317	9927
"12"	"KX174311|KX174311"	852	907	"+"	12	46.0268	30	2.81115e-06	621	672	852	1	1	46	46	4	56	10301	9927	"JQ866001|JQ866001"	30	4	TRUE	"JQ866001|JQ866001"	621	672	52	"*"	56	9927
"19"	"KX174311|KX174311"	469	492	"+"	19	26.0715	16	2.87761	364	387	469	1	1	20	20	NA	24	10301	9927	"JQ866001|JQ866001"	16	2	TRUE	"JQ866001|JQ866001"	364	387	24	"*"	24	9927
"8"	"KX174311|KX174311"	1	134	"+"	8	60.2807	40	1.4319e-10	9268	9401	1	1	1	87	87	NA	134	10301	9927	"JQ866001|JQ866001"	40	1	TRUE	"JQ866001|JQ866001"	9268	9401	134	"*"	134	9927
