"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"4"	"NC_001722|NC_001722"	9412	9817	"+"	4	127.274	87	9.65814e-31	9145	9553	9412	1	1	262	262	13	414	10359	10006	"AF131870|AF131870"	87	22	TRUE	"AF131870|AF131870"	9145	9553	409	"*"	414	10006
"19"	"NC_001722|NC_001722"	9293	9311	"+"	19	24.6461	15	7.83845	9042	9060	9293	1	1	17	17	NA	19	10359	10006	"AF131870|AF131870"	15	20	TRUE	"AF131870|AF131870"	9042	9060	19	"*"	19	10006
"5"	"NC_001722|NC_001722"	8150	8589	"+"	5	124.423	85	6.97413e-30	8003	8436	8150	1	1	273	273	12	443	10359	10006	"AF131870|AF131870"	85	19	TRUE	"AF131870|AF131870"	8003	8436	434	"*"	443	10006
"10"	"NC_001722|NC_001722"	7294	7528	"+"	10	53.1537	35	2.03391e-08	7036	7264	7294	1	1	147	147	12	238	10359	10006	"AF131870|AF131870"	35	18	TRUE	"AF131870|AF131870"	7036	7264	229	"*"	238	10006
"18"	"NC_001722|NC_001722"	7209	7233	"+"	18	27.4968	17	1.08553	3719	3743	7209	1	1	21	21	NA	25	10359	10006	"AF131870|AF131870"	17	17	TRUE	"AF131870|AF131870"	3719	3743	25	"*"	25	10006
"20"	"NC_001722|NC_001722"	7006	7026	"+"	20	24.6461	15	7.83845	6677	6697	7006	1	1	18	18	NA	21	10359	10006	"AF131870|AF131870"	15	16	TRUE	"AF131870|AF131870"	6677	6697	21	"*"	21	10006
"12"	"NC_001722|NC_001722"	6773	6882	"+"	12	44.6014	29	7.65778e-06	6479	6588	6773	1	1	72	72	2	111	10359	10006	"AF131870|AF131870"	29	15	TRUE	"AF131870|AF131870"	6479	6588	110	"*"	111	10006
"11"	"NC_001722|NC_001722"	6543	6613	"+"	11	46.0268	30	2.84976e-06	6264	6335	6543	1	1	52	52	1	72	10359	10006	"AF131870|AF131870"	30	14	TRUE	"AF131870|AF131870"	6264	6335	72	"*"	72	10006
"15"	"NC_001722|NC_001722"	5759	5856	"+"	15	34.6238	22	0.00774761	5776	5873	5759	1	1	65	65	4	100	10359	10006	"AF131870|AF131870"	22	13	TRUE	"AF131870|AF131870"	5776	5873	98	"*"	100	10006
"1"	"NC_001722|NC_001722"	2958	5430	"+"	1	981.078	686	6.67728e-288	2930	5408	2958	1	1	1655	1655	66	2509	10359	10006	"AF131870|AF131870"	686	12	TRUE	"AF131870|AF131870"	2930	5408	2479	"*"	2509	10006
"22"	"NC_001722|NC_001722"	2892	2915	"-"	22	26.0715	16	2.917	1226	1248	2892	1	-1	21	21	1	24	10359	10006	"AF131870|AF131870"	16	10	TRUE	"AF131870|AF131870"	1226	1248	23	"*"	24	10006
"13"	"NC_001722|NC_001722"	2335	2412	"+"	13	38.8999	25	0.000399285	2325	2405	2335	1	1	55	55	3	81	10359	10006	"AF131870|AF131870"	25	9	TRUE	"AF131870|AF131870"	2325	2405	81	"*"	81	10006
"17"	"NC_001722|NC_001722"	2276	2298	"+"	17	27.4968	17	1.08553	2329	2351	2276	1	1	20	20	NA	23	10359	10006	"AF131870|AF131870"	17	8	TRUE	"AF131870|AF131870"	2329	2351	23	"*"	23	10006
"3"	"NC_001722|NC_001722"	1775	2205	"+"	3	168.61	116	3.42943e-43	1693	2129	1775	1	1	293	293	16	442	10359	10006	"AF131870|AF131870"	116	7	TRUE	"AF131870|AF131870"	1693	2129	437	"*"	442	10006
"16"	"NC_001722|NC_001722"	1372	1424	"+"	16	31.773	20	0.0559445	3776	3828	1372	1	1	39	39	2	54	10359	10006	"AF131870|AF131870"	20	5	TRUE	"AF131870|AF131870"	3776	3828	53	"*"	54	10006
"21"	"NC_001722|NC_001722"	1111	1131	"+"	21	24.6461	15	7.83845	2045	2065	1111	1	1	18	18	NA	21	10359	10006	"AF131870|AF131870"	15	4	TRUE	"AF131870|AF131870"	2045	2065	21	"*"	21	10006
"14"	"NC_001722|NC_001722"	850	891	"+"	14	36.0491	23	0.00288319	764	803	850	1	1	34	34	2	42	10359	10006	"AF131870|AF131870"	23	3	TRUE	"AF131870|AF131870"	764	803	40	"*"	42	10006
"8"	"NC_001722|NC_001722"	1	313	"+"	8	75.9599	51	2.75167e-15	1	316	1	1	1	195	195	11	320	10359	10006	"AF131870|AF131870"	51	1	TRUE	"AF131870|AF131870"	1	316	316	"*"	320	10006
