"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"17"	"KY658697|KY658697"	9596	9874	"+"	17	94.4898	64	6.82544e-21	284	559	9596	1	1	200	200	29	292	9875	9927	"JQ866001|JQ866001"	64	34	TRUE	"JQ866001|JQ866001"	284	559	276	"*"	64	9927
"26"	"KY658697|KY658697"	9549	9595	"+"	26	38.8999	25	0.000377495	214	260	9549	1	1	36	36	NA	47	9875	9927	"JQ866001|JQ866001"	25	32	TRUE	"JQ866001|JQ866001"	214	260	47	"*"	25	9927
"7"	"KY658697|KY658697"	9224	9493	"+"	7	164.334	113	6.28361e-42	9181	9451	9224	1	1	193	193	1	271	9875	9927	"JQ866001|JQ866001"	113	31	TRUE	"JQ866001|JQ866001"	9181	9451	271	"*"	113	9927
"19"	"KY658697|KY658697"	8924	9119	"+"	19	60.2807	40	1.37211e-10	8896	9085	8924	1	1	131	131	12	199	9875	9927	"JQ866001|JQ866001"	40	29	TRUE	"JQ866001|JQ866001"	8896	9085	190	"*"	40	9927
"6"	"KY658697|KY658697"	8341	8786	"+"	6	180.013	124	1.1908e-46	8270	8715	8341	1	1	290	290	4	448	9875	9927	"JQ866001|JQ866001"	124	28	TRUE	"JQ866001|JQ866001"	8270	8715	446	"*"	124	9927
"31"	"KY658697|KY658697"	8317	8333	"+"	31	24.6461	15	7.4117	3338	3354	8317	1	1	16	16	NA	17	9875	9927	"JQ866001|JQ866001"	15	27	TRUE	"JQ866001|JQ866001"	3338	3354	17	"*"	15	9927
"5"	"KY658697|KY658697"	8038	8276	"+"	5	191.416	132	4.37911e-50	7928	8166	8038	1	1	188	188	2	240	9875	9927	"JQ866001|JQ866001"	132	26	TRUE	"JQ866001|JQ866001"	7928	8166	239	"*"	132	9927
"22"	"KY658697|KY658697"	7903	7985	"+"	22	46.0268	30	2.69405e-06	7772	7854	7903	1	1	59	59	2	84	9875	9927	"JQ866001|JQ866001"	30	24	TRUE	"JQ866001|JQ866001"	7772	7854	83	"*"	30	9927
"24"	"KY658697|KY658697"	7717	7821	"+"	24	41.7507	27	5.22768e-05	7604	7708	7717	1	1	66	66	NA	105	9875	9927	"JQ866001|JQ866001"	27	23	TRUE	"JQ866001|JQ866001"	7604	7708	105	"*"	27	9927
"30"	"KY658697|KY658697"	7678	7702	"+"	30	27.4968	17	1.0264	7718	7742	7678	1	1	21	21	NA	25	9875	9927	"JQ866001|JQ866001"	17	22	TRUE	"JQ866001|JQ866001"	7718	7742	25	"*"	17	9927
"25"	"KY658697|KY658697"	7545	7608	"+"	25	40.3253	26	0.000140478	7474	7537	7545	1	1	45	45	NA	64	9875	9927	"JQ866001|JQ866001"	26	21	TRUE	"JQ866001|JQ866001"	7474	7537	64	"*"	26	9927
"8"	"KY658697|KY658697"	6909	7445	"+"	8	154.356	106	6.35842e-39	6802	7344	6909	1	1	336	336	12	546	9875	9927	"JQ866001|JQ866001"	106	20	TRUE	"JQ866001|JQ866001"	6802	7344	543	"*"	106	9927
"11"	"KY658697|KY658697"	6567	6860	"+"	11	121.572	83	4.7573e-29	6427	6717	6567	1	1	198	198	9	297	9875	9927	"JQ866001|JQ866001"	83	19	TRUE	"JQ866001|JQ866001"	6427	6717	291	"*"	83	9927
"23"	"KY658697|KY658697"	6232	6352	"+"	23	44.6014	29	7.23947e-06	6095	6215	6232	1	1	80	80	4	123	9875	9927	"JQ866001|JQ866001"	29	18	TRUE	"JQ866001|JQ866001"	6095	6215	121	"*"	29	9927
"15"	"KY658697|KY658697"	6065	6219	"+"	15	100.191	68	1.30893e-22	5937	6091	6065	1	1	114	114	2	156	9875	9927	"JQ866001|JQ866001"	68	17	TRUE	"JQ866001|JQ866001"	5937	6091	155	"*"	68	9927
"9"	"KY658697|KY658697"	5784	6045	"+"	9	135.826	93	2.42279e-33	5665	5926	5784	1	1	180	180	2	263	9875	9927	"JQ866001|JQ866001"	93	16	TRUE	"JQ866001|JQ866001"	5665	5926	262	"*"	93	9927
"1"	"KY658697|KY658697"	2489	5718	"+"	1	2084.32	1460	0	2358	5590	2489	1	1	2369	2369	19	3241	9875	9927	"JQ866001|JQ866001"	1460	15	TRUE	"JQ866001|JQ866001"	2358	5590	3233	"*"	1460	9927
"28"	"KY658697|KY658697"	2391	2411	"+"	28	27.4968	17	1.0264	156	176	2391	1	1	19	19	NA	21	9875	9927	"JQ866001|JQ866001"	17	11	TRUE	"JQ866001|JQ866001"	156	176	21	"*"	17	9927
"16"	"KY658697|KY658697"	2199	2379	"+"	16	100.191	68	1.30893e-22	2053	2239	2199	1	1	134	134	8	188	9875	9927	"JQ866001|JQ866001"	68	10	TRUE	"JQ866001|JQ866001"	2053	2239	187	"*"	68	9927
"2"	"KY658697|KY658697"	1800	2148	"+"	2	292.618	203	1.44691e-80	1645	1992	1800	1	1	277	277	1	349	9875	9927	"JQ866001|JQ866001"	203	8	TRUE	"JQ866001|JQ866001"	1645	1992	348	"*"	203	9927
"4"	"KY658697|KY658697"	1461	1783	"+"	4	207.095	143	8.29862e-55	1297	1619	1461	1	1	233	233	NA	323	9875	9927	"JQ866001|JQ866001"	143	7	TRUE	"JQ866001|JQ866001"	1297	1619	323	"*"	143	9927
"3"	"KY658697|KY658697"	587	1366	"+"	3	254.133	176	5.64705e-69	351	1135	587	1	1	530	530	45	805	9875	9927	"JQ866001|JQ866001"	176	6	TRUE	"JQ866001|JQ866001"	351	1135	785	"*"	176	9927
"20"	"KY658697|KY658697"	464	571	"+"	20	53.1537	35	1.92264e-08	214	325	464	1	1	76	76	4	112	9875	9927	"JQ866001|JQ866001"	35	3	TRUE	"JQ866001|JQ866001"	214	325	112	"*"	35	9927
"10"	"KY658697|KY658697"	225	408	"+"	10	132.975	91	1.74955e-32	9267	9451	225	1	1	139	139	1	185	9875	9927	"JQ866001|JQ866001"	91	2	TRUE	"JQ866001|JQ866001"	9267	9451	185	"*"	91	9927
