"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"5"	"KY658697|KY658697"	9207	9594	"+"	5	108.744	74	3.69303e-25	9601	9979	9207	1	1	250	250	19	393	9875	10535	"M33262|SIVMM239"	74	21	TRUE	"M33262|SIVMM239"	9601	9979	379	"*"	74	10535
"10"	"KY658697|KY658697"	8401	8597	"+"	10	54.5791	36	7.59696e-09	8825	9021	8401	1	1	124	124	6	200	9875	10535	"M33262|SIVMM239"	36	18	TRUE	"M33262|SIVMM239"	8825	9021	197	"*"	36	10535
"3"	"KY658697|KY658697"	7990	8295	"+"	3	125.848	86	2.60503e-30	8423	8728	7990	1	1	201	201	4	308	9875	10535	"M33262|SIVMM239"	86	15	TRUE	"M33262|SIVMM239"	8423	8728	306	"*"	86	10535
"16"	"KY658697|KY658697"	7582	7610	"+"	16	27.4968	17	1.08953	8039	8067	7582	1	1	23	23	NA	29	9875	10535	"M33262|SIVMM239"	17	14	TRUE	"M33262|SIVMM239"	8039	8067	29	"*"	17	10535
"11"	"KY658697|KY658697"	6721	6853	"+"	11	53.1537	35	2.04143e-08	7067	7199	6721	1	1	88	88	4	135	9875	10535	"M33262|SIVMM239"	35	13	TRUE	"M33262|SIVMM239"	7067	7199	133	"*"	35	10535
"19"	"KY658697|KY658697"	6289	6328	"+"	19	26.0715	16	2.92775	4207	4246	6289	1	1	28	28	NA	40	9875	10535	"M33262|SIVMM239"	16	12	TRUE	"M33262|SIVMM239"	4207	4246	40	"*"	16	10535
"8"	"KY658697|KY658697"	6134	6210	"+"	8	64.5568	43	7.50882e-12	6710	6786	6134	1	1	60	60	NA	77	9875	10535	"M33262|SIVMM239"	43	11	TRUE	"M33262|SIVMM239"	6710	6786	77	"*"	43	10535
"21"	"KY658697|KY658697"	6057	6081	"+"	21	24.6461	15	7.86735	4734	4758	6057	1	1	20	20	NA	25	9875	10535	"M33262|SIVMM239"	15	10	TRUE	"M33262|SIVMM239"	4734	4758	25	"*"	15	10535
"4"	"KY658697|KY658697"	5791	6043	"+"	4	108.744	74	3.69303e-25	6400	6655	5791	1	1	168	168	3	256	9875	10535	"M33262|SIVMM239"	74	9	TRUE	"M33262|SIVMM239"	6400	6655	256	"*"	74	10535
"15"	"KY658697|KY658697"	5698	5739	"+"	15	28.9222	18	0.405458	6023	6064	5698	1	1	30	30	NA	42	9875	10535	"M33262|SIVMM239"	18	8	TRUE	"M33262|SIVMM239"	6023	6064	42	"*"	18	10535
"1"	"KY658697|KY658697"	2492	5284	"+"	1	1182.06	827	0	2811	5600	2492	1	1	1884	1884	65	2824	9875	10535	"M33262|SIVMM239"	827	7	TRUE	"M33262|SIVMM239"	2811	5600	2790	"*"	827	10535
"2"	"KY658697|KY658697"	1029	2332	"+"	2	456.537	318	6.56471e-130	1306	2615	1029	1	1	881	881	60	1337	9875	10535	"M33262|SIVMM239"	318	5	TRUE	"M33262|SIVMM239"	1306	2615	1310	"*"	318	10535
"12"	"KY658697|KY658697"	861	904	"+"	12	44.6014	29	7.68608e-06	1060	1105	861	1	1	39	39	2	46	9875	10535	"M33262|SIVMM239"	29	4	TRUE	"M33262|SIVMM239"	1060	1105	46	"*"	29	10535
"6"	"KY658697|KY658697"	225	509	"+"	6	90.2137	61	1.40683e-19	9701	9979	225	1	1	185	185	12	288	9875	10535	"M33262|SIVMM239"	61	3	TRUE	"M33262|SIVMM239"	9701	9979	279	"*"	61	10535
