"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"10"	"KY658697|KY658697"	9621	9823	"+"	10	56.0045	37	2.76757e-09	375	578	9621	1	1	137	137	15	211	9875	10315	"DQ201174|DQ201174"	37	20	TRUE	"DQ201174|DQ201174"	375	578	204	"*"	37	10315
"3"	"KY658697|KY658697"	9221	9594	"+"	3	124.423	85	6.85104e-30	9378	9745	9221	1	1	241	241	12	377	9875	10315	"DQ201174|DQ201174"	85	19	TRUE	"DQ201174|DQ201174"	9378	9745	368	"*"	85	10315
"15"	"KY658697|KY658697"	8653	8715	"+"	15	38.8999	25	0.000392342	8864	8925	8653	1	1	45	45	1	63	9875	10315	"DQ201174|DQ201174"	25	17	TRUE	"DQ201174|DQ201174"	8864	8925	62	"*"	25	10315
"7"	"KY658697|KY658697"	8335	8555	"+"	7	85.9375	58	2.67201e-18	8525	8745	8335	1	1	147	147	6	224	9875	10315	"DQ201174|DQ201174"	58	16	TRUE	"DQ201174|DQ201174"	8525	8745	221	"*"	58	10315
"4"	"KY658697|KY658697"	7982	8295	"+"	4	121.572	83	4.94716e-29	8179	8494	7982	1	1	204	204	4	317	9875	10315	"DQ201174|DQ201174"	83	15	TRUE	"DQ201174|DQ201174"	8179	8494	316	"*"	83	10315
"20"	"KY658697|KY658697"	7403	7443	"+"	20	24.6461	15	7.70248	3339	3379	7403	1	1	28	28	NA	41	9875	10315	"DQ201174|DQ201174"	15	14	TRUE	"DQ201174|DQ201174"	3339	3379	41	"*"	15	10315
"6"	"KY658697|KY658697"	5801	6056	"+"	6	107.318	73	9.713e-25	6161	6417	5801	1	1	166	166	1	257	9875	10315	"DQ201174|DQ201174"	73	13	TRUE	"DQ201174|DQ201174"	6161	6417	257	"*"	73	10315
"19"	"KY658697|KY658697"	5547	5581	"+"	19	26.0715	16	2.86638	4537	4569	5547	1	1	27	27	2	35	9875	10315	"DQ201174|DQ201174"	16	12	TRUE	"DQ201174|DQ201174"	4537	4569	33	"*"	16	10315
"1"	"KY658697|KY658697"	2492	5284	"+"	1	1197.74	838	0	2558	5347	2492	1	1	1869	1869	47	2815	9875	10315	"DQ201174|DQ201174"	838	11	TRUE	"DQ201174|DQ201174"	2558	5347	2790	"*"	838	10315
"2"	"KY658697|KY658697"	1019	2333	"+"	2	486.47	339	6.19021e-139	1051	2375	1019	1	1	882	882	48	1344	9875	10315	"DQ201174|DQ201174"	339	9	TRUE	"DQ201174|DQ201174"	1051	2375	1325	"*"	339	10315
"14"	"KY658697|KY658697"	861	899	"+"	14	46.0268	30	2.80014e-06	818	858	861	1	1	37	37	2	41	9875	10315	"DQ201174|DQ201174"	30	8	TRUE	"DQ201174|DQ201174"	818	858	41	"*"	30	10315
"22"	"KY658697|KY658697"	732	760	"-"	22	24.6461	15	7.70248	4488	4516	732	1	-1	22	22	NA	29	9875	10315	"DQ201174|DQ201174"	15	7	TRUE	"DQ201174|DQ201174"	4488	4516	29	"*"	15	10315
"16"	"KY658697|KY658697"	590	645	"+"	16	36.0491	23	0.00283307	414	470	590	1	1	41	41	1	57	9875	10315	"DQ201174|DQ201174"	23	3	TRUE	"DQ201174|DQ201174"	414	470	57	"*"	23	10315
"5"	"KY658697|KY658697"	225	509	"+"	5	108.744	74	3.61455e-25	9467	9745	225	1	1	191	191	12	288	9875	10315	"DQ201174|DQ201174"	74	2	TRUE	"DQ201174|DQ201174"	9467	9745	279	"*"	74	10315
