"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"10"	"AF321523|AF321523"	9698	9751	"+"	10	53.1537	35	1.87852e-08	284	339	9698	1	1	47	47	2	56	9913	9664	"U79412|SIU79412"	35	23	TRUE	"U79412|SIU79412"	284	339	56	"*"	35	9664
"16"	"AF321523|AF321523"	9407	9476	"+"	16	31.773	20	0.0516858	9341	9407	9407	1	1	48	48	3	70	9913	9664	"U79412|SIU79412"	20	22	TRUE	"U79412|SIU79412"	9341	9407	67	"*"	20	9664
"3"	"AF321523|AF321523"	8971	9347	"+"	3	132.975	91	1.70882e-32	8830	9200	8971	1	1	246	246	12	380	9913	9664	"U79412|SIU79412"	91	21	TRUE	"U79412|SIU79412"	8830	9200	371	"*"	91	9664
"12"	"AF321523|AF321523"	8043	8329	"+"	12	46.0268	30	2.6323e-06	7958	8242	8043	1	1	175	175	14	293	9913	9664	"U79412|SIU79412"	30	19	TRUE	"U79412|SIU79412"	7958	8242	285	"*"	30	9664
"4"	"AF321523|AF321523"	7650	8024	"+"	4	122.997	84	1.72921e-29	7569	7949	7650	1	1	245	245	14	385	9913	9664	"U79412|SIU79412"	84	18	TRUE	"U79412|SIU79412"	7569	7949	381	"*"	84	9664
"14"	"AF321523|AF321523"	7283	7375	"+"	14	38.8999	25	0.000368854	7190	7282	7283	1	1	64	64	4	95	9913	9664	"U79412|SIU79412"	25	17	TRUE	"U79412|SIU79412"	7190	7282	93	"*"	25	9664
"13"	"AF321523|AF321523"	6324	6381	"+"	13	43.1761	28	1.90083e-05	6147	6204	6324	1	1	43	43	NA	58	9913	9664	"U79412|SIU79412"	28	16	TRUE	"U79412|SIU79412"	6147	6204	58	"*"	28	9664
"8"	"AF321523|AF321523"	5877	6034	"+"	8	60.2807	40	1.34059e-10	5922	6073	5877	1	1	104	104	6	158	9913	9664	"U79412|SIU79412"	40	15	TRUE	"U79412|SIU79412"	5922	6073	152	"*"	40	9664
"5"	"AF321523|AF321523"	5534	5786	"+"	5	100.191	68	1.27864e-22	5612	5867	5534	1	1	170	170	7	258	9913	9664	"U79412|SIU79412"	68	14	TRUE	"U79412|SIU79412"	5612	5867	256	"*"	68	9664
"11"	"AF321523|AF321523"	5241	5482	"+"	11	46.0268	30	2.6323e-06	5032	5276	5241	1	1	142	142	5	246	9913	9664	"U79412|SIU79412"	30	13	TRUE	"U79412|SIU79412"	5032	5276	245	"*"	30	9664
"1"	"AF321523|AF321523"	2235	5027	"+"	1	1166.38	816	0	2023	4812	2235	1	1	1865	1865	53	2818	9913	9664	"U79412|SIU79412"	816	12	TRUE	"U79412|SIU79412"	2023	4812	2790	"*"	816	9664
"2"	"AF321523|AF321523"	1213	2084	"+"	2	359.611	250	9.3774e-101	968	1839	1213	1	1	589	589	26	885	9913	9664	"U79412|SIU79412"	250	7	TRUE	"U79412|SIU79412"	968	1839	872	"*"	250	9664
"6"	"AF321523|AF321523"	790	972	"+"	6	88.7883	60	3.47693e-19	530	712	790	1	1	124	124	2	184	9913	9664	"U79412|SIU79412"	60	6	TRUE	"U79412|SIU79412"	530	712	183	"*"	60	9664
"9"	"AF321523|AF321523"	620	685	"+"	9	54.5791	36	6.99056e-09	284	353	620	1	1	56	56	4	70	9913	9664	"U79412|SIU79412"	36	4	TRUE	"U79412|SIU79412"	284	353	70	"*"	36	9664
"15"	"AF321523|AF321523"	329	398	"+"	15	34.6238	22	0.00715755	9341	9407	329	1	1	49	49	3	70	9913	9664	"U79412|SIU79412"	22	3	TRUE	"U79412|SIU79412"	9341	9407	67	"*"	22	9664
"7"	"AF321523|AF321523"	1	268	"+"	7	64.5568	43	6.90846e-12	8939	9200	1	1	1	165	165	10	270	9913	9664	"U79412|SIU79412"	43	2	TRUE	"U79412|SIU79412"	8939	9200	262	"*"	43	9664
