"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"13"	"L40990|SIVREV"	9508	9657	"+"	13	94.4898	64	6.85898e-21	392	543	9508	1	1	112	112	4	153	9815	10036	"U04005|SIU04005"	64	32	TRUE	"U04005|SIU04005"	392	543	152	"*"	64	10036
"5"	"L40990|SIVREV"	8653	9383	"+"	5	252.707	175	1.52518e-68	8827	9554	8653	1	1	478	478	23	741	9815	10036	"U04005|SIU04005"	175	27	TRUE	"U04005|SIU04005"	8827	9554	728	"*"	175	10036
"2"	"L40990|SIVREV"	7603	8454	"+"	2	570.568	398	2.7919e-164	7759	8604	7603	1	1	632	632	8	853	9815	10036	"U04005|SIU04005"	398	24	TRUE	"U04005|SIU04005"	7759	8604	846	"*"	398	10036
"3"	"L40990|SIVREV"	6738	7588	"+"	3	433.731	302	4.57717e-123	6906	7758	6738	1	1	589	589	12	858	9815	10036	"U04005|SIU04005"	302	23	TRUE	"U04005|SIU04005"	6906	7758	853	"*"	302	10036
"17"	"L40990|SIVREV"	6484	6675	"+"	17	81.6614	55	5.01165e-17	6691	6882	6484	1	1	126	126	2	193	9815	10036	"U04005|SIU04005"	55	22	TRUE	"U04005|SIU04005"	6691	6882	192	"*"	55	10036
"7"	"L40990|SIVREV"	6056	6459	"+"	7	152.931	105	1.71714e-38	6254	6654	6056	1	1	268	268	13	409	9815	10036	"U04005|SIU04005"	105	21	TRUE	"U04005|SIU04005"	6254	6654	401	"*"	105	10036
"1"	"L40990|SIVREV"	2582	5767	"+"	1	1581.16	1107	0	2756	5934	2582	1	1	2213	2213	63	3214	9815	10036	"U04005|SIU04005"	1107	19	TRUE	"U04005|SIU04005"	2756	5934	3179	"*"	1107	10036
"30"	"L40990|SIVREV"	2525	2558	"+"	30	26.0715	16	2.77154	2966	2999	2525	1	1	25	25	NA	34	9815	10036	"U04005|SIU04005"	16	16	TRUE	"U04005|SIU04005"	2966	2999	34	"*"	16	10036
"19"	"L40990|SIVREV"	2111	2316	"+"	19	61.706	41	5.13104e-11	2231	2438	2111	1	1	131	131	6	210	9815	10036	"U04005|SIU04005"	41	15	TRUE	"U04005|SIU04005"	2231	2438	208	"*"	41	10036
"31"	"L40990|SIVREV"	2094	2108	"+"	31	24.6461	15	7.44769	2199	2213	2094	1	1	15	15	NA	15	9815	10036	"U04005|SIU04005"	15	14	TRUE	"U04005|SIU04005"	2199	2213	15	"*"	15	10036
"4"	"L40990|SIVREV"	1317	2063	"+"	4	426.604	297	6.41475e-121	1405	2153	1317	1	1	534	534	10	753	9815	10036	"U04005|SIU04005"	297	13	TRUE	"U04005|SIU04005"	1405	2153	749	"*"	297	10036
"8"	"L40990|SIVREV"	941	1314	"+"	8	150.08	103	1.23998e-37	1016	1386	941	1	1	253	253	13	379	9815	10036	"U04005|SIU04005"	103	10	TRUE	"U04005|SIU04005"	1016	1386	371	"*"	103	10036
"20"	"L40990|SIVREV"	710	746	"+"	20	43.1761	28	1.95487e-05	752	790	710	1	1	35	35	2	39	9815	10036	"U04005|SIU04005"	28	9	TRUE	"U04005|SIU04005"	752	790	39	"*"	28	10036
"14"	"L40990|SIVREV"	416	565	"+"	14	94.4898	64	6.85898e-21	392	543	416	1	1	112	112	4	153	9815	10036	"U04005|SIU04005"	64	7	TRUE	"U04005|SIU04005"	392	543	152	"*"	64	10036
"10"	"L40990|SIVREV"	1	291	"+"	10	130.124	89	1.26963e-31	1	285	1	1	1	194	194	6	291	9815	10036	"U04005|SIU04005"	89	1	TRUE	"U04005|SIU04005"	1	285	285	"*"	89	10036
