"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"3"	"JX236671|JX236671"	9094	9479	"+"	3	118.721	81	3.58012e-28	9399	9778	9094	1	1	242	242	10	388	9854	10359	"NC_001722|NC_001722"	81	25	TRUE	"NC_001722|NC_001722"	9399	9778	380	"*"	388	10359
"6"	"JX236671|JX236671"	8190	8458	"+"	6	78.8106	53	3.75203e-16	8552	8820	8190	1	1	166	166	4	271	9854	10359	"NC_001722|NC_001722"	53	23	TRUE	"NC_001722|NC_001722"	8552	8820	269	"*"	271	10359
"5"	"JX236671|JX236671"	7881	8153	"+"	5	100.191	68	1.36392e-22	8254	8527	7881	1	1	172	172	1	274	9854	10359	"NC_001722|NC_001722"	68	22	TRUE	"NC_001722|NC_001722"	8254	8527	274	"*"	274	10359
"14"	"JX236671|JX236671"	7673	7696	"+"	14	28.9222	18	0.397804	5117	5140	7673	1	1	21	21	NA	24	9854	10359	"NC_001722|NC_001722"	18	20	TRUE	"NC_001722|NC_001722"	5117	5140	24	"*"	24	10359
"13"	"JX236671|JX236671"	7415	7444	"+"	13	31.773	20	0.0550904	7867	7896	7415	1	1	25	25	NA	30	9854	10359	"NC_001722|NC_001722"	20	19	TRUE	"NC_001722|NC_001722"	7867	7896	30	"*"	30	10359
"16"	"JX236671|JX236671"	7247	7277	"+"	16	27.4968	17	1.06897	5173	5202	7247	1	1	25	25	1	31	9854	10359	"NC_001722|NC_001722"	17	18	TRUE	"NC_001722|NC_001722"	5173	5202	30	"*"	31	10359
"11"	"JX236671|JX236671"	6375	6434	"+"	11	46.0268	30	2.80614e-06	6779	6838	6375	1	1	45	45	NA	60	9854	10359	"NC_001722|NC_001722"	30	17	TRUE	"NC_001722|NC_001722"	6779	6838	60	"*"	60	10359
"25"	"JX236671|JX236671"	5935	5955	"-"	25	24.6461	15	7.71894	7637	7657	5935	1	-1	18	18	NA	21	9854	10359	"NC_001722|NC_001722"	15	16	TRUE	"NC_001722|NC_001722"	7637	7657	21	"*"	21	10359
"10"	"JX236671|JX236671"	5605	5858	"+"	10	57.4299	38	1.03213e-09	6264	6514	5605	1	1	155	155	9	257	9854	10359	"NC_001722|NC_001722"	38	15	TRUE	"NC_001722|NC_001722"	6264	6514	251	"*"	257	10359
"1"	"JX236671|JX236671"	2289	5081	"+"	1	1166.38	816	0	2638	5427	2289	1	1	1856	1856	45	2814	9854	10359	"NC_001722|NC_001722"	816	13	TRUE	"NC_001722|NC_001722"	2638	5427	2790	"*"	2814	10359
"15"	"JX236671|JX236671"	2177	2204	"+"	15	28.9222	18	0.397804	2460	2487	2177	1	1	23	23	NA	28	9854	10359	"NC_001722|NC_001722"	18	9	TRUE	"NC_001722|NC_001722"	2460	2487	28	"*"	28	10359
"2"	"JX236671|JX236671"	1279	2127	"+"	2	362.462	252	1.38945e-101	1559	2404	1279	1	1	566	566	15	855	9854	10359	"NC_001722|NC_001722"	252	8	TRUE	"NC_001722|NC_001722"	1559	2404	846	"*"	855	10359
"17"	"JX236671|JX236671"	1171	1201	"+"	17	27.4968	17	1.06897	7284	7314	1171	1	1	24	24	NA	31	9854	10359	"NC_001722|NC_001722"	17	5	TRUE	"NC_001722|NC_001722"	7284	7314	31	"*"	31	10359
"4"	"JX236671|JX236671"	817	1127	"+"	4	101.617	69	5.07562e-23	1091	1401	817	1	1	195	195	4	313	9854	10359	"NC_001722|NC_001722"	69	4	TRUE	"NC_001722|NC_001722"	1091	1401	311	"*"	313	10359
"12"	"JX236671|JX236671"	643	682	"+"	12	44.6014	29	7.54061e-06	843	884	643	1	1	37	37	2	42	9854	10359	"NC_001722|NC_001722"	29	3	TRUE	"NC_001722|NC_001722"	843	884	42	"*"	42	10359
"8"	"JX236671|JX236671"	1	280	"+"	8	75.9599	51	2.70933e-15	1	274	1	1	1	174	174	10	282	9854	10359	"NC_001722|NC_001722"	51	1	TRUE	"NC_001722|NC_001722"	1	274	274	"*"	282	10359
