"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"9"	"JX236671|JX236671"	9422	9854	"+"	9	144.378	99	6.42005e-36	214	645	9422	1	1	298	298	29	447	9854	9927	"JQ866001|JQ866001"	99	28	TRUE	"JQ866001|JQ866001"	214	645	432	"*"	99	9927
"7"	"JX236671|JX236671"	9097	9376	"+"	7	164.334	113	6.26986e-42	9181	9461	9097	1	1	198	198	1	281	9854	9927	"JQ866001|JQ866001"	113	26	TRUE	"JQ866001|JQ866001"	9181	9461	281	"*"	113	9927
"21"	"JX236671|JX236671"	8790	8921	"+"	21	43.1761	28	1.94123e-05	8879	9011	8790	1	1	90	90	9	137	9854	9927	"JQ866001|JQ866001"	28	24	TRUE	"JQ866001|JQ866001"	8879	9011	133	"*"	28	9927
"8"	"JX236671|JX236671"	8169	8600	"+"	8	158.632	109	3.2695e-40	8238	8668	8169	1	1	284	284	11	437	9854	9927	"JQ866001|JQ866001"	109	23	TRUE	"JQ866001|JQ866001"	8238	8668	431	"*"	109	9927
"3"	"JX236671|JX236671"	7887	8134	"+"	3	214.222	148	5.9089e-57	7920	8166	7887	1	1	199	199	1	248	9854	9927	"JQ866001|JQ866001"	148	21	TRUE	"JQ866001|JQ866001"	7920	8166	247	"*"	148	9927
"23"	"JX236671|JX236671"	7586	7643	"+"	23	37.4745	24	0.00101224	7639	7696	7586	1	1	41	41	NA	58	9854	9927	"JQ866001|JQ866001"	24	20	TRUE	"JQ866001|JQ866001"	7639	7696	58	"*"	24	9927
"20"	"JX236671|JX236671"	7379	7442	"+"	20	47.4522	31	1.0004e-06	7474	7537	7379	1	1	50	50	2	65	9854	9927	"JQ866001|JQ866001"	31	19	TRUE	"JQ866001|JQ866001"	7474	7537	64	"*"	31	9927
"6"	"JX236671|JX236671"	6749	7309	"+"	6	170.035	117	1.20235e-43	6802	7371	6749	1	1	359	359	15	573	9854	9927	"JQ866001|JQ866001"	117	18	TRUE	"JQ866001|JQ866001"	6802	7371	570	"*"	117	9927
"14"	"JX236671|JX236671"	6378	6649	"+"	14	114.445	78	6.65178e-27	6428	6696	6378	1	1	182	182	7	274	9854	9927	"JQ866001|JQ866001"	78	17	TRUE	"JQ866001|JQ866001"	6428	6696	269	"*"	78	9927
"22"	"JX236671|JX236671"	6038	6090	"+"	22	41.7507	27	5.21648e-05	6104	6156	6038	1	1	40	40	NA	53	9854	9927	"JQ866001|JQ866001"	27	16	TRUE	"JQ866001|JQ866001"	6104	6156	53	"*"	27	9927
"13"	"JX236671|JX236671"	5584	5875	"+"	13	131.55	90	4.6912e-32	5668	5959	5584	1	1	196	196	4	294	9854	9927	"JQ866001|JQ866001"	90	14	TRUE	"JQ866001|JQ866001"	5668	5959	292	"*"	90	9927
"1"	"JX236671|JX236671"	2287	5529	"+"	1	2008.78	1407	0	2359	5604	2287	1	1	2346	2346	17	3253	9854	9927	"JQ866001|JQ866001"	1407	13	TRUE	"JQ866001|JQ866001"	2359	5604	3246	"*"	1407	9927
"15"	"JX236671|JX236671"	1977	2174	"+"	15	111.594	76	4.80337e-26	2038	2240	1977	1	1	148	148	9	205	9854	9927	"JQ866001|JQ866001"	76	10	TRUE	"JQ866001|JQ866001"	2038	2240	203	"*"	76	9927
"2"	"JX236671|JX236671"	1597	1935	"+"	2	291.193	202	3.87953e-80	1645	1984	1597	1	1	272	272	1	340	9854	9927	"JQ866001|JQ866001"	202	9	TRUE	"JQ866001|JQ866001"	1645	1984	340	"*"	202	9927
"4"	"JX236671|JX236671"	1258	1580	"+"	4	198.543	137	3.11812e-52	1297	1619	1258	1	1	230	230	NA	323	9854	9927	"JQ866001|JQ866001"	137	7	TRUE	"JQ866001|JQ866001"	1297	1619	323	"*"	137	9927
"12"	"JX236671|JX236671"	826	1180	"+"	12	141.527	97	4.63606e-35	802	1154	826	1	1	234	234	8	358	9854	9927	"JQ866001|JQ866001"	97	6	TRUE	"JQ866001|JQ866001"	802	1154	353	"*"	97	9927
"5"	"JX236671|JX236671"	223	683	"+"	5	178.587	123	3.19296e-46	214	673	223	1	1	324	324	29	475	9854	9927	"JQ866001|JQ866001"	123	4	TRUE	"JQ866001|JQ866001"	214	673	460	"*"	123	9927
"17"	"JX236671|JX236671"	1	177	"+"	17	97.3406	66	9.43157e-22	7	184	1	1	1	123	123	1	178	9854	9927	"JQ866001|JQ866001"	66	1	TRUE	"JQ866001|JQ866001"	7	184	178	"*"	66	9927
