"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"15"	"AF131870|AF131870"	9673	9767	"+"	15	50.303	33	1.4225e-07	425	522	9673	1	1	68	68	3	98	10006	10036	"U04005|SIU04005"	33	25	TRUE	"U04005|SIU04005"	425	522	98	"*"	33	10036
"5"	"AF131870|AF131870"	9136	9509	"+"	5	127.274	87	9.35062e-31	9168	9537	9136	1	1	241	241	10	377	10006	10036	"U04005|SIU04005"	87	23	TRUE	"U04005|SIU04005"	9168	9537	370	"*"	87	10036
"4"	"AF131870|AF131870"	8001	8622	"+"	4	197.117	136	8.60972e-52	7979	8603	8001	1	1	400	400	17	632	10006	10036	"U04005|SIU04005"	136	21	TRUE	"U04005|SIU04005"	7979	8603	625	"*"	136	10036
"23"	"AF131870|AF131870"	7775	7845	"+"	23	24.6461	15	7.59317	7786	7856	7775	1	1	43	43	NA	71	10006	10036	"U04005|SIU04005"	15	20	TRUE	"U04005|SIU04005"	7786	7856	71	"*"	15	10036
"14"	"AF131870|AF131870"	7042	7257	"+"	14	51.7284	34	5.29364e-08	7080	7298	7042	1	1	132	132	5	220	10006	10036	"U04005|SIU04005"	34	19	TRUE	"U04005|SIU04005"	7080	7298	219	"*"	34	10036
"9"	"AF131870|AF131870"	6265	6589	"+"	9	70.2583	47	1.38952e-13	6324	6651	6265	1	1	200	200	11	332	10006	10036	"U04005|SIU04005"	47	17	TRUE	"U04005|SIU04005"	6324	6651	328	"*"	47	10036
"1"	"AF131870|AF131870"	2927	5412	"+"	1	1003.88	702	8.68242e-295	2968	5450	2927	1	1	1650	1650	49	2509	10006	10036	"U04005|SIU04005"	702	16	TRUE	"U04005|SIU04005"	2968	5450	2483	"*"	702	10036
"21"	"AF131870|AF131870"	2505	2525	"+"	21	24.6461	15	7.59317	8771	8791	2505	1	1	18	18	NA	21	10006	10036	"U04005|SIU04005"	15	13	TRUE	"U04005|SIU04005"	8771	8791	21	"*"	15	10036
"11"	"AF131870|AF131870"	2376	2435	"+"	11	54.5791	36	7.3309e-09	2375	2433	2376	1	1	49	49	1	60	10006	10036	"U04005|SIU04005"	36	12	TRUE	"U04005|SIU04005"	2375	2433	59	"*"	36	10036
"22"	"AF131870|AF131870"	2345	2369	"+"	22	24.6461	15	7.59317	8236	8260	2345	1	1	20	20	NA	25	10006	10036	"U04005|SIU04005"	15	11	TRUE	"U04005|SIU04005"	8236	8260	25	"*"	15	10036
"3"	"AF131870|AF131870"	1453	2181	"+"	3	204.244	141	6.14421e-54	1485	2207	1453	1	1	455	455	18	735	10006	10036	"U04005|SIU04005"	141	10	TRUE	"U04005|SIU04005"	1485	2207	723	"*"	141	10036
"10"	"AF131870|AF131870"	1136	1401	"+"	10	61.706	41	5.23193e-11	1089	1358	1136	1	1	169	169	12	274	10006	10036	"U04005|SIU04005"	41	7	TRUE	"U04005|SIU04005"	1089	1358	270	"*"	41	10036
"17"	"AF131870|AF131870"	765	792	"+"	17	40.3253	26	0.000143928	763	790	765	1	1	27	27	NA	28	10006	10036	"U04005|SIU04005"	26	6	TRUE	"U04005|SIU04005"	763	790	28	"*"	26	10036
"12"	"AF131870|AF131870"	436	530	"+"	12	53.1537	35	1.96995e-08	425	522	436	1	1	69	69	3	98	10006	10036	"U04005|SIU04005"	35	4	TRUE	"U04005|SIU04005"	425	522	98	"*"	35	10036
"7"	"AF131870|AF131870"	1	272	"+"	7	78.8106	53	3.69035e-16	1	268	1	1	1	173	173	10	275	10006	10036	"U04005|SIU04005"	53	1	TRUE	"U04005|SIU04005"	1	268	268	"*"	53	10036
