"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"5"	"AB253712|AB253712"	9688	9945	"+"	5	111.594	76	5.26451e-26	9286	9543	9688	1	1	172	172	4	260	10340	10351	"U27200|HIV2U27200"	76	23	TRUE	"U27200|HIV2U27200"	9286	9543	258	"*"	260	10351
"16"	"AB253712|AB253712"	9649	9685	"+"	16	28.9222	18	0.417189	55	89	9649	1	1	29	29	2	37	10340	10351	"U27200|HIV2U27200"	18	20	TRUE	"U27200|HIV2U27200"	55	89	35	"*"	37	10351
"7"	"AB253712|AB253712"	8781	9006	"+"	7	80.236	54	1.46493e-16	8514	8739	8781	1	1	144	144	4	228	10340	10351	"U27200|HIV2U27200"	54	19	TRUE	"U27200|HIV2U27200"	8514	8739	226	"*"	228	10351
"6"	"AB253712|AB253712"	8370	8683	"+"	6	98.766	67	3.84594e-22	8112	8428	8370	1	1	205	205	11	321	10340	10351	"U27200|HIV2U27200"	67	18	TRUE	"U27200|HIV2U27200"	8112	8428	317	"*"	321	10351
"18"	"AB253712|AB253712"	8196	8216	"+"	18	27.4968	17	1.12105	5024	5044	8196	1	1	19	19	NA	21	10340	10351	"U27200|HIV2U27200"	17	17	TRUE	"U27200|HIV2U27200"	5024	5044	21	"*"	21	10351
"21"	"AB253712|AB253712"	7361	7387	"+"	21	24.6461	15	8.0948	1106	1132	7361	1	1	21	21	NA	27	10340	10351	"U27200|HIV2U27200"	15	16	TRUE	"U27200|HIV2U27200"	1106	1132	27	"*"	27	10351
"23"	"AB253712|AB253712"	6976	6996	"-"	23	24.6461	15	8.0948	8103	8123	6976	1	-1	18	18	NA	21	10340	10351	"U27200|HIV2U27200"	15	15	TRUE	"U27200|HIV2U27200"	8103	8123	21	"*"	21	10351
"11"	"AB253712|AB253712"	6581	6650	"+"	11	57.4299	38	1.08268e-09	6532	6601	6581	1	1	54	54	NA	70	10340	10351	"U27200|HIV2U27200"	38	14	TRUE	"U27200|HIV2U27200"	6532	6601	70	"*"	70	10351
"14"	"AB253712|AB253712"	6005	6192	"+"	14	36.0491	23	0.00297766	5685	5874	6005	1	1	113	113	6	192	10340	10351	"U27200|HIV2U27200"	23	13	TRUE	"U27200|HIV2U27200"	5685	5874	190	"*"	192	10351
"3"	"AB253712|AB253712"	5322	5724	"+"	3	204.244	141	6.56339e-54	4996	5398	5322	1	1	279	279	6	406	10340	10351	"U27200|HIV2U27200"	141	12	TRUE	"U27200|HIV2U27200"	4996	5398	403	"*"	406	10351
"1"	"AB253712|AB253712"	2266	5058	"+"	1	1189.18	832	0	2609	5398	2266	1	1	1858	1858	39	2811	10340	10351	"U27200|HIV2U27200"	832	10	TRUE	"U27200|HIV2U27200"	2609	5398	2790	"*"	2811	10351
"2"	"AB253712|AB253712"	1238	2107	"+"	2	408.074	284	2.67316e-115	1500	2375	1238	1	1	596	596	16	881	10340	10351	"U27200|HIV2U27200"	284	7	TRUE	"U27200|HIV2U27200"	1500	2375	876	"*"	881	10351
"4"	"AB253712|AB253712"	807	1107	"+"	4	113.02	77	1.95913e-26	1078	1378	807	1	1	199	199	8	305	10340	10351	"U27200|HIV2U27200"	77	5	TRUE	"U27200|HIV2U27200"	1078	1378	301	"*"	305	10351
"12"	"AB253712|AB253712"	621	656	"+"	12	41.7507	27	5.71097e-05	839	876	621	1	1	34	34	2	38	10340	10351	"U27200|HIV2U27200"	27	3	TRUE	"U27200|HIV2U27200"	839	876	38	"*"	38	10351
"9"	"AB253712|AB253712"	1	152	"+"	9	58.8553	39	4.02908e-10	1	152	1	1	1	98	98	2	153	10340	10351	"U27200|HIV2U27200"	39	1	TRUE	"U27200|HIV2U27200"	1	152	152	"*"	153	10351
