"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"3"	"AY530889|AY530889"	8853	9298	"+"	3	152.931	105	1.67461e-38	9106	9553	8853	1	1	302	302	22	458	9607	10006	"AF131870|AF131870"	105	18	TRUE	"AF131870|AF131870"	9106	9553	448	"*"	105	10006
"17"	"AY530889|AY530889"	8449	8474	"-"	17	28.9222	18	0.374516	6168	6192	8449	1	-1	23	23	1	26	9607	10006	"AF131870|AF131870"	18	16	TRUE	"AF131870|AF131870"	6168	6192	25	"*"	18	10006
"5"	"AY530889|AY530889"	7632	8098	"+"	5	117.296	80	9.04875e-28	8001	8461	7632	1	1	289	289	16	472	9607	10006	"AF131870|AF131870"	80	15	TRUE	"AF131870|AF131870"	8001	8461	461	"*"	80	10006
"11"	"AY530889|AY530889"	6833	6879	"+"	11	33.1984	21	0.0193002	7115	7161	6833	1	1	34	34	NA	47	9607	10006	"AF131870|AF131870"	21	14	TRUE	"AF131870|AF131870"	7115	7161	47	"*"	21	10006
"12"	"AY530889|AY530889"	6408	6496	"+"	12	31.773	20	0.0518638	6669	6757	6408	1	1	57	57	2	90	9607	10006	"AF131870|AF131870"	20	13	TRUE	"AF131870|AF131870"	6669	6757	89	"*"	20	10006
"18"	"AY530889|AY530889"	6126	6157	"-"	18	26.0715	16	2.70443	4218	4248	6126	1	-1	25	25	1	32	9607	10006	"AF131870|AF131870"	16	12	TRUE	"AF131870|AF131870"	4218	4248	31	"*"	16	10006
"8"	"AY530889|AY530889"	5716	5814	"+"	8	51.7284	34	5.06545e-08	5932	6030	5716	1	1	69	69	2	100	9607	10006	"AF131870|AF131870"	34	11	TRUE	"AF131870|AF131870"	5932	6030	99	"*"	34	10006
"1"	"AY530889|AY530889"	3173	4910	"+"	1	703.128	491	3.20974e-204	3666	5409	3173	1	1	1163	1163	40	1761	9607	10006	"AF131870|AF131870"	491	10	TRUE	"AF131870|AF131870"	3666	5409	1744	"*"	491	10006
"15"	"AY530889|AY530889"	2809	2848	"+"	15	26.0715	16	2.70443	5187	5225	2809	1	1	29	29	1	40	9607	10006	"AF131870|AF131870"	16	8	TRUE	"AF131870|AF131870"	5187	5225	39	"*"	16	10006
"16"	"AY530889|AY530889"	2311	2337	"+"	16	24.6461	15	7.26739	3737	3763	2311	1	1	21	21	NA	27	9607	10006	"AF131870|AF131870"	15	7	TRUE	"AF131870|AF131870"	3737	3763	27	"*"	15	10006
"9"	"AY530889|AY530889"	1827	1907	"+"	9	50.303	33	1.3612e-07	2326	2409	1827	1	1	61	61	3	84	9607	10006	"AF131870|AF131870"	33	6	TRUE	"AF131870|AF131870"	2326	2409	84	"*"	33	10006
"4"	"AY530889|AY530889"	1249	1684	"+"	4	151.505	104	4.50008e-38	1688	2129	1249	1	1	287	287	14	446	9607	10006	"AF131870|AF131870"	104	5	TRUE	"AF131870|AF131870"	1688	2129	442	"*"	104	10006
"13"	"AY530889|AY530889"	851	910	"+"	13	28.9222	18	0.374516	3776	3835	851	1	1	44	44	4	62	9607	10006	"AF131870|AF131870"	18	3	TRUE	"AF131870|AF131870"	3776	3835	60	"*"	18	10006
"10"	"AY530889|AY530889"	343	384	"+"	10	40.3253	26	0.000137736	764	804	343	1	1	37	37	3	43	9607	10006	"AF131870|AF131870"	26	1	TRUE	"AF131870|AF131870"	764	804	41	"*"	26	10006
