"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"9"	"JQ866001|JQ866001"	9509	9540	"+"	9	31.773	20	0.0525721	241	272	9509	1	1	26	26	NA	32	9927	9815	"L40990|SIVREV"	20	20	TRUE	"L40990|SIVREV"	241	272	32	"*"	20	9815
"6"	"JQ866001|JQ866001"	8396	8622	"+"	6	77.3852	52	9.61795e-16	8365	8591	8396	1	1	146	146	6	230	9927	9815	"L40990|SIVREV"	52	19	TRUE	"L40990|SIVREV"	8365	8591	227	"*"	52	9815
"3"	"JQ866001|JQ866001"	7920	8191	"+"	3	118.721	81	3.41403e-28	7936	8209	7920	1	1	182	182	4	275	9927	9815	"L40990|SIVREV"	81	18	TRUE	"L40990|SIVREV"	7936	8209	274	"*"	81	9815
"21"	"JQ866001|JQ866001"	7528	7552	"-"	21	27.4968	17	1.02014	3935	3959	7528	1	-1	21	21	NA	25	9927	9815	"L40990|SIVREV"	17	17	TRUE	"L40990|SIVREV"	3935	3959	25	"*"	17	9815
"18"	"JQ866001|JQ866001"	7002	7018	"+"	18	24.6461	15	7.3665	6080	6096	7002	1	1	16	16	NA	17	9927	9815	"L40990|SIVREV"	15	16	TRUE	"L40990|SIVREV"	6080	6096	17	"*"	15	9815
"7"	"JQ866001|JQ866001"	6648	6708	"+"	7	47.4522	31	9.96406e-07	6560	6620	6648	1	1	46	46	NA	61	9927	9815	"L40990|SIVREV"	31	15	TRUE	"L40990|SIVREV"	6560	6620	61	"*"	31	9815
"17"	"JQ866001|JQ866001"	6524	6586	"+"	17	26.0715	16	2.74132	6430	6492	6524	1	1	42	42	2	64	9927	9815	"L40990|SIVREV"	16	14	TRUE	"L40990|SIVREV"	6430	6492	63	"*"	16	9815
"15"	"JQ866001|JQ866001"	5779	5808	"+"	15	26.0715	16	2.74132	7290	7319	5779	1	1	23	23	NA	30	9927	9815	"L40990|SIVREV"	16	13	TRUE	"L40990|SIVREV"	7290	7319	30	"*"	16	9815
"5"	"JQ866001|JQ866001"	5424	5568	"+"	5	78.8106	53	3.57914e-16	5549	5690	5424	1	1	104	104	5	146	9927	9815	"L40990|SIVREV"	53	12	TRUE	"L40990|SIVREV"	5549	5690	142	"*"	53	9815
"1"	"JQ866001|JQ866001"	2461	5151	"+"	1	1348.83	944	0	2577	5270	2461	1	1	1858	1858	35	2710	9927	9815	"L40990|SIVREV"	944	11	TRUE	"L40990|SIVREV"	2577	5270	2694	"*"	944	9815
"2"	"JQ866001|JQ866001"	1303	2161	"+"	2	445.134	310	1.66312e-126	1401	2250	1303	1	1	594	594	11	860	9927	9815	"L40990|SIVREV"	310	8	TRUE	"L40990|SIVREV"	1401	2250	850	"*"	310	9815
"4"	"JQ866001|JQ866001"	805	1107	"+"	4	87.3629	59	9.50515e-19	942	1244	805	1	1	186	186	4	305	9927	9815	"L40990|SIVREV"	59	4	TRUE	"L40990|SIVREV"	942	1244	303	"*"	59	9815
"8"	"JQ866001|JQ866001"	635	669	"+"	8	44.6014	29	7.19516e-06	713	747	635	1	1	32	32	NA	35	9927	9815	"L40990|SIVREV"	29	3	TRUE	"L40990|SIVREV"	713	747	35	"*"	29	9815
"11"	"JQ866001|JQ866001"	232	263	"+"	11	31.773	20	0.0525721	241	272	232	1	1	26	26	NA	32	9927	9815	"L40990|SIVREV"	20	1	TRUE	"L40990|SIVREV"	241	272	32	"*"	20	9815
