"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"15"	"MH705134|MH705134"	9498	9792	"+"	15	124.423	85	6.5314e-30	346	645	9498	1	1	207	207	13	304	9792	9927	"JQ866001|JQ866001"	85	37	TRUE	"JQ866001|JQ866001"	346	645	300	"*"	304	9927
"7"	"MH705134|MH705134"	9045	9323	"+"	7	161.483	111	4.49832e-41	9181	9459	9045	1	1	195	195	NA	279	9792	9927	"JQ866001|JQ866001"	111	33	TRUE	"JQ866001|JQ866001"	9181	9459	279	"*"	279	9927
"34"	"MH705134|MH705134"	8892	8918	"+"	34	24.6461	15	7.34917	8945	8971	8892	1	1	21	21	NA	27	9792	9927	"JQ866001|JQ866001"	15	30	TRUE	"JQ866001|JQ866001"	8945	8971	27	"*"	27	9927
"24"	"MH705134|MH705134"	8707	8847	"+"	24	56.0045	37	2.63995e-09	8871	9013	8707	1	1	97	97	6	145	9792	9927	"JQ866001|JQ866001"	37	29	TRUE	"JQ866001|JQ866001"	8871	9013	143	"*"	145	9927
"6"	"MH705134|MH705134"	8101	8553	"+"	6	171.46	118	4.4453e-44	8245	8697	8101	1	1	293	293	6	456	9792	9927	"JQ866001|JQ866001"	118	28	TRUE	"JQ866001|JQ866001"	8245	8697	453	"*"	456	9927
"4"	"MH705134|MH705134"	7768	8058	"+"	4	215.647	149	2.18449e-57	7877	8166	7768	1	1	221	221	1	291	9792	9927	"JQ866001|JQ866001"	149	27	TRUE	"JQ866001|JQ866001"	7877	8166	290	"*"	291	9927
"27"	"MH705134|MH705134"	7546	7764	"+"	27	43.1761	28	1.92893e-05	7642	7857	7546	1	1	134	134	11	223	9792	9927	"JQ866001|JQ866001"	28	25	TRUE	"JQ866001|JQ866001"	7642	7857	216	"*"	223	9927
"25"	"MH705134|MH705134"	7363	7441	"+"	25	53.1537	35	1.90634e-08	7472	7547	7363	1	1	62	62	5	80	9792	9927	"JQ866001|JQ866001"	35	24	TRUE	"JQ866001|JQ866001"	7472	7547	76	"*"	80	9927
"5"	"MH705134|MH705134"	6718	7303	"+"	5	188.565	130	3.13481e-49	6802	7382	6718	1	1	380	380	21	594	9792	9927	"JQ866001|JQ866001"	130	23	TRUE	"JQ866001|JQ866001"	6802	7382	581	"*"	594	9927
"19"	"MH705134|MH705134"	6370	6674	"+"	19	111.594	76	4.77256e-26	6427	6728	6370	1	1	195	195	5	306	9792	9927	"JQ866001|JQ866001"	76	20	TRUE	"JQ866001|JQ866001"	6427	6728	302	"*"	306	9927
"32"	"MH705134|MH705134"	6157	6240	"+"	32	26.0715	16	2.73487	6205	6288	6157	1	1	50	50	NA	84	9792	9927	"JQ866001|JQ866001"	16	19	TRUE	"JQ866001|JQ866001"	6205	6288	84	"*"	84	9927
"26"	"MH705134|MH705134"	6016	6088	"+"	26	44.6014	29	7.17817e-06	6086	6158	6016	1	1	51	51	NA	73	9792	9927	"JQ866001|JQ866001"	29	18	TRUE	"JQ866001|JQ866001"	6086	6158	73	"*"	73	9927
"20"	"MH705134|MH705134"	5858	6012	"+"	20	94.4898	64	6.76714e-21	5937	6091	5858	1	1	112	112	2	156	9792	9927	"JQ866001|JQ866001"	64	17	TRUE	"JQ866001|JQ866001"	5937	6091	155	"*"	156	9927
"10"	"MH705134|MH705134"	5580	5838	"+"	10	138.677	95	3.32622e-34	5668	5926	5580	1	1	177	177	NA	259	9792	9927	"JQ866001|JQ866001"	95	16	TRUE	"JQ866001|JQ866001"	5668	5926	259	"*"	259	9927
"1"	"MH705134|MH705134"	2282	5551	"+"	1	2105.7	1475	0	2358	5631	2282	1	1	2386	2386	10	3277	9792	9927	"JQ866001|JQ866001"	1475	15	TRUE	"JQ866001|JQ866001"	2358	5631	3274	"*"	3277	9927
"2"	"MH705134|MH705134"	1593	2104	"+"	2	358.186	249	2.55949e-100	1645	2162	1593	1	1	389	389	6	518	9792	9927	"JQ866001|JQ866001"	249	10	TRUE	"JQ866001|JQ866001"	1645	2162	518	"*"	518	9927
"3"	"MH705134|MH705134"	1254	1576	"+"	3	218.498	151	3.02505e-58	1297	1619	1254	1	1	237	237	NA	323	9792	9927	"JQ866001|JQ866001"	151	9	TRUE	"JQ866001|JQ866001"	1297	1619	323	"*"	323	9927
"9"	"MH705134|MH705134"	822	1195	"+"	9	150.08	103	1.22321e-37	802	1172	822	1	1	244	244	5	375	9792	9927	"JQ866001|JQ866001"	103	8	TRUE	"JQ866001|JQ866001"	802	1172	371	"*"	375	9927
"8"	"MH705134|MH705134"	351	671	"+"	8	158.632	109	3.24835e-40	346	671	351	1	1	234	234	15	331	9792	9927	"JQ866001|JQ866001"	109	6	TRUE	"JQ866001|JQ866001"	346	671	326	"*"	331	9927
"22"	"MH705134|MH705134"	1	176	"+"	22	91.6391	62	4.88667e-20	7	182	1	1	1	119	119	NA	176	9792	9927	"JQ866001|JQ866001"	62	1	TRUE	"JQ866001|JQ866001"	7	182	176	"*"	176	9927
