"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"21"	"DQ201174|DQ201174"	9899	9929	"+"	21	26.0715	16	2.88154	356	387	9899	1	1	25	25	1	32	10315	9927	"JQ866001|JQ866001"	16	31	TRUE	"JQ866001|JQ866001"	356	387	32	"*"	16	9927
"13"	"DQ201174|DQ201174"	9708	9758	"+"	13	38.8999	25	0.000394421	222	272	9708	1	1	38	38	NA	51	10315	9927	"JQ866001|JQ866001"	25	29	TRUE	"JQ866001|JQ866001"	222	272	51	"*"	25	9927
"4"	"DQ201174|DQ201174"	9389	9640	"+"	4	142.953	98	1.80796e-35	9189	9440	9389	1	1	175	175	NA	252	10315	9927	"JQ866001|JQ866001"	98	28	TRUE	"JQ866001|JQ866001"	9189	9440	252	"*"	98	9927
"28"	"DQ201174|DQ201174"	9351	9383	"+"	28	24.6461	15	7.74319	3201	3233	9351	1	1	24	24	NA	33	10315	9927	"JQ866001|JQ866001"	15	25	TRUE	"JQ866001|JQ866001"	3201	3233	33	"*"	15	9927
"17"	"DQ201174|DQ201174"	8814	8889	"+"	17	38.8999	25	0.000394421	8531	8607	8814	1	1	56	56	5	79	10315	9927	"JQ866001|JQ866001"	25	24	TRUE	"JQ866001|JQ866001"	8531	8607	77	"*"	25	9927
"7"	"DQ201174|DQ201174"	8497	8788	"+"	7	87.3629	59	9.99666e-19	8238	8527	8497	1	1	189	189	12	297	10315	9927	"JQ866001|JQ866001"	59	23	TRUE	"JQ866001|JQ866001"	8238	8527	290	"*"	59	9927
"6"	"DQ201174|DQ201174"	8223	8494	"+"	6	95.9152	65	2.65501e-21	7914	8185	8223	1	1	171	171	2	273	10315	9927	"JQ866001|JQ866001"	65	22	TRUE	"JQ866001|JQ866001"	7914	8185	272	"*"	65	9927
"27"	"DQ201174|DQ201174"	7923	7943	"+"	27	24.6461	15	7.74319	4935	4955	7923	1	1	18	18	NA	21	10315	9927	"JQ866001|JQ866001"	15	21	TRUE	"JQ866001|JQ866001"	4935	4955	21	"*"	15	9927
"18"	"DQ201174|DQ201174"	7755	7815	"+"	18	34.6238	22	0.00765329	7476	7536	7755	1	1	44	44	2	62	10315	9927	"JQ866001|JQ866001"	22	20	TRUE	"JQ866001|JQ866001"	7476	7536	61	"*"	22	9927
"11"	"DQ201174|DQ201174"	6465	6603	"+"	11	53.1537	35	2.00906e-08	6013	6154	6465	1	1	93	93	5	143	10315	9927	"JQ866001|JQ866001"	35	19	TRUE	"JQ866001|JQ866001"	6013	6154	142	"*"	35	9927
"29"	"DQ201174|DQ201174"	6288	6307	"-"	29	26.0715	16	2.88154	8486	8505	6288	1	-1	18	18	NA	20	10315	9927	"JQ866001|JQ866001"	16	18	TRUE	"JQ866001|JQ866001"	8486	8505	20	"*"	16	9927
"1"	"DQ201174|DQ201174"	2627	5797	"+"	1	1236.22	865	0	2430	5597	2627	1	1	2088	2088	61	3200	10315	9927	"JQ866001|JQ866001"	865	17	TRUE	"JQ866001|JQ866001"	2430	5597	3168	"*"	865	9927
"32"	"DQ201174|DQ201174"	2455	2477	"-"	32	24.6461	15	7.74319	5948	5970	2455	1	-1	19	19	NA	23	10315	9927	"JQ866001|JQ866001"	15	14	TRUE	"JQ866001|JQ866001"	5948	5970	23	"*"	15	9927
"2"	"DQ201174|DQ201174"	1710	2333	"+"	2	289.767	201	1.09389e-79	1510	2145	1710	1	1	431	431	14	637	10315	9927	"JQ866001|JQ866001"	201	13	TRUE	"JQ866001|JQ866001"	1510	2145	636	"*"	201	9927
"5"	"DQ201174|DQ201174"	1051	1382	"+"	5	101.617	69	5.0918e-23	792	1123	1051	1	1	208	208	6	335	10315	9927	"JQ866001|JQ866001"	69	9	TRUE	"JQ866001|JQ866001"	792	1123	332	"*"	69	9927
"12"	"DQ201174|DQ201174"	820	857	"+"	12	41.7507	27	5.46219e-05	633	668	820	1	1	34	34	2	38	10315	9927	"JQ866001|JQ866001"	27	8	TRUE	"JQ866001|JQ866001"	633	668	36	"*"	27	9927
"23"	"DQ201174|DQ201174"	416	446	"+"	23	26.0715	16	2.88154	356	387	416	1	1	25	25	1	32	10315	9927	"JQ866001|JQ866001"	16	6	TRUE	"JQ866001|JQ866001"	356	387	32	"*"	16	9927
"15"	"DQ201174|DQ201174"	225	275	"+"	15	38.8999	25	0.000394421	222	272	225	1	1	38	38	NA	51	10315	9927	"JQ866001|JQ866001"	25	4	TRUE	"JQ866001|JQ866001"	222	272	51	"*"	25	9927
"9"	"DQ201174|DQ201174"	1	157	"+"	9	81.6614	55	5.21251e-17	7	163	1	1	1	106	106	NA	157	10315	9927	"JQ866001|JQ866001"	55	2	TRUE	"JQ866001|JQ866001"	7	163	157	"*"	55	9927
