"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"15"	"L40990|SIVREV"	9616	9639	"+"	15	28.9222	18	0.402983	832	855	9616	1	1	21	21	NA	24	9815	10535	"M33262|SIVMM239"	18	23	TRUE	"M33262|SIVMM239"	832	855	24	"*"	24	10535
"7"	"L40990|SIVREV"	8968	9305	"+"	7	132.975	91	1.84762e-32	9595	9930	8968	1	1	218	218	4	339	9815	10535	"M33262|SIVMM239"	91	22	TRUE	"M33262|SIVMM239"	9595	9930	336	"*"	339	10535
"21"	"L40990|SIVREV"	8872	8898	"+"	21	27.4968	17	1.08288	9459	9484	8872	1	1	23	23	1	27	9815	10535	"M33262|SIVMM239"	17	20	TRUE	"M33262|SIVMM239"	9459	9484	26	"*"	27	10535
"12"	"L40990|SIVREV"	8502	8614	"+"	12	50.303	33	1.46506e-07	9048	9161	8502	1	1	77	77	3	115	9815	10535	"M33262|SIVMM239"	33	19	TRUE	"M33262|SIVMM239"	9048	9161	114	"*"	115	10535
"4"	"L40990|SIVREV"	7594	8496	"+"	4	294.043	204	5.69502e-81	8119	9022	7594	1	1	570	570	13	910	9815	10535	"M33262|SIVMM239"	204	18	TRUE	"M33262|SIVMM239"	8119	9022	904	"*"	910	10535
"5"	"L40990|SIVREV"	6906	7528	"+"	5	204.244	141	6.33292e-54	7474	8087	6906	1	1	404	404	23	630	9815	10535	"M33262|SIVMM239"	141	17	TRUE	"M33262|SIVMM239"	7474	8087	614	"*"	630	10535
"24"	"L40990|SIVREV"	6645	6675	"+"	24	24.6461	15	7.81937	7231	7261	6645	1	1	23	23	NA	31	9815	10535	"M33262|SIVMM239"	15	16	TRUE	"M33262|SIVMM239"	7231	7261	31	"*"	31	10535
"8"	"L40990|SIVREV"	6143	6620	"+"	8	125.848	86	2.58885e-30	6717	7197	6143	1	1	315	315	29	494	9815	10535	"M33262|SIVMM239"	86	15	TRUE	"M33262|SIVMM239"	6717	7197	481	"*"	494	10535
"13"	"L40990|SIVREV"	5809	5878	"+"	13	46.0268	30	2.84278e-06	6443	6512	5809	1	1	50	50	NA	70	9815	10535	"M33262|SIVMM239"	30	14	TRUE	"M33262|SIVMM239"	6443	6512	70	"*"	70	10535
"1"	"L40990|SIVREV"	2575	5731	"+"	1	1316.04	921	0	2909	6053	2575	1	1	2108	2108	64	3183	9815	10535	"M33262|SIVMM239"	921	13	TRUE	"M33262|SIVMM239"	2909	6053	3145	"*"	3183	10535
"22"	"L40990|SIVREV"	2517	2573	"+"	22	27.4968	17	1.08288	3118	3173	2517	1	1	38	38	1	57	9815	10535	"M33262|SIVMM239"	17	10	TRUE	"M33262|SIVMM239"	3118	3173	56	"*"	57	10535
"2"	"L40990|SIVREV"	1323	2285	"+"	2	456.537	318	6.52137e-130	1668	2628	1323	1	1	672	672	30	977	9815	10535	"M33262|SIVMM239"	318	9	TRUE	"M33262|SIVMM239"	1668	2628	961	"*"	977	10535
"6"	"L40990|SIVREV"	968	1240	"+"	6	144.378	99	6.79549e-36	1335	1607	968	1	1	191	191	4	275	9815	10535	"M33262|SIVMM239"	99	6	TRUE	"M33262|SIVMM239"	1335	1607	273	"*"	275	10535
"14"	"L40990|SIVREV"	700	746	"+"	14	40.3253	26	0.000148226	1051	1099	700	1	1	39	39	2	49	9815	10535	"M33262|SIVMM239"	26	5	TRUE	"M33262|SIVMM239"	1051	1099	49	"*"	49	10535
"16"	"L40990|SIVREV"	524	547	"+"	16	28.9222	18	0.402983	832	855	524	1	1	21	21	NA	24	9815	10535	"M33262|SIVMM239"	18	3	TRUE	"M33262|SIVMM239"	832	855	24	"*"	24	10535
"10"	"L40990|SIVREV"	1	213	"+"	10	70.2583	47	1.43123e-13	257	469	1	1	1	130	130	NA	213	9815	10535	"M33262|SIVMM239"	47	1	TRUE	"M33262|SIVMM239"	257	469	213	"*"	213	10535
