"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"13"	"KC503852|KC503852"	9332	9467	"+"	13	53.1537	35	1.98395e-08	403	540	9332	1	1	96	96	8	141	9804	10315	"DQ201174|DQ201174"	35	24	TRUE	"DQ201174|DQ201174"	403	540	138	"*"	141	10315
"4"	"KC503852|KC503852"	8888	9161	"+"	4	111.594	76	4.9689e-26	9367	9640	8888	1	1	180	180	4	276	9804	10315	"DQ201174|DQ201174"	76	23	TRUE	"DQ201174|DQ201174"	9367	9640	274	"*"	276	10315
"8"	"KC503852|KC503852"	7988	8213	"+"	8	60.2807	40	1.41592e-10	8518	8743	7988	1	1	145	145	10	231	9804	10315	"DQ201174|DQ201174"	40	21	TRUE	"DQ201174|DQ201174"	8518	8743	226	"*"	231	10315
"3"	"KC503852|KC503852"	7371	7952	"+"	3	148.654	102	3.42319e-37	7916	8494	7371	1	1	377	377	35	598	9804	10315	"DQ201174|DQ201174"	102	20	TRUE	"DQ201174|DQ201174"	7916	8494	579	"*"	598	10315
"17"	"KC503852|KC503852"	7208	7291	"+"	17	31.773	20	0.0545756	7735	7818	7208	1	1	52	52	NA	84	9804	10315	"DQ201174|DQ201174"	20	17	TRUE	"DQ201174|DQ201174"	7735	7818	84	"*"	84	10315
"18"	"KC503852|KC503852"	6724	6830	"+"	18	28.9222	18	0.394088	7239	7345	6724	1	1	65	65	2	108	9804	10315	"DQ201174|DQ201174"	18	16	TRUE	"DQ201174|DQ201174"	7239	7345	107	"*"	108	10315
"20"	"KC503852|KC503852"	5879	5914	"+"	20	26.0715	16	2.84569	901	933	5879	1	1	29	29	3	36	9804	10315	"DQ201174|DQ201174"	16	15	TRUE	"DQ201174|DQ201174"	901	933	33	"*"	36	10315
"6"	"KC503852|KC503852"	5470	5712	"+"	6	97.3406	66	9.75577e-22	6161	6403	5470	1	1	157	157	2	244	9804	10315	"DQ201174|DQ201174"	66	14	TRUE	"DQ201174|DQ201174"	6161	6403	243	"*"	244	10315
"25"	"KC503852|KC503852"	5033	5049	"-"	25	24.6461	15	7.64689	6878	6894	5033	1	-1	16	16	NA	17	9804	10315	"DQ201174|DQ201174"	15	13	TRUE	"DQ201174|DQ201174"	6878	6894	17	"*"	17	10315
"1"	"KC503852|KC503852"	2153	4953	"+"	1	1229.09	860	0	2549	5347	2153	1	1	1873	1873	36	2818	9804	10315	"DQ201174|DQ201174"	860	12	TRUE	"DQ201174|DQ201174"	2549	5347	2799	"*"	2818	10315
"2"	"KC503852|KC503852"	1122	2002	"+"	2	406.649	283	6.75874e-115	1488	2375	1122	1	1	602	602	17	893	9804	10315	"DQ201174|DQ201174"	283	8	TRUE	"DQ201174|DQ201174"	1488	2375	888	"*"	893	10315
"5"	"KC503852|KC503852"	700	938	"+"	5	98.766	67	3.63046e-22	1051	1289	700	1	1	158	158	4	241	9804	10315	"DQ201174|DQ201174"	67	6	TRUE	"DQ201174|DQ201174"	1051	1289	239	"*"	241	10315
"15"	"KC503852|KC503852"	545	581	"+"	15	43.1761	28	2.00732e-05	820	858	545	1	1	35	35	2	39	9804	10315	"DQ201174|DQ201174"	28	5	TRUE	"DQ201174|DQ201174"	820	858	39	"*"	39	10315
"11"	"KC503852|KC503852"	252	386	"+"	11	54.5791	36	7.383e-09	404	540	252	1	1	96	96	8	140	9804	10315	"DQ201174|DQ201174"	36	3	TRUE	"DQ201174|DQ201174"	404	540	137	"*"	140	10315
"9"	"KC503852|KC503852"	1	80	"+"	9	54.5791	36	7.383e-09	78	157	1	1	1	58	58	NA	80	9804	10315	"DQ201174|DQ201174"	36	1	TRUE	"DQ201174|DQ201174"	78	157	80	"*"	80	10315
