"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"20"	"KC503852|KC503852"	9526	9560	"+"	20	30.3476	19	0.14267	660	692	9526	1	1	29	29	2	35	9804	10036	"U04005|SIU04005"	19	30	TRUE	"U04005|SIU04005"	660	692	33	"*"	19	10036
"9"	"KC503852|KC503852"	9370	9501	"+"	9	74.5345	50	7.01451e-15	393	525	9370	1	1	99	99	7	136	9804	10036	"U04005|SIU04005"	50	28	TRUE	"U04005|SIU04005"	393	525	133	"*"	50	10036
"4"	"KC503852|KC503852"	8899	9318	"+"	4	128.699	88	3.40787e-31	9164	9577	8899	1	1	266	266	12	423	9804	10036	"U04005|SIU04005"	88	27	TRUE	"U04005|SIU04005"	9164	9577	414	"*"	88	10036
"15"	"KC503852|KC503852"	7989	8202	"+"	15	47.4522	31	1.00629e-06	8377	8590	7989	1	1	125	125	2	215	9804	10036	"U04005|SIU04005"	31	25	TRUE	"U04005|SIU04005"	8377	8590	214	"*"	31	10036
"3"	"KC503852|KC503852"	7553	7891	"+"	3	151.505	104	4.60903e-38	7956	8294	7553	1	1	229	229	6	342	9804	10036	"U04005|SIU04005"	104	24	TRUE	"U04005|SIU04005"	7956	8294	339	"*"	104	10036
"24"	"KC503852|KC503852"	7365	7396	"+"	24	28.9222	18	0.383382	5402	5433	7365	1	1	25	25	NA	32	9804	10036	"U04005|SIU04005"	18	22	TRUE	"U04005|SIU04005"	5402	5433	32	"*"	18	10036
"18"	"KC503852|KC503852"	7260	7291	"+"	18	37.4745	24	0.00101819	7648	7679	7260	1	1	28	28	NA	32	9804	10036	"U04005|SIU04005"	24	21	TRUE	"U04005|SIU04005"	7648	7679	32	"*"	24	10036
"16"	"KC503852|KC503852"	6724	6840	"+"	16	41.7507	27	5.24721e-05	7094	7212	6724	1	1	75	75	2	119	9804	10036	"U04005|SIU04005"	27	20	TRUE	"U04005|SIU04005"	7094	7212	119	"*"	27	10036
"25"	"KC503852|KC503852"	6475	6505	"+"	25	27.4968	17	1.03023	6782	6812	6475	1	1	24	24	NA	31	9804	10036	"U04005|SIU04005"	17	19	TRUE	"U04005|SIU04005"	6782	6812	31	"*"	17	10036
"19"	"KC503852|KC503852"	6212	6266	"+"	19	31.773	20	0.0530923	6527	6579	6212	1	1	39	39	2	55	9804	10036	"U04005|SIU04005"	20	18	TRUE	"U04005|SIU04005"	6527	6579	53	"*"	20	10036
"17"	"KC503852|KC503852"	5809	5878	"+"	17	40.3253	26	0.000141003	6340	6409	5809	1	1	48	48	NA	70	9804	10036	"U04005|SIU04005"	26	17	TRUE	"U04005|SIU04005"	6340	6409	70	"*"	26	10036
"30"	"KC503852|KC503852"	5416	5464	"+"	30	24.6461	15	7.43931	8244	8292	5416	1	1	32	32	NA	49	9804	10036	"U04005|SIU04005"	15	16	TRUE	"U04005|SIU04005"	8244	8292	49	"*"	15	10036
"1"	"KC503852|KC503852"	2159	5046	"+"	1	1485.66	1040	0	2649	5536	2159	1	1	2000	2000	30	2903	9804	10036	"U04005|SIU04005"	1040	15	TRUE	"U04005|SIU04005"	2649	5536	2888	"*"	1040	10036
"5"	"KC503852|KC503852"	1861	2079	"+"	5	111.594	76	4.83201e-26	2258	2470	1861	1	1	157	157	10	221	9804	10036	"U04005|SIU04005"	76	11	TRUE	"U04005|SIU04005"	2258	2470	213	"*"	76	10036
"2"	"KC503852|KC503852"	1124	1805	"+"	2	301.17	209	3.85716e-83	1476	2160	1124	1	1	450	450	3	685	9804	10036	"U04005|SIU04005"	209	10	TRUE	"U04005|SIU04005"	1476	2160	685	"*"	209	10036
"26"	"KC503852|KC503852"	969	990	"+"	26	26.0715	16	2.76842	2684	2705	969	1	1	19	19	NA	22	9804	10036	"U04005|SIU04005"	16	9	TRUE	"U04005|SIU04005"	2684	2705	22	"*"	16	10036
"23"	"KC503852|KC503852"	903	947	"+"	23	30.3476	19	0.14267	8447	8490	903	1	1	33	33	1	45	9804	10036	"U04005|SIU04005"	19	8	TRUE	"U04005|SIU04005"	8447	8490	44	"*"	19	10036
"6"	"KC503852|KC503852"	713	879	"+"	6	93.0645	63	1.84106e-20	1017	1183	713	1	1	115	115	NA	167	9804	10036	"U04005|SIU04005"	63	7	TRUE	"U04005|SIU04005"	1017	1183	167	"*"	63	10036
"14"	"KC503852|KC503852"	540	580	"+"	14	50.303	33	1.39355e-07	750	790	540	1	1	37	37	NA	41	9804	10036	"U04005|SIU04005"	33	6	TRUE	"U04005|SIU04005"	750	790	41	"*"	33	10036
"22"	"KC503852|KC503852"	445	479	"+"	22	30.3476	19	0.14267	9929	9961	445	1	1	29	29	2	35	9804	10036	"U04005|SIU04005"	19	5	TRUE	"U04005|SIU04005"	9929	9961	33	"*"	19	10036
"7"	"KC503852|KC503852"	289	420	"+"	7	77.3852	52	9.7139e-16	393	525	289	1	1	100	100	7	136	9804	10036	"U04005|SIU04005"	52	3	TRUE	"U04005|SIU04005"	393	525	133	"*"	52	10036
