"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"4"	"AB253712|AB253712"	9679	10074	"+"	4	135.826	93	2.45579e-33	8871	9260	9679	1	1	255	255	10	398	10340	9607	"AY530889|AY530889"	93	20	TRUE	"AY530889|AY530889"	8871	9260	390	"*"	93	9607
"6"	"AB253712|AB253712"	8370	8745	"+"	6	103.042	70	1.8372e-23	7634	8012	8370	1	1	239	239	15	385	10340	9607	"AY530889|AY530889"	70	18	TRUE	"AY530889|AY530889"	7634	8012	379	"*"	70	9607
"12"	"AB253712|AB253712"	7524	7642	"+"	12	40.3253	26	0.000142363	6776	6894	7524	1	1	75	75	2	120	10340	9607	"AY530889|AY530889"	26	17	TRUE	"AY530889|AY530889"	6776	6894	119	"*"	26	9607
"11"	"AB253712|AB253712"	7163	7279	"+"	11	41.7507	27	5.29782e-05	6364	6480	7163	1	1	72	72	NA	117	10340	9607	"AY530889|AY530889"	27	16	TRUE	"AY530889|AY530889"	6364	6480	117	"*"	27	9607
"14"	"AB253712|AB253712"	6672	6731	"+"	14	26.0715	16	2.79506	6100	6159	6672	1	1	38	38	NA	60	10340	9607	"AY530889|AY530889"	16	15	TRUE	"AY530889|AY530889"	6100	6159	60	"*"	16	9607
"9"	"AB253712|AB253712"	5938	6177	"+"	9	57.4299	38	1.00414e-09	5125	5367	5938	1	1	148	148	7	245	10340	9607	"AY530889|AY530889"	38	14	TRUE	"AY530889|AY530889"	5125	5367	243	"*"	38	9607
"3"	"AB253712|AB253712"	5323	5724	"+"	3	215.647	149	2.23414e-57	4505	4906	5323	1	1	283	283	6	405	10340	9607	"AY530889|AY530889"	149	13	TRUE	"AY530889|AY530889"	4505	4906	402	"*"	149	9607
"1"	"AB253712|AB253712"	2266	5058	"+"	1	1156.4	809	0	2120	4906	2266	1	1	1855	1855	46	2813	10340	9607	"AY530889|AY530889"	809	11	TRUE	"AY530889|AY530889"	2120	4906	2787	"*"	809	9607
"13"	"AB253712|AB253712"	2165	2185	"+"	13	27.4968	17	1.04014	1959	1979	2165	1	1	19	19	NA	21	10340	9607	"AY530889|AY530889"	17	10	TRUE	"AY530889|AY530889"	1959	1979	21	"*"	17	9607
"8"	"AB253712|AB253712"	1958	2107	"+"	8	80.236	54	1.35826e-16	1743	1895	1958	1	1	106	106	3	153	10340	9607	"AY530889|AY530889"	54	9	TRUE	"AY530889|AY530889"	1743	1895	153	"*"	54	9607
"2"	"AB253712|AB253712"	1244	1905	"+"	2	308.297	214	2.78008e-85	1023	1684	1244	1	1	454	454	14	669	10340	9607	"AY530889|AY530889"	214	7	TRUE	"AY530889|AY530889"	1023	1684	662	"*"	214	9607
"5"	"AB253712|AB253712"	807	1107	"+"	5	111.594	76	4.87912e-26	581	880	807	1	1	197	197	7	304	10340	9607	"AY530889|AY530889"	76	5	TRUE	"AY530889|AY530889"	581	880	300	"*"	76	9607
"10"	"AB253712|AB253712"	621	666	"+"	10	51.7284	34	5.23597e-08	336	384	621	1	1	44	44	3	49	10340	9607	"AY530889|AY530889"	34	3	TRUE	"AY530889|AY530889"	336	384	49	"*"	34	9607
"7"	"AB253712|AB253712"	1	281	"+"	7	87.3629	59	9.69339e-19	8986	9260	1	1	1	178	178	8	282	10340	9607	"AY530889|AY530889"	59	2	TRUE	"AY530889|AY530889"	8986	9260	275	"*"	59	9607
