"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"11"	"MH705144|MH705144"	9470	9632	"+"	11	56.0045	37	2.74692e-09	377	541	9470	1	1	103	103	2	165	9802	10315	"DQ201174|DQ201174"	37	29	TRUE	"DQ201174|DQ201174"	377	541	165	"*"	165	10315
"27"	"MH705144|MH705144"	9431	9461	"-"	27	26.0715	16	2.84511	9378	9405	9431	1	-1	26	26	3	31	9802	10315	"DQ201174|DQ201174"	16	28	TRUE	"DQ201174|DQ201174"	9378	9405	28	"*"	31	10315
"3"	"MH705144|MH705144"	9045	9310	"+"	3	131.55	90	4.85242e-32	9376	9641	9045	1	1	178	178	NA	266	9802	10315	"DQ201174|DQ201174"	90	27	TRUE	"DQ201174|DQ201174"	9376	9641	266	"*"	266	10315
"20"	"MH705144|MH705144"	8858	8886	"+"	20	27.4968	17	1.05877	375	403	8858	1	1	23	23	NA	29	9802	10315	"DQ201174|DQ201174"	17	24	TRUE	"DQ201174|DQ201174"	375	403	29	"*"	29	10315
"6"	"MH705144|MH705144"	8157	8426	"+"	6	77.3852	52	9.98538e-16	8518	8787	8157	1	1	171	171	8	274	9802	10315	"DQ201174|DQ201174"	52	23	TRUE	"DQ201174|DQ201174"	8518	8787	270	"*"	274	10315
"25"	"MH705144|MH705144"	7747	7773	"+"	25	24.6461	15	7.64532	6905	6931	7747	1	1	21	21	NA	27	9802	10315	"DQ201174|DQ201174"	15	22	TRUE	"DQ201174|DQ201174"	6905	6931	27	"*"	27	10315
"18"	"MH705144|MH705144"	6904	6952	"+"	18	30.3476	19	0.146625	7304	7352	6904	1	1	34	34	NA	49	9802	10315	"DQ201174|DQ201174"	19	21	TRUE	"DQ201174|DQ201174"	7304	7352	49	"*"	49	10315
"22"	"MH705144|MH705144"	6170	6198	"+"	22	27.4968	17	1.05877	9325	9353	6170	1	1	23	23	NA	29	9802	10315	"DQ201174|DQ201174"	17	20	TRUE	"DQ201174|DQ201174"	9325	9353	29	"*"	29	10315
"30"	"MH705144|MH705144"	6097	6119	"-"	30	24.6461	15	7.64532	6453	6475	6097	1	-1	19	19	NA	23	9802	10315	"DQ201174|DQ201174"	15	19	TRUE	"DQ201174|DQ201174"	6453	6475	23	"*"	23	10315
"10"	"MH705144|MH705144"	5901	6002	"+"	10	60.2807	40	1.41563e-10	6462	6564	5901	1	1	75	75	3	104	9802	10315	"DQ201174|DQ201174"	40	17	TRUE	"DQ201174|DQ201174"	6462	6564	103	"*"	104	10315
"4"	"MH705144|MH705144"	5564	5806	"+"	4	98.766	67	3.62971e-22	6161	6403	5564	1	1	155	155	NA	243	9802	10315	"DQ201174|DQ201174"	67	15	TRUE	"DQ201174|DQ201174"	6161	6403	243	"*"	243	10315
"1"	"MH705144|MH705144"	2252	5501	"+"	1	1167.8	817	0	2558	5810	2252	1	1	2126	2126	79	3291	9802	10315	"DQ201174|DQ201174"	817	14	TRUE	"DQ201174|DQ201174"	2558	5810	3253	"*"	3291	10315
"2"	"MH705144|MH705144"	1134	2093	"+"	2	412.35	287	1.29575e-116	1420	2375	1134	1	1	646	646	22	969	9802	10315	"DQ201174|DQ201174"	287	9	TRUE	"DQ201174|DQ201174"	1420	2375	956	"*"	969	10315
"5"	"MH705144|MH705144"	794	1105	"+"	5	98.766	67	3.62971e-22	1051	1363	794	1	1	196	196	5	315	9802	10315	"DQ201174|DQ201174"	67	8	TRUE	"DQ201174|DQ201174"	1051	1363	313	"*"	315	10315
"15"	"MH705144|MH705144"	636	674	"+"	15	46.0268	30	2.77928e-06	818	858	636	1	1	37	37	2	41	9802	10315	"DQ201174|DQ201174"	30	6	TRUE	"DQ201174|DQ201174"	818	858	41	"*"	41	10315
"12"	"MH705144|MH705144"	318	480	"+"	12	56.0045	37	2.74692e-09	377	541	318	1	1	103	103	2	165	9802	10315	"DQ201174|DQ201174"	37	4	TRUE	"DQ201174|DQ201174"	377	541	165	"*"	165	10315
"28"	"MH705144|MH705144"	279	309	"-"	28	26.0715	16	2.84511	9378	9405	279	1	-1	26	26	3	31	9802	10315	"DQ201174|DQ201174"	16	3	TRUE	"DQ201174|DQ201174"	9378	9405	28	"*"	31	10315
"8"	"MH705144|MH705144"	1	158	"+"	8	74.5345	50	7.21045e-15	1	158	1	1	1	104	104	NA	158	9802	10315	"DQ201174|DQ201174"	50	1	TRUE	"DQ201174|DQ201174"	1	158	158	"*"	158	10315
