"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"4"	"AY271690|AY271690"	9063	9449	"+"	4	110.169	75	1.33581e-25	9286	9666	9063	1	1	240	240	10	389	9774	10351	"U27200|HIV2U27200"	75	18	TRUE	"U27200|HIV2U27200"	9286	9666	381	"*"	75	10351
"9"	"AY271690|AY271690"	8135	8360	"+"	9	58.8553	39	3.80646e-10	8514	8739	8135	1	1	135	135	2	227	9774	10351	"U27200|HIV2U27200"	39	16	TRUE	"U27200|HIV2U27200"	8514	8739	226	"*"	39	10351
"5"	"AY271690|AY271690"	7724	8098	"+"	5	105.893	72	2.59206e-24	8112	8489	7724	1	1	233	233	7	380	9774	10351	"U27200|HIV2U27200"	72	15	TRUE	"U27200|HIV2U27200"	8112	8489	378	"*"	72	10351
"14"	"AY271690|AY271690"	7360	7391	"+"	14	31.773	20	0.0545985	7826	7857	7360	1	1	26	26	NA	32	9774	10351	"U27200|HIV2U27200"	20	14	TRUE	"U27200|HIV2U27200"	7826	7857	32	"*"	20	10351
"17"	"AY271690|AY271690"	7107	7157	"+"	17	24.6461	15	7.6501	6534	6584	7107	1	1	33	33	NA	51	9774	10351	"U27200|HIV2U27200"	15	13	TRUE	"U27200|HIV2U27200"	6534	6584	51	"*"	15	10351
"10"	"AY271690|AY271690"	5582	5802	"+"	10	47.4522	31	1.03492e-06	6237	6457	5582	1	1	126	126	NA	221	9774	10351	"U27200|HIV2U27200"	31	12	TRUE	"U27200|HIV2U27200"	6237	6457	221	"*"	31	10351
"13"	"AY271690|AY271690"	5324	5422	"+"	13	41.7507	27	5.39632e-05	5672	5770	5324	1	1	63	63	NA	99	9774	10351	"U27200|HIV2U27200"	27	11	TRUE	"U27200|HIV2U27200"	5672	5770	99	"*"	27	10351
"18"	"AY271690|AY271690"	5221	5246	"-"	18	26.0715	16	2.84689	4059	4084	5221	1	-1	21	21	NA	26	9774	10351	"U27200|HIV2U27200"	16	10	TRUE	"U27200|HIV2U27200"	4059	4084	26	"*"	16	10351
"1"	"AY271690|AY271690"	2256	5056	"+"	1	1204.86	843	0	2600	5398	2256	1	1	1853	1853	26	2813	9774	10351	"U27200|HIV2U27200"	843	9	TRUE	"U27200|HIV2U27200"	2600	5398	2799	"*"	843	10351
"2"	"AY271690|AY271690"	1257	2105	"+"	2	406.649	283	6.76169e-115	1521	2375	1257	1	1	588	588	18	861	9774	10351	"U27200|HIV2U27200"	283	7	TRUE	"U27200|HIV2U27200"	1521	2375	855	"*"	283	10351
"15"	"AY271690|AY271690"	1109	1147	"+"	15	28.9222	18	0.394254	1352	1391	1109	1	1	30	30	1	40	9774	10351	"U27200|HIV2U27200"	18	6	TRUE	"U27200|HIV2U27200"	1352	1391	40	"*"	18	10351
"3"	"AY271690|AY271690"	795	1096	"+"	3	114.445	78	6.88404e-27	1077	1378	795	1	1	200	200	8	306	9774	10351	"U27200|HIV2U27200"	78	5	TRUE	"U27200|HIV2U27200"	1077	1378	302	"*"	78	10351
"11"	"AY271690|AY271690"	618	653	"+"	11	41.7507	27	5.39632e-05	839	876	618	1	1	34	34	2	38	9774	10351	"U27200|HIV2U27200"	27	3	TRUE	"U27200|HIV2U27200"	839	876	38	"*"	27	10351
"7"	"AY271690|AY271690"	77	277	"+"	7	60.2807	40	1.41652e-10	81	275	77	1	1	127	127	8	202	9774	10351	"U27200|HIV2U27200"	40	1	TRUE	"U27200|HIV2U27200"	81	275	195	"*"	40	10351
