"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"6"	"EU861977|EU861977"	9511	9644	"+"	6	74.5345	50	6.99785e-15	393	525	9511	1	1	101	101	9	138	9781	10036	"U04005|SIU04005"	50	22	TRUE	"U04005|SIU04005"	393	525	133	"*"	50	10036
"3"	"EU861977|EU861977"	9030	9294	"+"	3	141.527	97	4.65262e-35	9164	9428	9030	1	1	190	190	8	269	9781	10036	"U04005|SIU04005"	97	19	TRUE	"U04005|SIU04005"	9164	9428	265	"*"	97	10036
"22"	"EU861977|EU861977"	8905	8935	"-"	22	27.4968	17	1.0278	6241	6271	8905	1	-1	24	24	NA	31	9781	10036	"U04005|SIU04005"	17	18	TRUE	"U04005|SIU04005"	6241	6271	31	"*"	17	10036
"12"	"EU861977|EU861977"	8111	8324	"+"	12	48.8776	32	3.7359e-07	8377	8590	8111	1	1	125	125	2	215	9781	10036	"U04005|SIU04005"	32	17	TRUE	"U04005|SIU04005"	8377	8590	214	"*"	32	10036
"10"	"EU861977|EU861977"	6846	6987	"+"	10	50.303	33	1.39025e-07	7094	7235	6846	1	1	90	90	2	143	9781	10036	"U04005|SIU04005"	33	16	TRUE	"U04005|SIU04005"	7094	7235	142	"*"	33	10036
"13"	"EU861977|EU861977"	6576	6621	"+"	13	28.9222	18	0.382479	6782	6827	6576	1	1	32	32	NA	46	9781	10036	"U04005|SIU04005"	18	15	TRUE	"U04005|SIU04005"	6782	6827	46	"*"	18	10036
"23"	"EU861977|EU861977"	5962	5976	"-"	23	24.6461	15	7.42179	3277	3291	5962	1	-1	15	15	NA	15	9781	10036	"U04005|SIU04005"	15	14	TRUE	"U04005|SIU04005"	3277	3291	15	"*"	15	10036
"21"	"EU861977|EU861977"	5164	5190	"+"	21	24.6461	15	7.42179	8560	8586	5164	1	1	21	21	NA	27	9781	10036	"U04005|SIU04005"	15	13	TRUE	"U04005|SIU04005"	8560	8586	27	"*"	15	10036
"1"	"EU861977|EU861977"	2256	5143	"+"	1	1478.54	1035	0	2649	5536	2256	1	1	1967	1967	16	2896	9781	10036	"U04005|SIU04005"	1035	12	TRUE	"U04005|SIU04005"	2649	5536	2888	"*"	1035	10036
"18"	"EU861977|EU861977"	2222	2242	"+"	18	24.6461	15	7.42179	5132	5152	2222	1	1	18	18	NA	21	9781	10036	"U04005|SIU04005"	15	9	TRUE	"U04005|SIU04005"	5132	5152	21	"*"	15	10036
"4"	"EU861977|EU861977"	1962	2171	"+"	4	117.296	80	9.24427e-28	2262	2465	1962	1	1	152	152	8	211	9781	10036	"U04005|SIU04005"	80	8	TRUE	"U04005|SIU04005"	2262	2465	204	"*"	80	10036
"2"	"EU861977|EU861977"	1190	1902	"+"	2	359.611	250	9.62436e-101	1448	2160	1190	1	1	491	491	8	717	9781	10036	"U04005|SIU04005"	250	7	TRUE	"U04005|SIU04005"	1448	2160	713	"*"	250	10036
"5"	"EU861977|EU861977"	801	1117	"+"	5	100.191	68	1.31074e-22	1017	1333	801	1	1	202	202	8	321	9781	10036	"U04005|SIU04005"	68	6	TRUE	"U04005|SIU04005"	1017	1333	317	"*"	68	10036
"11"	"EU861977|EU861977"	634	671	"+"	11	48.8776	32	3.7359e-07	753	790	634	1	1	35	35	NA	38	9781	10036	"U04005|SIU04005"	32	5	TRUE	"U04005|SIU04005"	753	790	38	"*"	32	10036
"7"	"EU861977|EU861977"	378	511	"+"	7	74.5345	50	6.99785e-15	393	525	378	1	1	101	101	9	138	9781	10036	"U04005|SIU04005"	50	3	TRUE	"U04005|SIU04005"	393	525	133	"*"	50	10036
