"genome"	"wis_file"	"cov_raw"	"cov_wis"	"cov_greedy"	"N_raw"	"N_wis"	"N_greedy"	"mean_pident"	"mean_pident_greedy"	"mean_len"	"mean_len_greedy"	"total_length"	"total_length_greedy"	"mean_e_value"	"mean_e_greedy"	"max_e_value"	"max_e_greedy"	"sum_score"	"sum_score_greedy"	"average_raw"	"average_raw_greedy"	"total_raw"	"total_raw_greedy"	"time_wis"	"time_greedy"	"memory_wis"	"memory_greedy"	"logr_expected"	"logr_calculated"	"logr_expected_alt"
"1"	"HIV1_AB253712_HIV1_AF321523_ab_blastn"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_AF321523_ab_blastn_max_raw_wis.tab"	1.20947775628627	0.945164410058027	0.945164410058027	18	6	6	0.845593510077158	0.845593510077158	1636	1636	9773	9773	1.55448e-37	1.55448e-37	9.32688e-37	9.32688e-37	6573.69447836984	6573.69447836984	1124.5	1124.5	6747	6747	1.343017578125	1.06710314750671	136.4	135.1	1.90954250488444	1.79175946922805	2.70153614723077
"2"	"HIV1_AB253712_HIV1_AY271690_ab_blastn"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_AY271690_ab_blastn_max_raw_wis.tab"	1.13820116054159	0.968471953578337	0.961025145067698	18	7	6	0.846433785314547	0.848229724550366	1434.14285714286	1661.33333333333	10014	9937	3.57074285714286e-34	4.16586666666667e-34	2.49952e-33	2.49952e-33	7302.45812812102	7272.29520573906	1071.28571428571	1242.33333333333	7499	7454	1.16659235954285	0.977957487106323	133.7	133.6	1.95210211930323	1.94591014905531	2.76997250660084
"3"	"HIV1_AB253712_HIV1_EU861977_ab_blastn"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_EU861977_ab_blastn_max_raw_wis.tab"	1.16073500967118	0.937814313346228	0.937814313346228	17	5	5	0.829376732756752	0.829376732756752	1944.6	1944.6	9697	9697	1.529174	1.529174	7.64587	7.64587	7060.50415068461	7060.50415068461	1445	1445	7225	7225	1.09046745300293	0.852063179016113	133.7	133.7	1.58888924420671	1.6094379124341	2.70151330131505
"4"	"HIV1_AB253712_HIV1_JX236671_ab_blastn"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_JX236671_ab_blastn_max_raw_wis.tab"	1.13926499032882	0.872533849129594	0.872533849129594	19	5	5	0.851518465787363	0.851518465787363	1807.2	1807.2	9022	9022	1.338778e-36	1.338778e-36	6.69389e-36	6.69389e-36	6689.96697200554	6689.96697200554	1370	1370	6850	6850	1.15669202804565	0.869298934936523	133.7	133.7	1.74574323194135	1.6094379124341	2.8157949689447
"5"	"HIV1_AB253712_HIV1_KC503852_ab_blastn"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_KC503852_ab_blastn_max_raw_wis.tab"	1.10232108317215	0.9857833655706	0.9857833655706	12	5	5	0.846128085348103	0.846128085348103	2046.6	2046.6	10193	10193	3.34946e-136	3.34946e-136	1.67473e-135	1.67473e-135	6894.50840699782	6894.50840699782	1411.4	1411.4	7057	7057	0.883559465408325	0.846037626266479	133.7	133.7	1.6376087894008	1.6094379124341	2.38458304640406
"6"	"HIV1_AB253712_HIV1_KY658697_ab_blastn"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_KY658697_ab_blastn_max_raw_wis.tab"	1.14700193423598	0.975241779497099	0.975241779497099	21	6	6	0.828441056610777	0.828441056610777	1688.66666666667	1688.66666666667	10084	10084	9.85978333333333e-152	9.85978333333333e-152	5.91587e-151	5.91587e-151	6781.19752266742	6781.19752266742	1159.5	1159.5	6957	6957	0.809019088745117	0.746332406997681	133.7	133.7	2.11875296189472	1.79175946922805	2.90688723728758
"7"	"HIV1_AB253712_HIV1_MH705134_ab_blastn"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_MH705134_ab_blastn_max_raw_wis.tab"	1.14642166344294	0.92137330754352	0.92137330754352	18	4	4	0.859521159044084	0.859521159044084	2389.25	2389.25	9527	9527	4.883475e-97	4.883475e-97	1.95339e-96	1.95339e-96	6901.27825035258	6901.27825035258	1762.25	1762.25	7049	7049	0.755071401596069	0.520228385925293	133.7	118.4	1.65360913074724	1.38629436111989	2.75623761429803
"8"	"HIV1_AB253712_HIV1_MH705144_ab_blastn"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_MH705144_ab_blastn_max_raw_wis.tab"	1.1536750483559	0.924081237911025	0.924081237911025	23	7	7	0.831286285439816	0.831286285439816	1371.85714285714	1371.85714285714	9555	9555	3.66641428571429e-28	3.66641428571429e-28	2.56649e-27	2.56649e-27	6496.23010358755	6496.23010358755	954.714285714286	954.714285714286	6683	6683	0.996384859085083	0.704006195068359	133.7	133.7	2.00830855481698	1.94591014905531	3.00264520063787
"9"	"HIV1_AB253712_HIV1_MK458169_ab_blastn"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_MK458169_ab_blastn_max_raw_wis.tab"	0.37862669245648	0.358800773694391	0.358800773694391	14	10	10	0.858501853044478	0.858501853044478	373.1	373.1	3710	3710	1.80306771185	1.80306771185	8.04378	8.04378	2396.91235298438	2396.91235298438	257.7	257.7	2577	2577	0.659056186676025	0.886300325393677	133.7	133.7	2.1870722058722	2.30258509299405	2.63213688677068
"10"	"HIV1_AB253712_HIV2_AF082339_ab_blastn"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV2_AF082339_ab_blastn_max_raw_wis.tab"	0.610831721470019	0.557930367504836	0.557930367504836	21	14	14	0.747382340169365	0.747382340169365	416.214285714286	416.214285714286	5769	5769	2.89156092456363	2.89156092456363	8.09637	8.09637	1450.69060929478	1450.69060929478	119.642857142857	119.642857142857	1675	1675	0.835623502731323	1.149001121521	133.6	133.6	2.4254832293172	2.63905732961526	2.95843181812174
