"genome"	"wis_file"	"cov_raw"	"cov_wis"	"cov_greedy"	"N_raw"	"N_wis"	"N_greedy"	"mean_pident"	"mean_pident_greedy"	"mean_len"	"mean_len_greedy"	"total_length"	"total_length_greedy"	"mean_e_value"	"mean_e_greedy"	"max_e_value"	"max_e_greedy"	"sum_score"	"sum_score_greedy"	"average_raw"	"average_raw_greedy"	"total_raw"	"total_raw_greedy"	"time_wis"	"time_greedy"	"memory_wis"	"memory_greedy"	"logr_expected"	"logr_calculated"	"logr_expected_alt"
"1"	"HIV1_AB253712_HIV1_AF321523_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_AF321523_ab_tblastx_max_raw_wis.tab"	5.12408123791103	0.970212765957447	0.970212765957447	37	4	4	0.728948267611128	0.728948267611128	838.75	838.75	10032	10032	1.3237175e-39	1.3237175e-39	5.29487e-39	5.29487e-39	2846.60989921738	2846.60989921738	2976.25	2976.25	11905	11905	2.05925107002258	0.819094657897949	136.4	135.1	0.910101016135534	1.38629436111989	2.66609223938422
"2"	"HIV1_AB253712_HIV1_AY271690_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_AY271690_ab_tblastx_max_raw_wis.tab"	4.86905222437137	0.842263056092843	0.824564796905222	37	4	3	0.647919683154244	0.70931444648994	737.25	962.666666666667	8709	8526	3.17365e-16	2.36392666666667e-50	1.26946e-15	7.09178e-50	2481.88638413019	2485.06974188029	2602.5	3455.66666666667	10410	10367	1.87845921516418	0.625714063644409	133.9	89.5	1.07979841970109	1.38629436111989	2.71942346081472
"3"	"HIV1_AB253712_HIV1_EU861977_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_EU861977_ab_tblastx_max_raw_wis.tab"	3.81382978723404	0.991682785299807	0.979206963249516	34	5	4	0.712111514967768	0.684337566696183	687.6	848.75	10254	10125	5.94428e-08	4.42375e-48	2.97214e-07	1.7695e-47	2960.36411827201	2952.31552041235	2485.2	3084.5	12426	12338	1.74249267578125	0.741683959960938	133.7	118.3	1.18908987363423	1.6094379124341	2.87777425111627
"4"	"HIV1_AB253712_HIV1_JX236671_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_JX236671_ab_tblastx_max_raw_wis.tab"	4.69642166344294	0.818181818181818	0.811218568665377	43	6	4	0.772953461733131	0.741367857088536	474.5	706.25	8460	8388	5.82356666666667e-20	3.564475e-20	2.06835e-19	1.42579e-19	2481.30145685229	2339.84577746909	1752.83333333333	2457	10517	9828	2.1327178478241	0.74374532699585	133.8	118.4	1.19625075823203	1.79175946922805	2.90405872599557
"5"	"HIV1_AB253712_HIV1_KC503852_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_KC503852_ab_tblastx_max_raw_wis.tab"	4.75212765957447	0.949613152804642	0.949613152804642	31	4	4	0.714719961284635	0.714719961284635	820.75	820.75	9819	9819	1.10375e-60	1.10375e-60	4.415e-60	4.415e-60	2760.03412546292	2760.03412546292	2887.5	2887.5	11550	11550	1.56828498840332	0.741772174835205	133.8	118.4	0.984652020482014	1.38629436111989	2.56262504890752
"6"	"HIV1_AB253712_HIV1_KY658697_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_KY658697_ab_tblastx_max_raw_wis.tab"	4.34738878143133	0.998065764023211	0.998065764023211	24	2	2	0.682626661875674	0.682626661875674	1732.5	1732.5	10320	10320	0	0	0	0	2724.7643366801	2724.7643366801	5646	5646	11292	11292	1.25785112380981	0.523058891296387	133.6	60.8	0.795426029680363	0.693147180559945	2.40162562617828
"7"	"HIV1_AB253712_HIV1_MH705134_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_MH705134_ab_tblastx_max_raw_wis.tab"	4.30473887814313	0.968471953578337	0.855609284332689	25	4	4	0.718235340561717	0.633367488467713	839.75	743	10014	8847	2.71445e-68	1.68127	1.08578e-67	6.72508	2862.5190244225	2580.2110244225	2992.5	2703.25	11970	10813	1.39455652236938	0.732142448425293	133.7	118.4	1.06711362160874	1.38629436111989	2.45206471614119
"8"	"HIV1_AB253712_HIV1_MH705144_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_MH705144_ab_tblastx_max_raw_wis.tab"	3.65628626692456	0.976595744680851	0.976595744680851	30	4	4	0.652164218221298	0.652164218221298	850.5	850.5	10098	10098	3.3977e-47	3.3977e-47	1.35908e-46	1.35908e-46	2634.37494153963	2634.37494153963	2758.75	2758.75	11035	11035	1.54926085472107	0.745418548583984	133.7	118.3	1.00330210886378	1.38629436111989	2.79741293516786
"9"	"HIV1_AB253712_HIV1_MK458169_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_MK458169_ab_tblastx_max_raw_wis.tab"	1.51682785299807	0.348452611218569	0.348452611218569	18	5	5	0.690288297545474	0.690288297545474	242.8	242.8	3603	3603	3.6512026e-08	3.6512026e-08	1.75291e-07	1.75291e-07	996.888408176784	996.888408176784	876	876	4380	4380	1.11999154090881	0.839316368103027	133.7	133.7	1.25895493874329	1.6094379124341	2.12546802593557
"10"	"HIV1_AB253712_HIV2_AF082339_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV2_AF082339_ab_tblastx_max_raw_wis.tab"	2.12408123791102	0.813249516441006	0.813249516441006	24	8	8	0.505569675036151	0.505569675036151	357.5	357.5	8409	8409	2.04505738526225e-13	2.04505738526225e-13	1.6352e-12	1.6352e-12	1608.00154143337	1608.00154143337	880.75	880.75	7046	7046	1.37129831314087	1.1469783782959	133.7	133.6	1.71171676155452	2.07944154167984	2.95750219099565
"11"	"HIV1_AB253712_HIV2_AY530889_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV2_AY530889_ab_tblastx_max_raw_wis.tab"	2.37707930367505	0.855899419729207	0.855899419729207	22	9	9	0.492575383907085	0.492575383907085	334.555555555556	334.555555555556	8850	8850	0.0313364444444445	0.0313364444444445	0.282028	0.282028	1569.23584043366	1569.23584043366	770.777777777778	770.777777777778	6937	6937	1.31529998779297	1.25665855407715	133.8	133.6	1.99243016469021	2.19722457733622	2.75863858051027
