"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"12"	"AY271690|AY271690"	9499	9633	"+"	12	48.8776	32	3.85431e-07	432	564	9499	1	1	96	96	12	140	9774	10359	"NC_001722|NC_001722"	32	22	TRUE	"NC_001722|NC_001722"	432	564	133	"*"	32	10359
"3"	"AY271690|AY271690"	9076	9437	"+"	3	120.147	82	1.32124e-28	9412	9767	9076	1	1	233	233	12	365	9774	10359	"NC_001722|NC_001722"	82	21	TRUE	"NC_001722|NC_001722"	9412	9767	356	"*"	82	10359
"19"	"AY271690|AY271690"	8753	8818	"+"	19	27.4968	17	1.06025	9199	9265	8753	1	1	43	43	1	67	9774	10359	"NC_001722|NC_001722"	17	19	TRUE	"NC_001722|NC_001722"	9199	9265	67	"*"	17	10359
"9"	"AY271690|AY271690"	8135	8403	"+"	9	73.1091	49	1.94032e-14	8552	8820	8135	1	1	170	170	10	274	9774	10359	"NC_001722|NC_001722"	49	18	TRUE	"NC_001722|NC_001722"	8552	8820	269	"*"	49	10359
"4"	"AY271690|AY271690"	7826	8098	"+"	4	105.893	72	2.5941e-24	8254	8527	7826	1	1	174	174	1	274	9774	10359	"NC_001722|NC_001722"	72	17	TRUE	"NC_001722|NC_001722"	8254	8527	274	"*"	72	10359
"21"	"AY271690|AY271690"	6548	6586	"+"	21	26.0715	16	2.84909	2195	2234	6548	1	1	29	29	1	40	9774	10359	"NC_001722|NC_001722"	16	16	TRUE	"NC_001722|NC_001722"	2195	2234	40	"*"	16	10359
"17"	"AY271690|AY271690"	6344	6403	"+"	17	34.6238	22	0.007567	6779	6838	6344	1	1	41	41	NA	60	9774	10359	"NC_001722|NC_001722"	22	15	TRUE	"NC_001722|NC_001722"	6779	6838	60	"*"	22	10359
"11"	"AY271690|AY271690"	5906	6062	"+"	11	51.7284	34	5.33766e-08	6554	6704	5906	1	1	103	103	8	158	9774	10359	"NC_001722|NC_001722"	34	14	TRUE	"NC_001722|NC_001722"	6554	6704	151	"*"	34	10359
"10"	"AY271690|AY271690"	5580	5833	"+"	10	53.1537	35	1.98634e-08	6264	6514	5580	1	1	152	152	7	256	9774	10359	"NC_001722|NC_001722"	35	13	TRUE	"NC_001722|NC_001722"	6264	6514	251	"*"	35	10359
"1"	"AY271690|AY271690"	2264	5056	"+"	1	1163.53	814	0	2638	5427	2264	1	1	1846	1846	37	2810	9774	10359	"NC_001722|NC_001722"	814	12	TRUE	"NC_001722|NC_001722"	2638	5427	2790	"*"	814	10359
"5"	"AY271690|AY271690"	1966	2105	"+"	5	85.9375	58	2.65572e-18	2265	2404	1966	1	1	99	99	NA	140	9774	10359	"NC_001722|NC_001722"	58	9	TRUE	"NC_001722|NC_001722"	2265	2404	140	"*"	58	10359
"2"	"AY271690|AY271690"	786	1903	"+"	2	409.499	285	9.3711e-116	1091	2205	786	1	1	733	733	29	1131	9774	10359	"NC_001722|NC_001722"	285	7	TRUE	"NC_001722|NC_001722"	1091	2205	1115	"*"	285	10359
"14"	"AY271690|AY271690"	618	655	"+"	14	47.4522	31	1.03573e-06	843	882	618	1	1	37	37	2	40	9774	10359	"NC_001722|NC_001722"	31	5	TRUE	"NC_001722|NC_001722"	843	882	40	"*"	31	10359
"15"	"AY271690|AY271690"	327	461	"+"	15	43.1761	28	2.00973e-05	432	564	327	1	1	94	94	12	140	9774	10359	"NC_001722|NC_001722"	28	3	TRUE	"NC_001722|NC_001722"	432	564	133	"*"	28	10359
"6"	"AY271690|AY271690"	2	265	"+"	6	74.5345	50	7.22063e-15	6	263	2	1	1	168	168	12	267	9774	10359	"NC_001722|NC_001722"	50	1	TRUE	"NC_001722|NC_001722"	6	263	258	"*"	50	10359
