"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"13"	"EU861977|EU861977"	9602	9643	"+"	13	28.9222	18	0.394652	586	627	9602	1	1	30	30	NA	42	9781	10354	"KY025538|KY025538"	18	22	TRUE	"KY025538|KY025538"	586	627	42	"*"	18	10354
"3"	"EU861977|EU861977"	9066	9294	"+"	3	124.423	85	6.81059e-30	9437	9665	9066	1	1	162	162	4	231	9781	10354	"KY025538|KY025538"	85	20	TRUE	"KY025538|KY025538"	9437	9665	229	"*"	85	10354
"17"	"EU861977|EU861977"	8771	8814	"+"	17	28.9222	18	0.394652	9223	9266	8771	1	1	31	31	NA	44	9781	10354	"KY025538|KY025538"	18	18	TRUE	"KY025538|KY025538"	9223	9266	44	"*"	18	10354
"10"	"EU861977|EU861977"	8111	8379	"+"	10	44.6014	29	7.4807e-06	8542	8810	8111	1	1	156	156	6	272	9781	10354	"KY025538|KY025538"	29	17	TRUE	"KY025538|KY025538"	8542	8810	269	"*"	29	10354
"4"	"EU861977|EU861977"	7700	8074	"+"	4	122.997	84	1.83014e-29	8140	8517	7700	1	1	236	236	5	379	9781	10354	"KY025538|KY025538"	84	16	TRUE	"KY025538|KY025538"	8140	8517	378	"*"	84	10354
"18"	"EU861977|EU861977"	6681	6763	"+"	18	28.9222	18	0.394652	7112	7200	6681	1	1	58	58	6	89	9781	10354	"KY025538|KY025538"	18	14	TRUE	"KY025538|KY025538"	7112	7200	89	"*"	18	10354
"20"	"EU861977|EU861977"	6637	6678	"+"	20	27.4968	17	1.0605	9441	9482	6637	1	1	32	32	2	43	9781	10354	"KY025538|KY025538"	17	13	TRUE	"KY025538|KY025538"	9441	9482	42	"*"	17	10354
"9"	"EU861977|EU861977"	6491	6609	"+"	9	54.5791	36	7.39362e-09	6895	7013	6491	1	1	82	82	4	121	9781	10354	"KY025538|KY025538"	36	12	TRUE	"KY025538|KY025538"	6895	7013	119	"*"	36	10354
"7"	"EU861977|EU861977"	5591	5809	"+"	7	60.2807	40	1.41796e-10	6267	6485	5591	1	1	132	132	2	220	9781	10354	"KY025538|KY025538"	40	11	TRUE	"KY025538|KY025538"	6267	6485	219	"*"	40	10354
"1"	"EU861977|EU861977"	2258	5050	"+"	1	1139.3	797	0	2627	5416	2258	1	1	1832	1832	43	2813	9781	10354	"KY025538|KY025538"	797	10	TRUE	"KY025538|KY025538"	2627	5416	2790	"*"	797	10354
"2"	"EU861977|EU861977"	1257	2098	"+"	2	376.716	262	7.01563e-106	1545	2383	1257	1	1	568	568	15	848	9781	10354	"KY025538|KY025538"	262	9	TRUE	"KY025538|KY025538"	1545	2383	839	"*"	262	10354
"21"	"EU861977|EU861977"	837	853	"+"	21	24.6461	15	7.65783	6910	6926	837	1	1	16	16	NA	17	9781	10354	"KY025538|KY025538"	15	7	TRUE	"KY025538|KY025538"	6910	6926	17	"*"	15	10354
"11"	"EU861977|EU861977"	636	671	"+"	11	41.7507	27	5.40179e-05	833	870	636	1	1	34	34	2	38	9781	10354	"KY025538|KY025538"	27	6	TRUE	"KY025538|KY025538"	833	870	38	"*"	27	10354
"14"	"EU861977|EU861977"	469	510	"+"	14	28.9222	18	0.394652	586	627	469	1	1	30	30	NA	42	9781	10354	"KY025538|KY025538"	18	4	TRUE	"KY025538|KY025538"	586	627	42	"*"	18	10354
"5"	"EU861977|EU861977"	66	161	"+"	5	70.2583	47	1.40144e-13	9573	9665	66	1	1	74	74	3	96	9781	10354	"KY025538|KY025538"	47	2	TRUE	"KY025538|KY025538"	9573	9665	93	"*"	47	10354
