"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"14"	"KY025538|KY025538"	10113	10160	"+"	14	30.3476	19	0.147378	524	568	10113	1	1	36	36	3	48	10354	9815	"L40990|SIVREV"	19	22	TRUE	"L40990|SIVREV"	524	568	45	"*"	48	9815
"11"	"KY025538|KY025538"	9734	9774	"+"	11	38.8999	25	0.000391426	240	280	9734	1	1	33	33	NA	41	10354	9815	"L40990|SIVREV"	25	20	TRUE	"L40990|SIVREV"	240	280	41	"*"	41	9815
"6"	"KY025538|KY025538"	9395	9682	"+"	6	127.274	87	9.46507e-31	8981	9268	9395	1	1	190	190	2	289	10354	9815	"L40990|SIVREV"	87	19	TRUE	"L40990|SIVREV"	8981	9268	288	"*"	289	9815
"22"	"KY025538|KY025538"	8989	9007	"+"	22	24.6461	15	7.68455	8680	8698	8989	1	1	17	17	NA	19	10354	9815	"L40990|SIVREV"	15	18	TRUE	"L40990|SIVREV"	8680	8698	19	"*"	19	9815
"3"	"KY025538|KY025538"	7926	8811	"+"	3	244.155	169	5.93334e-66	7611	8496	7926	1	1	540	540	10	891	10354	9815	"L40990|SIVREV"	169	17	TRUE	"L40990|SIVREV"	7611	8496	886	"*"	891	9815
"4"	"KY025538|KY025538"	7137	7888	"+"	4	189.99	131	1.22138e-49	6768	7528	7137	1	1	470	470	23	768	10354	9815	"L40990|SIVREV"	131	16	TRUE	"L40990|SIVREV"	6768	7528	761	"*"	768	9815
"7"	"KY025538|KY025538"	6547	7079	"+"	7	108.744	74	3.606e-25	6143	6677	6547	1	1	346	346	38	553	10354	9815	"L40990|SIVREV"	74	15	TRUE	"L40990|SIVREV"	6143	6677	535	"*"	553	9815
"18"	"KY025538|KY025538"	5972	6134	"+"	18	30.3476	19	0.147378	5843	6002	5972	1	1	94	94	3	163	10354	9815	"L40990|SIVREV"	19	14	TRUE	"L40990|SIVREV"	5843	6002	160	"*"	163	9815
"1"	"KY025538|KY025538"	2753	5874	"+"	1	1308.92	916	0	2603	5736	2753	1	1	2094	2094	64	3160	10354	9815	"L40990|SIVREV"	916	13	TRUE	"L40990|SIVREV"	2603	5736	3134	"*"	3160	9815
"9"	"KY025538|KY025538"	2235	2546	"+"	9	77.3852	52	1.00371e-15	2127	2435	2235	1	1	200	200	17	319	10354	9815	"L40990|SIVREV"	52	7	TRUE	"L40990|SIVREV"	2127	2435	309	"*"	319	9815
"2"	"KY025538|KY025538"	1428	2183	"+"	2	436.582	304	6.55524e-124	1309	2063	1428	1	1	544	544	13	762	10354	9815	"L40990|SIVREV"	304	5	TRUE	"L40990|SIVREV"	1309	2063	755	"*"	762	9815
"5"	"KY025538|KY025538"	1083	1381	"+"	5	142.953	98	1.79397e-35	942	1240	1083	1	1	201	201	2	300	10354	9815	"L40990|SIVREV"	98	4	TRUE	"L40990|SIVREV"	942	1240	299	"*"	300	9815
"10"	"KY025538|KY025538"	822	872	"+"	10	48.8776	32	3.86873e-07	700	748	822	1	1	43	43	2	51	10354	9815	"L40990|SIVREV"	32	3	TRUE	"L40990|SIVREV"	700	748	49	"*"	51	9815
"16"	"KY025538|KY025538"	604	651	"+"	16	30.3476	19	0.147378	524	568	604	1	1	36	36	3	48	10354	9815	"L40990|SIVREV"	19	1	TRUE	"L40990|SIVREV"	524	568	45	"*"	48	9815
