"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"13"	"EU861977|EU861977"	9602	9648	"+"	13	30.3476	19	0.149444	814	859	9602	1	1	34	34	1	47	9781	10535	"M33262|SIVMM239"	19	23	TRUE	"M33262|SIVMM239"	814	859	46	"*"	19	10535
"3"	"EU861977|EU861977"	9021	9289	"+"	3	122.997	84	1.86279e-29	9603	9871	9021	1	1	179	179	2	270	9781	10535	"M33262|SIVMM239"	84	21	TRUE	"M33262|SIVMM239"	9603	9871	269	"*"	84	10535
"21"	"EU861977|EU861977"	8706	8724	"+"	21	24.6461	15	7.79218	4820	4838	8706	1	1	17	17	NA	19	9781	10535	"M33262|SIVMM239"	15	17	TRUE	"M33262|SIVMM239"	4820	4838	19	"*"	15	10535
"11"	"EU861977|EU861977"	8193	8337	"+"	11	50.303	33	1.45995e-07	8835	8979	8193	1	1	94	94	4	147	9781	10535	"M33262|SIVMM239"	33	16	TRUE	"M33262|SIVMM239"	8835	8979	145	"*"	33	10535
"4"	"EU861977|EU861977"	7342	8074	"+"	4	111.594	76	5.0647e-26	7998	8728	7342	1	1	441	441	36	750	9781	10535	"M33262|SIVMM239"	76	15	TRUE	"M33262|SIVMM239"	7998	8728	731	"*"	76	10535
"20"	"EU861977|EU861977"	6257	6280	"+"	20	26.0715	16	2.89977	5582	5605	6257	1	1	20	20	NA	24	9781	10535	"M33262|SIVMM239"	16	13	TRUE	"M33262|SIVMM239"	5582	5605	24	"*"	16	10535
"6"	"EU861977|EU861977"	5900	6056	"+"	6	83.0868	56	1.95214e-17	6710	6860	5900	1	1	112	112	6	157	9781	10535	"M33262|SIVMM239"	56	12	TRUE	"M33262|SIVMM239"	6710	6860	151	"*"	56	10535
"5"	"EU861977|EU861977"	5557	5809	"+"	5	94.4898	64	7.1801e-21	6400	6655	5557	1	1	163	163	3	256	9781	10535	"M33262|SIVMM239"	64	11	TRUE	"M33262|SIVMM239"	6400	6655	256	"*"	64	10535
"1"	"EU861977|EU861977"	2258	5050	"+"	1	1142.15	799	0	2811	5600	2258	1	1	1852	1852	59	2821	9781	10535	"M33262|SIVMM239"	799	10	TRUE	"M33262|SIVMM239"	2811	5600	2790	"*"	799	10535
"2"	"EU861977|EU861977"	1227	2098	"+"	2	358.186	249	2.72333e-100	1741	2615	1227	1	1	588	588	25	886	9781	10535	"M33262|SIVMM239"	249	8	TRUE	"M33262|SIVMM239"	1741	2615	875	"*"	249	10535
"7"	"EU861977|EU861977"	798	1099	"+"	7	83.0868	56	1.95214e-17	1306	1607	798	1	1	186	186	6	305	9781	10535	"M33262|SIVMM239"	56	7	TRUE	"M33262|SIVMM239"	1306	1607	302	"*"	56	10535
"12"	"EU861977|EU861977"	636	677	"+"	12	41.7507	27	5.49683e-05	1062	1105	636	1	1	37	37	2	44	9781	10535	"M33262|SIVMM239"	27	6	TRUE	"M33262|SIVMM239"	1062	1105	44	"*"	27	10535
"14"	"EU861977|EU861977"	469	515	"+"	14	30.3476	19	0.149444	814	859	469	1	1	34	34	1	47	9781	10535	"M33262|SIVMM239"	19	4	TRUE	"M33262|SIVMM239"	814	859	46	"*"	19	10535
"9"	"EU861977|EU861977"	64	156	"+"	9	58.8553	39	3.87756e-10	320	410	64	1	1	68	68	2	93	9781	10535	"M33262|SIVMM239"	39	1	TRUE	"M33262|SIVMM239"	320	410	91	"*"	39	10535
