"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"3"	"KY658697|KY658697"	9233	9594	"+"	3	121.572	83	4.62861e-29	8845	9200	9233	1	1	232	232	10	364	9875	9664	"U79412|SIU79412"	83	22	TRUE	"U79412|SIU79412"	8845	9200	356	"*"	83	9664
"11"	"KY658697|KY658697"	8653	8715	"+"	11	38.8999	25	0.000367431	8319	8380	8653	1	1	45	45	1	63	9875	9664	"U79412|SIU79412"	25	20	TRUE	"U79412|SIU79412"	8319	8380	62	"*"	25	9664
"8"	"KY658697|KY658697"	8401	8555	"+"	8	58.8553	39	3.58851e-10	8046	8200	8401	1	1	102	102	4	157	9875	9664	"U79412|SIU79412"	39	19	TRUE	"U79412|SIU79412"	8046	8200	155	"*"	39	9664
"17"	"KY658697|KY658697"	8367	8385	"+"	17	27.4968	17	0.999092	6536	6554	8367	1	1	18	18	NA	19	9875	9664	"U79412|SIU79412"	17	17	TRUE	"U79412|SIU79412"	6536	6554	19	"*"	17	9664
"4"	"KY658697|KY658697"	7990	8295	"+"	4	117.296	80	8.98198e-28	7644	7949	7990	1	1	198	198	4	308	9875	9664	"U79412|SIU79412"	80	16	TRUE	"U79412|SIU79412"	7644	7949	306	"*"	80	9664
"15"	"KY658697|KY658697"	7582	7610	"+"	15	30.3476	19	0.138356	7254	7282	7582	1	1	24	24	NA	29	9875	9664	"U79412|SIU79412"	19	14	TRUE	"U79412|SIU79412"	7254	7282	29	"*"	19	9664
"10"	"KY658697|KY658697"	6721	6853	"+"	10	47.4522	31	9.75778e-07	6279	6411	6721	1	1	82	82	NA	133	9875	9664	"U79412|SIU79412"	31	13	TRUE	"U79412|SIU79412"	6279	6411	133	"*"	31	9664
"20"	"KY658697|KY658697"	6289	6328	"+"	20	26.0715	16	2.68478	3419	3458	6289	1	1	28	28	NA	40	9875	9664	"U79412|SIU79412"	16	12	TRUE	"U79412|SIU79412"	3419	3458	40	"*"	16	9664
"7"	"KY658697|KY658697"	6134	6214	"+"	7	63.1314	42	1.84927e-11	5922	6003	6134	1	1	63	63	1	82	9875	9664	"U79412|SIU79412"	42	11	TRUE	"U79412|SIU79412"	5922	6003	82	"*"	42	9664
"22"	"KY658697|KY658697"	6057	6081	"+"	22	24.6461	15	7.21461	3946	3970	6057	1	1	20	20	NA	25	9875	9664	"U79412|SIU79412"	15	10	TRUE	"U79412|SIU79412"	3946	3970	25	"*"	15	9664
"5"	"KY658697|KY658697"	5791	6056	"+"	5	105.893	72	2.44246e-24	5612	5881	5791	1	1	175	175	4	270	9875	9664	"U79412|SIU79412"	72	9	TRUE	"U79412|SIU79412"	5612	5881	270	"*"	72	9664
"12"	"KY658697|KY658697"	5697	5739	"+"	12	33.1984	21	0.0191598	5234	5276	5697	1	1	32	32	NA	43	9875	9664	"U79412|SIU79412"	21	8	TRUE	"U79412|SIU79412"	5234	5276	43	"*"	21	9664
"1"	"KY658697|KY658697"	2492	5284	"+"	1	1200.59	840	0	2023	4812	2492	1	1	1877	1877	53	2818	9875	9664	"U79412|SIU79412"	840	7	TRUE	"U79412|SIU79412"	2023	4812	2790	"*"	840	9664
"2"	"KY658697|KY658697"	1029	2332	"+"	2	467.94	326	2.19784e-133	530	1839	1029	1	1	874	874	50	1332	9875	9664	"U79412|SIU79412"	326	4	TRUE	"U79412|SIU79412"	530	1839	1310	"*"	326	9664
"9"	"KY658697|KY658697"	861	904	"+"	9	47.4522	31	9.75778e-07	285	330	861	1	1	40	40	2	46	9875	9664	"U79412|SIU79412"	31	3	TRUE	"U79412|SIU79412"	285	330	46	"*"	31	9664
"6"	"KY658697|KY658697"	225	509	"+"	6	94.4898	64	6.64168e-21	8922	9200	225	1	1	184	184	10	287	9875	9664	"U79412|SIU79412"	64	2	TRUE	"U79412|SIU79412"	8922	9200	279	"*"	64	9664
