"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"12"	"KC503852|KC503852"	9426	9464	"+"	12	43.1761	28	1.94679e-05	456	495	9426	1	1	35	35	1	40	9804	10006	"AF131870|AF131870"	28	20	TRUE	"AF131870|AF131870"	456	495	40	"*"	28	10006
"4"	"KC503852|KC503852"	8898	9158	"+"	4	91.6391	62	4.9323e-20	9131	9391	8898	1	1	164	164	2	262	9804	10006	"AF131870|AF131870"	62	19	TRUE	"AF131870|AF131870"	9131	9391	261	"*"	62	10006
"21"	"KC503852|KC503852"	8631	8647	"-"	21	24.6461	15	7.41699	7205	7221	8631	1	-1	16	16	NA	17	9804	10006	"AF131870|AF131870"	15	18	TRUE	"AF131870|AF131870"	7205	7221	17	"*"	15	10006
"15"	"KC503852|KC503852"	7988	8191	"+"	15	33.1984	21	0.0196981	8398	8598	7988	1	1	129	129	15	210	9804	10006	"AF131870|AF131870"	21	17	TRUE	"AF131870|AF131870"	8398	8598	201	"*"	21	10006
"19"	"KC503852|KC503852"	7559	7585	"+"	19	24.6461	15	7.41699	6934	6960	7559	1	1	21	21	NA	27	9804	10006	"AF131870|AF131870"	15	16	TRUE	"AF131870|AF131870"	6934	6960	27	"*"	15	10006
"16"	"KC503852|KC503852"	6477	6510	"+"	16	26.0715	16	2.76012	6713	6746	6477	1	1	25	25	NA	34	9804	10006	"AF131870|AF131870"	16	15	TRUE	"AF131870|AF131870"	6713	6746	34	"*"	16	10006
"7"	"KC503852|KC503852"	5803	5878	"+"	7	48.8776	32	3.73348e-07	6275	6350	5803	1	1	54	54	NA	76	9804	10006	"AF131870|AF131870"	32	14	TRUE	"AF131870|AF131870"	6275	6350	76	"*"	32	10006
"6"	"KC503852|KC503852"	5207	5382	"+"	6	56.0045	37	2.66444e-09	5704	5878	5207	1	1	110	110	3	177	9804	10006	"AF131870|AF131870"	37	13	TRUE	"AF131870|AF131870"	5704	5878	175	"*"	37	10006
"1"	"KC503852|KC503852"	2277	4953	"+"	1	981.078	686	6.24957e-288	2720	5405	2277	1	1	1756	1756	63	2713	9804	10006	"AF131870|AF131870"	686	11	TRUE	"AF131870|AF131870"	2720	5405	2686	"*"	686	10006
"14"	"KC503852|KC503852"	1933	2042	"+"	14	37.4745	24	0.00101513	2325	2434	1933	1	1	74	74	6	113	9804	10006	"AF131870|AF131870"	24	9	TRUE	"AF131870|AF131870"	2325	2434	110	"*"	24	10006
"2"	"KC503852|KC503852"	1470	1804	"+"	2	177.162	122	8.60539e-46	1799	2133	1470	1	1	231	231	2	336	9804	10006	"AF131870|AF131870"	122	8	TRUE	"AF131870|AF131870"	1799	2133	335	"*"	122	10006
"3"	"KC503852|KC503852"	1133	1353	"+"	3	113.02	77	1.79266e-26	1453	1673	1133	1	1	149	149	NA	221	9804	10006	"AF131870|AF131870"	77	7	TRUE	"AF131870|AF131870"	1453	1673	221	"*"	77	10006
"17"	"KC503852|KC503852"	1105	1121	"+"	17	24.6461	15	7.41699	8263	8279	1105	1	1	16	16	NA	17	9804	10006	"AF131870|AF131870"	15	5	TRUE	"AF131870|AF131870"	8263	8279	17	"*"	15	10006
"8"	"KC503852|KC503852"	784	883	"+"	8	48.8776	32	3.73348e-07	1135	1233	784	1	1	67	67	1	100	9804	10006	"AF131870|AF131870"	32	4	TRUE	"AF131870|AF131870"	1135	1233	99	"*"	32	10006
"11"	"KC503852|KC503852"	552	601	"+"	11	44.6014	29	7.24464e-06	764	814	552	1	1	41	41	1	51	9804	10006	"AF131870|AF131870"	29	3	TRUE	"AF131870|AF131870"	764	814	51	"*"	29	10006
"9"	"KC503852|KC503852"	345	384	"+"	9	44.6014	29	7.24464e-06	456	496	345	1	1	36	36	1	41	9804	10006	"AF131870|AF131870"	29	1	TRUE	"AF131870|AF131870"	456	496	41	"*"	29	10006
