"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"15"	"EU861977|EU861977"	9602	9648	"+"	15	30.3476	19	0.146822	598	643	9602	1	1	34	34	1	47	9781	10351	"U27200|HIV2U27200"	19	22	TRUE	"U27200|HIV2U27200"	598	643	46	"*"	47	10351
"21"	"EU861977|EU861977"	9365	9385	"+"	21	24.6461	15	7.6556	9279	9299	9365	1	1	18	18	NA	21	9781	10351	"U27200|HIV2U27200"	15	21	TRUE	"U27200|HIV2U27200"	9279	9299	21	"*"	21	10351
"6"	"EU861977|EU861977"	9021	9287	"+"	6	91.6391	62	5.09284e-20	9277	9543	9021	1	1	167	167	2	268	9781	10351	"U27200|HIV2U27200"	62	20	TRUE	"U27200|HIV2U27200"	9277	9543	267	"*"	268	10351
"8"	"EU861977|EU861977"	8111	8336	"+"	8	57.4299	38	1.02361e-09	8514	8739	8111	1	1	134	134	2	227	9781	10351	"U27200|HIV2U27200"	38	18	TRUE	"U27200|HIV2U27200"	8514	8739	226	"*"	227	10351
"4"	"EU861977|EU861977"	7700	8074	"+"	4	110.169	75	1.33678e-25	8112	8489	7700	1	1	237	237	9	381	9781	10351	"U27200|HIV2U27200"	75	17	TRUE	"U27200|HIV2U27200"	8112	8489	378	"*"	381	10351
"9"	"EU861977|EU861977"	6704	6976	"+"	9	57.4299	38	1.02361e-09	7137	7407	6704	1	1	164	164	8	276	9781	10351	"U27200|HIV2U27200"	38	15	TRUE	"U27200|HIV2U27200"	7137	7407	271	"*"	276	10351
"7"	"EU861977|EU861977"	5899	5976	"+"	7	60.2807	40	1.41755e-10	6524	6601	5899	1	1	59	59	NA	78	9781	10351	"U27200|HIV2U27200"	40	13	TRUE	"U27200|HIV2U27200"	6524	6601	78	"*"	78	10351
"1"	"EU861977|EU861977"	2258	5143	"+"	1	1156.4	809	0	2609	5494	2258	1	1	1873	1873	32	2902	9781	10351	"U27200|HIV2U27200"	809	12	TRUE	"U27200|HIV2U27200"	2609	5494	2886	"*"	2902	10351
"2"	"EU861977|EU861977"	1230	1897	"+"	2	351.059	244	3.74558e-98	1500	2167	1230	1	1	473	473	14	675	9781	10351	"U27200|HIV2U27200"	244	9	TRUE	"U27200|HIV2U27200"	1500	2167	668	"*"	675	10351
"5"	"EU861977|EU861977"	798	1099	"+"	5	103.042	70	1.8731e-23	1077	1378	798	1	1	193	193	6	305	9781	10351	"U27200|HIV2U27200"	70	8	TRUE	"U27200|HIV2U27200"	1077	1378	302	"*"	305	10351
"13"	"EU861977|EU861977"	636	667	"+"	13	38.8999	25	0.000389948	839	872	636	1	1	31	31	2	34	9781	10351	"U27200|HIV2U27200"	25	6	TRUE	"U27200|HIV2U27200"	839	872	34	"*"	34	10351
"16"	"EU861977|EU861977"	469	515	"+"	16	30.3476	19	0.146822	598	643	469	1	1	34	34	1	47	9781	10351	"U27200|HIV2U27200"	19	4	TRUE	"U27200|HIV2U27200"	598	643	46	"*"	47	10351
"23"	"EU861977|EU861977"	232	252	"+"	23	24.6461	15	7.6556	9279	9299	232	1	1	18	18	NA	21	9781	10351	"U27200|HIV2U27200"	15	3	TRUE	"U27200|HIV2U27200"	9279	9299	21	"*"	21	10351
"11"	"EU861977|EU861977"	76	154	"+"	11	41.7507	27	5.40022e-05	76	152	76	1	1	57	57	4	80	9781	10351	"U27200|HIV2U27200"	27	1	TRUE	"U27200|HIV2U27200"	76	152	77	"*"	80	10351
