"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"3"	"JX236671|JX236671"	9094	9479	"+"	3	118.721	81	3.58012e-28	9399	9778	9094	1	1	242	242	10	388	9854	10359	"M30502|HIV2BEN"	81	25	TRUE	"M30502|HIV2BEN"	9399	9778	380	"*"	81	10359
"6"	"JX236671|JX236671"	8190	8458	"+"	6	78.8106	53	3.75203e-16	8552	8820	8190	1	1	166	166	4	271	9854	10359	"M30502|HIV2BEN"	53	23	TRUE	"M30502|HIV2BEN"	8552	8820	269	"*"	53	10359
"5"	"JX236671|JX236671"	7881	8153	"+"	5	100.191	68	1.36392e-22	8254	8527	7881	1	1	172	172	1	274	9854	10359	"M30502|HIV2BEN"	68	22	TRUE	"M30502|HIV2BEN"	8254	8527	274	"*"	68	10359
"14"	"JX236671|JX236671"	7673	7696	"+"	14	28.9222	18	0.397804	5117	5140	7673	1	1	21	21	NA	24	9854	10359	"M30502|HIV2BEN"	18	20	TRUE	"M30502|HIV2BEN"	5117	5140	24	"*"	18	10359
"13"	"JX236671|JX236671"	7415	7444	"+"	13	31.773	20	0.0550904	7867	7896	7415	1	1	25	25	NA	30	9854	10359	"M30502|HIV2BEN"	20	19	TRUE	"M30502|HIV2BEN"	7867	7896	30	"*"	20	10359
"16"	"JX236671|JX236671"	7247	7277	"+"	16	27.4968	17	1.06897	5173	5202	7247	1	1	25	25	1	31	9854	10359	"M30502|HIV2BEN"	17	18	TRUE	"M30502|HIV2BEN"	5173	5202	30	"*"	17	10359
"11"	"JX236671|JX236671"	6375	6434	"+"	11	46.0268	30	2.80614e-06	6779	6838	6375	1	1	45	45	NA	60	9854	10359	"M30502|HIV2BEN"	30	17	TRUE	"M30502|HIV2BEN"	6779	6838	60	"*"	30	10359
"25"	"JX236671|JX236671"	5935	5955	"-"	25	24.6461	15	7.71894	7637	7657	5935	1	-1	18	18	NA	21	9854	10359	"M30502|HIV2BEN"	15	16	TRUE	"M30502|HIV2BEN"	7637	7657	21	"*"	15	10359
"10"	"JX236671|JX236671"	5605	5858	"+"	10	57.4299	38	1.03213e-09	6264	6514	5605	1	1	155	155	9	257	9854	10359	"M30502|HIV2BEN"	38	15	TRUE	"M30502|HIV2BEN"	6264	6514	251	"*"	38	10359
"1"	"JX236671|JX236671"	2289	5081	"+"	1	1166.38	816	0	2638	5427	2289	1	1	1856	1856	45	2814	9854	10359	"M30502|HIV2BEN"	816	13	TRUE	"M30502|HIV2BEN"	2638	5427	2790	"*"	816	10359
"15"	"JX236671|JX236671"	2177	2204	"+"	15	28.9222	18	0.397804	2460	2487	2177	1	1	23	23	NA	28	9854	10359	"M30502|HIV2BEN"	18	9	TRUE	"M30502|HIV2BEN"	2460	2487	28	"*"	18	10359
"2"	"JX236671|JX236671"	1279	2127	"+"	2	362.462	252	1.38945e-101	1559	2404	1279	1	1	566	566	15	855	9854	10359	"M30502|HIV2BEN"	252	8	TRUE	"M30502|HIV2BEN"	1559	2404	846	"*"	252	10359
"17"	"JX236671|JX236671"	1171	1201	"+"	17	27.4968	17	1.06897	7284	7314	1171	1	1	24	24	NA	31	9854	10359	"M30502|HIV2BEN"	17	5	TRUE	"M30502|HIV2BEN"	7284	7314	31	"*"	17	10359
"4"	"JX236671|JX236671"	817	1127	"+"	4	101.617	69	5.07562e-23	1091	1401	817	1	1	195	195	4	313	9854	10359	"M30502|HIV2BEN"	69	4	TRUE	"M30502|HIV2BEN"	1091	1401	311	"*"	69	10359
"12"	"JX236671|JX236671"	643	682	"+"	12	44.6014	29	7.54061e-06	843	884	643	1	1	37	37	2	42	9854	10359	"M30502|HIV2BEN"	29	3	TRUE	"M30502|HIV2BEN"	843	884	42	"*"	29	10359
"8"	"JX236671|JX236671"	1	280	"+"	8	75.9599	51	2.70933e-15	1	274	1	1	1	174	174	10	282	9854	10359	"M30502|HIV2BEN"	51	1	TRUE	"M30502|HIV2BEN"	1	274	274	"*"	51	10359
