"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"3"	"KY658697|KY658697"	9232	9594	"+"	3	124.423	85	6.37102e-30	8891	9247	9232	1	1	232	232	8	364	9875	9607	"AY530889|AY530889"	85	18	TRUE	"AY530889|AY530889"	8891	9247	357	"*"	85	9607
"9"	"KY658697|KY658697"	8655	8696	"+"	9	31.773	20	0.0511814	8383	8424	8655	1	1	31	31	NA	42	9875	9607	"AY530889|AY530889"	20	17	TRUE	"AY530889|AY530889"	8383	8424	42	"*"	20	9607
"4"	"KY658697|KY658697"	7924	8296	"+"	4	117.296	80	8.92789e-28	7634	8012	7924	1	1	240	240	10	381	9875	9607	"AY530889|AY530889"	80	16	TRUE	"AY530889|AY530889"	7634	8012	379	"*"	80	9607
"13"	"KY658697|KY658697"	7735	7779	"+"	13	27.4968	17	0.993174	7466	7510	7735	1	1	31	31	NA	45	9875	9607	"AY530889|AY530889"	17	15	TRUE	"AY530889|AY530889"	7466	7510	45	"*"	17	9607
"16"	"KY658697|KY658697"	7655	7686	"+"	16	26.0715	16	2.66888	3251	3282	7655	1	1	24	24	NA	32	9875	9607	"AY530889|AY530889"	16	14	TRUE	"AY530889|AY530889"	3251	3282	32	"*"	16	9607
"11"	"KY658697|KY658697"	7581	7610	"+"	11	28.9222	18	0.369591	7324	7353	7581	1	1	24	24	NA	30	9875	9607	"AY530889|AY530889"	18	13	TRUE	"AY530889|AY530889"	7324	7353	30	"*"	18	9607
"15"	"KY658697|KY658697"	6334	6353	"+"	15	26.0715	16	2.66888	8232	8251	6334	1	1	18	18	NA	20	9875	9607	"AY530889|AY530889"	16	12	TRUE	"AY530889|AY530889"	8232	8251	20	"*"	16	9607
"6"	"KY658697|KY658697"	6141	6210	"+"	6	51.7284	34	4.99857e-08	6021	6090	6141	1	1	52	52	NA	70	9875	9607	"AY530889|AY530889"	34	11	TRUE	"AY530889|AY530889"	6021	6090	70	"*"	34	9607
"7"	"KY658697|KY658697"	5565	5737	"+"	7	48.8776	32	3.60958e-07	5192	5367	5565	1	1	111	111	7	178	9875	9607	"AY530889|AY530889"	32	10	TRUE	"AY530889|AY530889"	5192	5367	176	"*"	32	9607
"1"	"KY658697|KY658697"	2492	5284	"+"	1	1127.89	789	0	2120	4906	2492	1	1	1842	1842	44	2812	9875	9607	"AY530889|AY530889"	789	9	TRUE	"AY530889|AY530889"	2120	4906	2787	"*"	789	9607
"14"	"KY658697|KY658697"	2391	2410	"+"	14	26.0715	16	2.66888	1959	1978	2391	1	1	18	18	NA	20	9875	9607	"AY530889|AY530889"	16	5	TRUE	"AY530889|AY530889"	1959	1978	20	"*"	16	9607
"2"	"KY658697|KY658697"	1029	2333	"+"	2	409.499	285	8.73744e-116	580	1895	1029	1	1	848	848	45	1333	9875	9607	"AY530889|AY530889"	285	4	TRUE	"AY530889|AY530889"	580	1895	1316	"*"	285	9607
"8"	"KY658697|KY658697"	861	907	"+"	8	47.4522	31	9.69977e-07	334	383	861	1	1	43	43	3	50	9875	9607	"AY530889|AY530889"	31	2	TRUE	"AY530889|AY530889"	334	383	50	"*"	31	9607
"5"	"KY658697|KY658697"	225	509	"+"	5	101.617	69	4.7112e-23	8969	9247	225	1	1	185	185	8	286	9875	9607	"AY530889|AY530889"	69	1	TRUE	"AY530889|AY530889"	8969	9247	279	"*"	69	9607
