"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"11"	"KX174311|KX174311"	9926	10084	"+"	11	50.303	33	1.46479e-07	404	560	9926	1	1	107	107	10	163	10301	10036	"U04005|SIU04005"	33	24	TRUE	"U04005|SIU04005"	404	560	157	"*"	163	10036
"5"	"KX174311|KX174311"	9328	9717	"+"	5	211.371	146	4.51882e-56	9158	9544	9328	1	1	275	275	7	392	10301	10036	"U04005|SIU04005"	146	23	TRUE	"U04005|SIU04005"	9158	9544	387	"*"	392	10036
"3"	"KX174311|KX174311"	7953	8970	"+"	3	356.76	248	7.34443e-100	7777	8782	7953	1	1	663	663	28	1026	10301	10036	"U04005|SIU04005"	248	21	TRUE	"U04005|SIU04005"	7777	8782	1006	"*"	1026	10036
"4"	"KX174311|KX174311"	7300	7915	"+"	4	212.797	147	1.6816e-56	7079	7697	7300	1	1	408	408	25	630	10301	10036	"U04005|SIU04005"	147	19	TRUE	"U04005|SIU04005"	7079	7697	619	"*"	630	10036
"22"	"KX174311|KX174311"	7087	7111	"+"	22	27.4968	17	1.08268	2616	2640	7087	1	1	21	21	NA	25	10301	10036	"U04005|SIU04005"	17	18	TRUE	"U04005|SIU04005"	2616	2640	25	"*"	25	10036
"23"	"KX174311|KX174311"	5976	5994	"+"	23	24.6461	15	7.81787	6660	6678	5976	1	1	17	17	NA	19	10301	10036	"U04005|SIU04005"	15	17	TRUE	"U04005|SIU04005"	6660	6678	19	"*"	19	10036
"1"	"KX174311|KX174311"	2625	5894	"+"	1	1477.11	1034	0	2637	5910	2625	1	1	2218	2218	56	3300	10301	10036	"U04005|SIU04005"	1034	16	TRUE	"U04005|SIU04005"	2637	5910	3274	"*"	3300	10036
"10"	"KX174311|KX174311"	2310	2444	"+"	10	78.8106	53	3.80059e-16	2307	2441	2310	1	1	101	101	6	138	10301	10036	"U04005|SIU04005"	53	11	TRUE	"U04005|SIU04005"	2307	2441	135	"*"	138	10036
"2"	"KX174311|KX174311"	1521	2206	"+"	2	390.969	272	3.65226e-110	1482	2170	1521	1	1	488	488	7	691	10301	10036	"U04005|SIU04005"	272	10	TRUE	"U04005|SIU04005"	1482	2170	689	"*"	691	10036
"21"	"KX174311|KX174311"	1468	1501	"+"	21	28.9222	18	0.402906	1366	1399	1468	1	1	26	26	NA	34	10301	10036	"U04005|SIU04005"	18	9	TRUE	"U04005|SIU04005"	1366	1399	34	"*"	34	10036
"6"	"KX174311|KX174311"	1099	1406	"+"	6	175.737	121	2.44091e-45	1012	1319	1099	1	1	217	217	2	309	10301	10036	"U04005|SIU04005"	121	8	TRUE	"U04005|SIU04005"	1012	1319	308	"*"	309	10036
"15"	"KX174311|KX174311"	866	899	"+"	15	38.8999	25	0.000398234	755	786	866	1	1	31	31	2	34	10301	10036	"U04005|SIU04005"	25	7	TRUE	"U04005|SIU04005"	755	786	32	"*"	34	10036
"13"	"KX174311|KX174311"	503	661	"+"	13	50.303	33	1.46479e-07	404	560	503	1	1	107	107	10	163	10301	10036	"U04005|SIU04005"	33	3	TRUE	"U04005|SIU04005"	404	560	157	"*"	163	10036
"7"	"KX174311|KX174311"	1	294	"+"	7	164.334	113	6.6367e-42	9254	9544	1	1	1	210	210	7	296	10301	10036	"U04005|SIU04005"	113	2	TRUE	"U04005|SIU04005"	9254	9544	291	"*"	296	10036
