"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"20"	"AB253712|AB253712"	10067	10083	"-"	20	24.6461	15	8.05555	8245	8261	10067	1	-1	16	16	NA	17	10340	10301	"KX174311|KX174311"	15	21	TRUE	"KX174311|KX174311"	8245	8261	17	"*"	15	10301
"5"	"AB253712|AB253712"	9678	9950	"+"	5	111.594	76	5.23861e-26	9324	9596	9678	1	1	177	177	2	274	10340	10301	"KX174311|KX174311"	76	20	TRUE	"KX174311|KX174311"	9324	9596	273	"*"	76	10301
"15"	"AB253712|AB253712"	9465	9491	"+"	15	30.3476	19	0.1545	9234	9260	9465	1	1	23	23	NA	27	10340	10301	"KX174311|KX174311"	19	18	TRUE	"KX174311|KX174311"	9234	9260	27	"*"	19	10301
"10"	"AB253712|AB253712"	8780	9040	"+"	10	57.4299	38	1.0774e-09	8561	8821	8780	1	1	159	159	8	265	10340	10301	"KX174311|KX174311"	38	17	TRUE	"KX174311|KX174311"	8561	8821	261	"*"	38	10301
"6"	"AB253712|AB253712"	8149	8744	"+"	6	110.169	75	1.4077e-25	7946	8537	8149	1	1	367	367	30	609	10340	10301	"KX174311|KX174311"	75	16	TRUE	"KX174311|KX174311"	7946	8537	592	"*"	75	10301
"18"	"AB253712|AB253712"	7361	7387	"+"	18	24.6461	15	8.05555	1130	1156	7361	1	1	21	21	NA	27	10340	10301	"KX174311|KX174311"	15	13	TRUE	"KX174311|KX174311"	1130	1156	27	"*"	15	10301
"13"	"AB253712|AB253712"	7008	7067	"+"	13	46.0268	30	2.92898e-06	6774	6833	7008	1	1	45	45	NA	60	10340	10301	"KX174311|KX174311"	30	12	TRUE	"KX174311|KX174311"	6774	6833	60	"*"	30	10301
"9"	"AB253712|AB253712"	6250	6501	"+"	9	57.4299	38	1.0774e-09	6267	6515	6250	1	1	148	148	3	252	10340	10301	"KX174311|KX174311"	38	11	TRUE	"KX174311|KX174311"	6267	6515	249	"*"	38	10301
"3"	"AB253712|AB253712"	5323	5724	"+"	3	199.968	138	1.2672e-52	5027	5428	5323	1	1	277	277	6	405	10340	10301	"KX174311|KX174311"	138	10	TRUE	"KX174311|KX174311"	5027	5428	402	"*"	138	10301
"1"	"AB253712|AB253712"	2266	5058	"+"	1	1122.19	785	0	2639	5428	2266	1	1	1836	1836	41	2812	10340	10301	"KX174311|KX174311"	785	9	TRUE	"KX174311|KX174311"	2639	5428	2790	"*"	785	10301
"7"	"AB253712|AB253712"	1976	2107	"+"	7	94.4898	64	7.42588e-21	2271	2402	1976	1	1	98	98	NA	132	10340	10301	"KX174311|KX174311"	64	8	TRUE	"KX174311|KX174311"	2271	2402	132	"*"	64	10301
"2"	"AB253712|AB253712"	1170	1905	"+"	2	319.7	222	1.1006e-88	1455	2191	1170	1	1	500	500	19	746	10340	10301	"KX174311|KX174311"	222	7	TRUE	"KX174311|KX174311"	1455	2191	737	"*"	222	10301
"4"	"AB253712|AB253712"	807	1107	"+"	4	121.572	83	5.17788e-29	1102	1402	807	1	1	197	197	4	303	10340	10301	"KX174311|KX174311"	83	6	TRUE	"KX174311|KX174311"	1102	1402	301	"*"	83	10301
"14"	"AB253712|AB253712"	621	652	"+"	14	38.8999	25	0.000410372	866	899	621	1	1	31	31	2	34	10340	10301	"KX174311|KX174311"	25	4	TRUE	"KX174311|KX174311"	866	899	34	"*"	25	10301
"21"	"AB253712|AB253712"	274	290	"-"	21	24.6461	15	8.05555	8245	8261	274	1	-1	16	16	NA	17	10340	10301	"KX174311|KX174311"	15	3	TRUE	"KX174311|KX174311"	8245	8261	17	"*"	15	10301
"11"	"AB253712|AB253712"	81	157	"+"	11	56.0045	37	2.89513e-09	97	173	81	1	1	57	57	NA	77	10340	10301	"KX174311|KX174311"	37	1	TRUE	"KX174311|KX174311"	97	173	77	"*"	37	10301
