"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"12"	"AF321523|AF321523"	9698	9751	"+"	12	50.303	33	1.47981e-07	1059	1114	9698	1	1	46	46	2	56	9913	10535	"M33262|SIVMM239"	33	28	TRUE	"M33262|SIVMM239"	1059	1114	56	"*"	33	10535
"19"	"AF321523|AF321523"	9407	9428	"+"	19	28.9222	18	0.407025	659	680	9407	1	1	20	20	NA	22	9913	10535	"M33262|SIVMM239"	18	26	TRUE	"M33262|SIVMM239"	659	680	22	"*"	18	10535
"4"	"AF321523|AF321523"	8985	9233	"+"	4	110.169	75	1.3797e-25	9623	9871	8985	1	1	167	167	4	251	9913	10535	"M33262|SIVMM239"	75	24	TRUE	"M33262|SIVMM239"	9623	9871	249	"*"	75	10535
"21"	"AF321523|AF321523"	8829	8857	"+"	21	28.9222	18	0.407025	3290	3319	8829	1	1	25	25	1	30	9913	10535	"M33262|SIVMM239"	18	22	TRUE	"M33262|SIVMM239"	3290	3319	30	"*"	18	10535
"13"	"AF321523|AF321523"	8061	8329	"+"	13	50.303	33	1.47981e-07	8753	9021	8061	1	1	168	168	14	276	9913	10535	"M33262|SIVMM239"	33	21	TRUE	"M33262|SIVMM239"	8753	9021	269	"*"	33	10535
"3"	"AF321523|AF321523"	7650	8024	"+"	3	122.997	84	1.88848e-29	8348	8728	7650	1	1	245	245	14	385	9913	10535	"M33262|SIVMM239"	84	20	TRUE	"M33262|SIVMM239"	8348	8728	381	"*"	84	10535
"16"	"AF321523|AF321523"	7283	7375	"+"	16	36.0491	23	0.00290503	7975	8067	7283	1	1	63	63	4	95	9913	10535	"M33262|SIVMM239"	23	19	TRUE	"M33262|SIVMM239"	7975	8067	93	"*"	23	10535
"14"	"AF321523|AF321523"	6324	6383	"+"	14	48.8776	32	3.97651e-07	6935	6994	6324	1	1	46	46	NA	60	9913	10535	"M33262|SIVMM239"	32	18	TRUE	"M33262|SIVMM239"	6935	6994	60	"*"	32	10535
"7"	"AF321523|AF321523"	5877	6034	"+"	7	70.2583	47	1.4457e-13	6710	6861	5877	1	1	107	107	6	158	9913	10535	"M33262|SIVMM239"	47	17	TRUE	"M33262|SIVMM239"	6710	6861	152	"*"	47	10535
"5"	"AF321523|AF321523"	5534	5786	"+"	5	95.9152	65	2.70864e-21	6400	6655	5534	1	1	166	166	5	257	9913	10535	"M33262|SIVMM239"	65	16	TRUE	"M33262|SIVMM239"	6400	6655	256	"*"	65	10535
"15"	"AF321523|AF321523"	5184	5482	"+"	15	37.4745	24	0.00108108	5763	6064	5184	1	1	174	174	11	306	9913	10535	"M33262|SIVMM239"	24	15	TRUE	"M33262|SIVMM239"	5763	6064	302	"*"	24	10535
"1"	"AF321523|AF321523"	2235	5027	"+"	1	1162.1	813	0	2811	5600	2235	1	1	1865	1865	55	2819	9913	10535	"M33262|SIVMM239"	813	14	TRUE	"M33262|SIVMM239"	2811	5600	2790	"*"	813	10535
"2"	"AF321523|AF321523"	1210	2084	"+"	2	353.909	246	5.3608e-99	1741	2615	1210	1	1	589	589	26	888	9913	10535	"M33262|SIVMM239"	246	9	TRUE	"M33262|SIVMM239"	1741	2615	875	"*"	246	10535
"6"	"AF321523|AF321523"	790	972	"+"	6	83.0868	56	1.97886e-17	1306	1488	790	1	1	122	122	2	184	9913	10535	"M33262|SIVMM239"	56	7	TRUE	"M33262|SIVMM239"	1306	1488	183	"*"	56	10535
"11"	"AF321523|AF321523"	620	685	"+"	11	51.7284	34	5.50697e-08	1059	1128	620	1	1	55	55	4	70	9913	10535	"M33262|SIVMM239"	34	6	TRUE	"M33262|SIVMM239"	1059	1128	70	"*"	34	10535
"17"	"AF321523|AF321523"	329	398	"+"	17	31.773	20	0.0563681	659	725	329	1	1	48	48	3	70	9913	10535	"M33262|SIVMM239"	20	4	TRUE	"M33262|SIVMM239"	659	725	67	"*"	20	10535
"9"	"AF321523|AF321523"	1	154	"+"	9	58.8553	39	3.93041e-10	257	410	1	1	1	99	99	2	155	9913	10535	"M33262|SIVMM239"	39	1	TRUE	"M33262|SIVMM239"	257	410	154	"*"	39	10535
