"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"19"	"AB253712|AB253712"	10067	10083	"-"	19	24.6461	15	8.09637	8219	8235	10067	1	-1	16	16	NA	17	10340	10353	"AF082339|AF082339"	15	21	TRUE	"AF082339|AF082339"	8219	8235	17	"*"	15	10353
"5"	"AB253712|AB253712"	9700	10004	"+"	5	121.572	83	5.20455e-29	9410	9708	9700	1	1	204	204	10	307	10340	10353	"AF082339|AF082339"	83	20	TRUE	"AF082339|AF082339"	9410	9708	299	"*"	83	10353
"10"	"AB253712|AB253712"	8760	9087	"+"	10	63.1314	42	2.07689e-11	8515	8845	8760	1	1	204	204	15	337	10340	10353	"AF082339|AF082339"	42	17	TRUE	"AF082339|AF082339"	8515	8845	331	"*"	42	10353
"6"	"AB253712|AB253712"	8370	8744	"+"	6	100.191	68	1.43151e-22	8134	8511	8370	1	1	242	242	19	386	10340	10353	"AF082339|AF082339"	68	16	TRUE	"AF082339|AF082339"	8134	8511	378	"*"	68	10353
"16"	"AB253712|AB253712"	6882	6904	"+"	16	24.6461	15	8.09637	8882	8904	6882	1	1	19	19	NA	23	10340	10353	"AF082339|AF082339"	15	14	TRUE	"AF082339|AF082339"	8882	8904	23	"*"	15	10353
"17"	"AB253712|AB253712"	5878	5910	"+"	17	24.6461	15	8.09637	8432	8464	5878	1	1	24	24	NA	33	10340	10353	"AF082339|AF082339"	15	13	TRUE	"AF082339|AF082339"	8432	8464	33	"*"	15	10353
"3"	"AB253712|AB253712"	5323	5724	"+"	3	212.797	147	1.74353e-56	5019	5420	5323	1	1	284	284	8	406	10340	10353	"AF082339|AF082339"	147	12	TRUE	"AF082339|AF082339"	5019	5420	402	"*"	147	10353
"1"	"AB253712|AB253712"	2266	5058	"+"	1	1150.7	805	0	2631	5420	2266	1	1	1852	1852	45	2814	10340	10353	"AF082339|AF082339"	805	10	TRUE	"AF082339|AF082339"	2631	5420	2790	"*"	805	10353
"2"	"AB253712|AB253712"	1257	2107	"+"	2	392.395	273	1.41082e-110	1550	2397	1257	1	1	581	581	17	858	10340	10353	"AF082339|AF082339"	273	8	TRUE	"AF082339|AF082339"	1550	2397	848	"*"	273	10353
"21"	"AB253712|AB253712"	1164	1184	"-"	21	24.6461	15	8.09637	6566	6586	1164	1	-1	18	18	NA	21	10340	10353	"AF082339|AF082339"	15	7	TRUE	"AF082339|AF082339"	6566	6586	21	"*"	15	10353
"4"	"AB253712|AB253712"	807	1162	"+"	4	142.953	98	1.89217e-35	1094	1444	807	1	1	234	234	7	357	10340	10353	"AF082339|AF082339"	98	6	TRUE	"AF082339|AF082339"	1094	1444	351	"*"	98	10353
"11"	"AB253712|AB253712"	621	657	"+"	11	46.0268	30	2.94387e-06	838	876	621	1	1	36	36	2	39	10340	10353	"AF082339|AF082339"	30	5	TRUE	"AF082339|AF082339"	838	876	39	"*"	30	10353
"20"	"AB253712|AB253712"	274	290	"-"	20	24.6461	15	8.09637	8219	8235	274	1	-1	16	16	NA	17	10340	10353	"AF082339|AF082339"	15	4	TRUE	"AF082339|AF082339"	8219	8235	17	"*"	15	10353
"8"	"AB253712|AB253712"	1	211	"+"	8	80.236	54	1.46522e-16	1	205	1	1	1	140	140	8	212	10340	10353	"AF082339|AF082339"	54	2	TRUE	"AF082339|AF082339"	1	205	205	"*"	54	10353
