"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"12"	"U27200|HIV2U27200"	10237	10278	"+"	12	44.6014	29	7.65182e-06	764	803	10237	1	1	37	37	2	42	10351	10006	"AF131870|AF131870"	29	23	TRUE	"AF131870|AF131870"	764	803	40	"*"	29	10006
"5"	"U27200|HIV2U27200"	9295	9704	"+"	5	120.147	82	1.3522e-28	9141	9553	9295	1	1	262	262	13	418	10351	10006	"AF131870|AF131870"	82	22	TRUE	"AF131870|AF131870"	9141	9553	413	"*"	82	10006
"4"	"U27200|HIV2U27200"	8112	8786	"+"	4	127.274	87	9.65053e-31	8003	8668	8112	1	1	408	408	27	684	10351	10006	"AF131870|AF131870"	87	20	TRUE	"AF131870|AF131870"	8003	8668	666	"*"	87	10006
"16"	"U27200|HIV2U27200"	7259	7381	"+"	16	30.3476	19	0.150216	7039	7161	7259	1	1	71	71	NA	123	10351	10006	"AF131870|AF131870"	19	17	TRUE	"AF131870|AF131870"	7039	7161	123	"*"	19	10006
"15"	"U27200|HIV2U27200"	6960	7007	"+"	15	33.1984	21	0.020803	6710	6757	6960	1	1	37	37	2	49	10351	10006	"AF131870|AF131870"	21	15	TRUE	"AF131870|AF131870"	6710	6757	48	"*"	21	10006
"14"	"U27200|HIV2U27200"	6515	6593	"+"	14	44.6014	29	7.65182e-06	6265	6343	6515	1	1	54	54	NA	79	10351	10006	"AF131870|AF131870"	29	14	TRUE	"AF131870|AF131870"	6265	6343	79	"*"	29	10006
"1"	"U27200|HIV2U27200"	2929	5402	"+"	1	944.018	660	9.70303e-277	2930	5409	2929	1	1	1637	1637	60	2507	10351	10006	"AF131870|AF131870"	660	13	TRUE	"AF131870|AF131870"	2930	5409	2480	"*"	660	10006
"23"	"U27200|HIV2U27200"	2887	2907	"-"	23	24.6461	15	7.83238	2425	2445	2887	1	-1	18	18	NA	21	10351	10006	"AF131870|AF131870"	15	9	TRUE	"AF131870|AF131870"	2425	2445	21	"*"	15	10006
"20"	"U27200|HIV2U27200"	2758	2784	"+"	20	24.6461	15	7.83238	7269	7295	2758	1	1	21	21	NA	27	10351	10006	"AF131870|AF131870"	15	8	TRUE	"AF131870|AF131870"	7269	7295	27	"*"	15	10006
"11"	"U27200|HIV2U27200"	2307	2387	"+"	11	53.1537	35	2.03232e-08	2326	2409	2307	1	1	64	64	5	85	10351	10006	"AF131870|AF131870"	35	7	TRUE	"AF131870|AF131870"	2326	2409	84	"*"	35	10006
"3"	"U27200|HIV2U27200"	1736	2167	"+"	3	147.229	101	9.42691e-37	1692	2129	1736	1	1	284	284	14	442	10351	10006	"AF131870|AF131870"	101	6	TRUE	"AF131870|AF131870"	1692	2129	438	"*"	101	10006
"10"	"U27200|HIV2U27200"	1080	1330	"+"	10	71.6837	48	5.33513e-14	1063	1313	1080	1	1	162	162	10	256	10351	10006	"AF131870|AF131870"	48	4	TRUE	"AF131870|AF131870"	1063	1313	251	"*"	48	10006
"13"	"U27200|HIV2U27200"	846	887	"+"	13	44.6014	29	7.65182e-06	764	803	846	1	1	37	37	2	42	10351	10006	"AF131870|AF131870"	29	3	TRUE	"AF131870|AF131870"	764	803	40	"*"	29	10006
"8"	"U27200|HIV2U27200"	53	313	"+"	8	85.9375	58	2.71757e-18	53	316	53	1	1	173	173	11	268	10351	10006	"AF131870|AF131870"	58	2	TRUE	"AF131870|AF131870"	53	316	264	"*"	58	10006
