"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"10"	"MH705144|MH705144"	9532	9665	"+"	10	68.8329	46	3.65692e-13	390	525	9532	1	1	100	100	8	139	9802	10036	"U04005|SIU04005"	46	26	TRUE	"U04005|SIU04005"	390	525	136	"*"	139	10036
"3"	"MH705144|MH705144"	9047	9364	"+"	3	148.654	102	3.32758e-37	9164	9475	9047	1	1	224	224	14	322	9802	10036	"U04005|SIU04005"	102	25	TRUE	"U04005|SIU04005"	9164	9475	312	"*"	322	10036
"19"	"MH705144|MH705144"	8861	8883	"+"	19	27.4968	17	1.03001	8918	8940	8861	1	1	20	20	NA	23	9802	10036	"U04005|SIU04005"	17	23	TRUE	"U04005|SIU04005"	8918	8940	23	"*"	23	10036
"4"	"MH705144|MH705144"	7810	8060	"+"	4	124.423	85	6.61156e-30	8047	8294	7810	1	1	173	173	5	252	9802	10036	"U04005|SIU04005"	85	22	TRUE	"U04005|SIU04005"	8047	8294	248	"*"	252	10036
"23"	"MH705144|MH705144"	7508	7601	"+"	23	26.0715	16	2.76786	7781	7874	7508	1	1	55	55	NA	94	9802	10036	"U04005|SIU04005"	16	21	TRUE	"U04005|SIU04005"	7781	7874	94	"*"	94	10036
"21"	"MH705144|MH705144"	7047	7064	"+"	21	26.0715	16	2.76786	1577	1594	7047	1	1	17	17	NA	18	9802	10036	"U04005|SIU04005"	16	20	TRUE	"U04005|SIU04005"	1577	1594	18	"*"	18	10036
"15"	"MH705144|MH705144"	6839	6980	"+"	15	43.1761	28	1.95226e-05	7094	7235	6839	1	1	85	85	NA	142	9802	10036	"U04005|SIU04005"	28	19	TRUE	"U04005|SIU04005"	7094	7235	142	"*"	142	10036
"17"	"MH705144|MH705144"	6569	6614	"+"	17	28.9222	18	0.383304	6782	6827	6569	1	1	32	32	NA	46	9802	10036	"U04005|SIU04005"	18	18	TRUE	"U04005|SIU04005"	6782	6827	46	"*"	46	10036
"22"	"MH705144|MH705144"	6385	6404	"+"	22	26.0715	16	2.76786	8211	8230	6385	1	1	18	18	NA	20	9802	10036	"U04005|SIU04005"	16	17	TRUE	"U04005|SIU04005"	8211	8230	20	"*"	20	10036
"16"	"MH705144|MH705144"	5897	5972	"+"	16	40.3253	26	0.000140974	6334	6409	5897	1	1	51	51	NA	76	9802	10036	"U04005|SIU04005"	26	15	TRUE	"U04005|SIU04005"	6334	6409	76	"*"	76	10036
"1"	"MH705144|MH705144"	2250	5137	"+"	1	1509.89	1057	0	2649	5536	2250	1	1	2002	2002	24	2900	9802	10036	"U04005|SIU04005"	1057	14	TRUE	"U04005|SIU04005"	2649	5536	2888	"*"	2900	10036
"6"	"MH705144|MH705144"	1952	2165	"+"	6	81.6614	55	5.00492e-17	2258	2465	1952	1	1	141	141	8	215	9802	10036	"U04005|SIU04005"	55	10	TRUE	"U04005|SIU04005"	2258	2465	208	"*"	215	10036
"2"	"MH705144|MH705144"	1136	1893	"+"	2	321.126	223	3.76541e-89	1401	2160	1136	1	1	507	507	14	766	9802	10036	"U04005|SIU04005"	223	9	TRUE	"U04005|SIU04005"	1401	2160	760	"*"	766	10036
"25"	"MH705144|MH705144"	1050	1073	"-"	25	26.0715	16	2.76786	6808	6831	1050	1	-1	20	20	NA	24	9802	10036	"U04005|SIU04005"	16	8	TRUE	"U04005|SIU04005"	6808	6831	24	"*"	24	10036
"5"	"MH705144|MH705144"	807	973	"+"	5	101.617	69	4.88832e-23	1017	1183	807	1	1	118	118	NA	167	9802	10036	"U04005|SIU04005"	69	7	TRUE	"U04005|SIU04005"	1017	1183	167	"*"	167	10036
"14"	"MH705144|MH705144"	638	673	"+"	14	46.0268	30	2.70356e-06	755	790	638	1	1	33	33	NA	36	9802	10036	"U04005|SIU04005"	30	5	TRUE	"U04005|SIU04005"	755	790	36	"*"	36	10036
"11"	"MH705144|MH705144"	380	513	"+"	11	68.8329	46	3.65692e-13	390	525	380	1	1	100	100	8	139	9802	10036	"U04005|SIU04005"	46	3	TRUE	"U04005|SIU04005"	390	525	136	"*"	139	10036
"8"	"MH705144|MH705144"	81	212	"+"	8	68.8329	46	3.65692e-13	81	206	81	1	1	94	94	6	132	9802	10036	"U04005|SIU04005"	46	1	TRUE	"U04005|SIU04005"	81	206	126	"*"	132	10036
