"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"11"	"JX236671|JX236671"	9569	9631	"+"	11	34.6238	22	0.0075967	413	475	9569	1	1	45	45	2	64	9854	10315	"DQ201174|DQ201174"	22	23	TRUE	"DQ201174|DQ201174"	413	475	63	"*"	64	10315
"3"	"JX236671|JX236671"	9083	9376	"+"	3	125.848	86	2.54397e-30	9367	9663	9083	1	1	194	194	3	297	9854	10315	"DQ201174|DQ201174"	86	22	TRUE	"DQ201174|DQ201174"	9367	9663	297	"*"	297	10315
"19"	"JX236671|JX236671"	8525	8551	"+"	19	24.6461	15	7.68604	8869	8895	8525	1	1	21	21	NA	27	9854	10315	"DQ201174|DQ201174"	15	19	TRUE	"DQ201174|DQ201174"	8869	8895	27	"*"	27	10315
"4"	"JX236671|JX236671"	8190	8458	"+"	4	80.236	54	1.39026e-16	8519	8787	8190	1	1	171	171	8	273	9854	10315	"DQ201174|DQ201174"	54	18	TRUE	"DQ201174|DQ201174"	8519	8787	269	"*"	273	10315
"18"	"JX236671|JX236671"	8099	8125	"+"	18	24.6461	15	7.68604	117	143	8099	1	1	21	21	NA	27	9854	10315	"DQ201174|DQ201174"	15	16	TRUE	"DQ201174|DQ201174"	117	143	27	"*"	27	10315
"15"	"JX236671|JX236671"	7381	7444	"+"	15	31.773	20	0.0548553	7755	7818	7381	1	1	42	42	NA	64	9854	10315	"DQ201174|DQ201174"	20	15	TRUE	"DQ201174|DQ201174"	7755	7818	64	"*"	64	10315
"16"	"JX236671|JX236671"	7247	7277	"+"	16	27.4968	17	1.06441	5093	5122	7247	1	1	25	25	1	31	9854	10315	"DQ201174|DQ201174"	17	14	TRUE	"DQ201174|DQ201174"	5093	5122	30	"*"	31	10315
"9"	"JX236671|JX236671"	5931	6011	"+"	9	63.1314	42	1.97095e-11	6458	6539	5931	1	1	63	63	1	82	9854	10315	"DQ201174|DQ201174"	42	13	TRUE	"DQ201174|DQ201174"	6458	6539	82	"*"	82	10315
"5"	"JX236671|JX236671"	5598	5840	"+"	5	78.8106	53	3.73589e-16	6161	6403	5598	1	1	148	148	NA	243	9854	10315	"DQ201174|DQ201174"	53	12	TRUE	"DQ201174|DQ201174"	6161	6403	243	"*"	243	10315
"1"	"JX236671|JX236671"	2289	5081	"+"	1	1214.84	850	0	2558	5347	2289	1	1	1881	1881	51	2817	9854	10315	"DQ201174|DQ201174"	850	11	TRUE	"DQ201174|DQ201174"	2558	5347	2790	"*"	2817	10315
"2"	"JX236671|JX236671"	816	2127	"+"	2	486.47	339	6.17583e-139	1051	2375	816	1	1	873	873	39	1338	9854	10315	"DQ201174|DQ201174"	339	7	TRUE	"DQ201174|DQ201174"	1051	2375	1325	"*"	1338	10315
"10"	"JX236671|JX236671"	643	679	"+"	10	43.1761	28	2.01763e-05	820	858	643	1	1	35	35	2	39	9854	10315	"DQ201174|DQ201174"	28	6	TRUE	"DQ201174|DQ201174"	820	858	39	"*"	39	10315
"12"	"JX236671|JX236671"	370	432	"+"	12	34.6238	22	0.0075967	413	475	370	1	1	45	45	2	64	9854	10315	"DQ201174|DQ201174"	22	4	TRUE	"DQ201174|DQ201174"	413	475	63	"*"	64	10315
"7"	"JX236671|JX236671"	1	177	"+"	7	70.2583	47	1.40665e-13	1	180	1	1	1	116	116	3	180	9854	10315	"DQ201174|DQ201174"	47	2	TRUE	"DQ201174|DQ201174"	1	180	180	"*"	180	10315
