"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"13"	"KC503852|KC503852"	9358	9608	"+"	13	100.191	68	1.29936e-22	356	615	9358	1	1	183	183	19	265	9804	9927	"JQ866001|JQ866001"	68	32	TRUE	"JQ866001|JQ866001"	356	615	260	"*"	265	9927
"20"	"KC503852|KC503852"	9211	9327	"+"	20	58.8553	39	3.66039e-10	198	314	9211	1	1	78	78	NA	117	9804	9927	"JQ866001|JQ866001"	39	30	TRUE	"JQ866001|JQ866001"	198	314	117	"*"	117	9927
"8"	"KC503852|KC503852"	8902	9179	"+"	8	148.654	102	3.2912e-37	9181	9458	8902	1	1	190	190	NA	278	9804	9927	"JQ866001|JQ866001"	102	29	TRUE	"JQ866001|JQ866001"	9181	9458	278	"*"	278	9927
"6"	"KC503852|KC503852"	8001	8428	"+"	6	167.184	115	8.63714e-43	8270	8697	8001	1	1	279	279	6	431	9804	9927	"JQ866001|JQ866001"	115	25	TRUE	"JQ866001|JQ866001"	8270	8697	428	"*"	431	9927
"5"	"KC503852|KC503852"	7650	7975	"+"	5	225.625	156	2.16142e-60	7883	8208	7650	1	1	241	241	NA	326	9804	9927	"JQ866001|JQ866001"	156	24	TRUE	"JQ866001|JQ866001"	7883	8208	326	"*"	326	9927
"17"	"KC503852|KC503852"	7371	7639	"+"	17	68.8329	46	3.61749e-13	7592	7854	7371	1	1	168	168	10	271	9804	9927	"JQ866001|JQ866001"	46	23	TRUE	"JQ866001|JQ866001"	7592	7854	263	"*"	271	9927
"24"	"KC503852|KC503852"	7227	7289	"+"	24	53.1537	35	1.9087e-08	7475	7537	7227	1	1	49	49	NA	63	9804	9927	"JQ866001|JQ866001"	35	22	TRUE	"JQ866001|JQ866001"	7475	7537	63	"*"	63	9927
"7"	"KC503852|KC503852"	6717	7129	"+"	7	160.057	110	1.21033e-40	6929	7344	6717	1	1	268	268	5	417	9804	9927	"JQ866001|JQ866001"	110	21	TRUE	"JQ866001|JQ866001"	6929	7344	416	"*"	417	9927
"25"	"KC503852|KC503852"	6531	6599	"+"	25	33.1984	21	0.0195418	8926	8997	6531	1	1	51	51	5	73	9804	9927	"JQ866001|JQ866001"	21	19	TRUE	"JQ866001|JQ866001"	8926	8997	72	"*"	73	9927
"9"	"KC503852|KC503852"	6236	6508	"+"	9	124.423	85	6.53958e-30	6427	6696	6236	1	1	181	181	3	273	9804	9927	"JQ866001|JQ866001"	85	18	TRUE	"JQ866001|JQ866001"	6427	6696	270	"*"	273	9927
"15"	"KC503852|KC503852"	5734	5896	"+"	15	94.4898	64	6.77557e-21	5937	6099	5734	1	1	116	116	2	164	9804	9927	"JQ866001|JQ866001"	64	17	TRUE	"JQ866001|JQ866001"	5937	6099	163	"*"	164	9927
"10"	"KC503852|KC503852"	5458	5714	"+"	10	120.147	82	1.26901e-28	5670	5926	5458	1	1	172	172	2	258	9804	9927	"JQ866001|JQ866001"	82	16	TRUE	"JQ866001|JQ866001"	5670	5926	257	"*"	258	9927
"1"	"KC503852|KC503852"	2158	5430	"+"	1	2092.88	1466	0	2358	5633	2158	1	1	2394	2394	19	3284	9804	9927	"JQ866001|JQ866001"	1466	15	TRUE	"JQ866001|JQ866001"	2358	5633	3276	"*"	3284	9927
"26"	"KC503852|KC503852"	2055	2080	"+"	26	26.0715	16	2.73824	2300	2325	2055	1	1	21	21	NA	26	9804	9927	"JQ866001|JQ866001"	16	10	TRUE	"JQ866001|JQ866001"	2300	2325	26	"*"	26	9927
"12"	"KC503852|KC503852"	1868	2048	"+"	12	107.318	73	9.27273e-25	2053	2239	1868	1	1	134	134	6	187	9804	9927	"JQ866001|JQ866001"	73	9	TRUE	"JQ866001|JQ866001"	2053	2239	187	"*"	187	9927
"2"	"KC503852|KC503852"	1470	1813	"+"	2	278.364	193	2.82005e-76	1643	1986	1470	1	1	271	271	2	345	9804	9927	"JQ866001|JQ866001"	193	8	TRUE	"JQ866001|JQ866001"	1643	1986	344	"*"	345	9927
"4"	"KC503852|KC503852"	1133	1455	"+"	4	235.603	163	2.13586e-63	1297	1619	1133	1	1	243	243	NA	323	9804	9927	"JQ866001|JQ866001"	163	7	TRUE	"JQ866001|JQ866001"	1297	1619	323	"*"	323	9927
"3"	"KC503852|KC503852"	289	1073	"+"	3	237.028	164	7.94811e-64	370	1162	289	1	1	530	530	48	813	9804	9927	"JQ866001|JQ866001"	164	6	TRUE	"JQ866001|JQ866001"	370	1162	793	"*"	813	9927
"21"	"KC503852|KC503852"	130	246	"+"	21	58.8553	39	3.66039e-10	198	314	130	1	1	78	78	NA	117	9804	9927	"JQ866001|JQ866001"	39	3	TRUE	"JQ866001|JQ866001"	198	314	117	"*"	117	9927
"18"	"KC503852|KC503852"	1	98	"+"	18	65.9822	44	2.61224e-12	84	181	1	1	1	71	71	NA	98	9804	9927	"JQ866001|JQ866001"	44	1	TRUE	"JQ866001|JQ866001"	84	181	98	"*"	98	9927
