"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"11"	"KC503852|KC503852"	9326	9373	"+"	11	30.3476	19	0.147197	429	477	9326	1	1	35	35	1	49	9804	10353	"AF082339|AF082339"	19	17	TRUE	"AF082339|AF082339"	429	477	49	"*"	19	10353
"4"	"KC503852|KC503852"	8923	9284	"+"	4	108.744	74	3.60153e-25	9422	9777	8923	1	1	235	235	16	367	9804	10353	"AF082339|AF082339"	74	16	TRUE	"AF082339|AF082339"	9422	9777	356	"*"	74	10353
"18"	"KC503852|KC503852"	8095	8119	"-"	18	24.6461	15	7.67516	3134	3158	8095	1	-1	20	20	NA	25	9804	10353	"AF082339|AF082339"	15	14	TRUE	"AF082339|AF082339"	3134	3158	25	"*"	15	10353
"17"	"KC503852|KC503852"	7649	7669	"+"	17	24.6461	15	7.67516	2762	2782	7649	1	1	18	18	NA	21	9804	10353	"AF082339|AF082339"	15	13	TRUE	"AF082339|AF082339"	2762	2782	21	"*"	15	10353
"10"	"KC503852|KC503852"	7262	7291	"+"	10	31.773	20	0.0547776	7848	7877	7262	1	1	25	25	NA	30	9804	10353	"AF082339|AF082339"	20	12	TRUE	"AF082339|AF082339"	7848	7877	30	"*"	20	10353
"6"	"KC503852|KC503852"	5803	5960	"+"	6	56.0045	37	2.75769e-09	6544	6695	5803	1	1	102	102	6	158	9804	10353	"AF082339|AF082339"	37	11	TRUE	"AF082339|AF082339"	6544	6695	152	"*"	37	10353
"15"	"KC503852|KC503852"	5122	5201	"+"	15	27.4968	17	1.0629	8124	8207	5122	1	1	54	54	4	84	9804	10353	"AF082339|AF082339"	17	10	TRUE	"AF082339|AF082339"	8124	8207	84	"*"	17	10353
"1"	"KC503852|KC503852"	2108	4953	"+"	1	1147.85	803	0	2574	5420	2108	1	1	1876	1876	43	2868	9804	10353	"AF082339|AF082339"	803	9	TRUE	"AF082339|AF082339"	2574	5420	2847	"*"	803	10353
"2"	"KC503852|KC503852"	1152	2002	"+"	2	395.246	275	1.84532e-111	1550	2397	1152	1	1	582	582	19	859	9804	10353	"AF082339|AF082339"	275	8	TRUE	"AF082339|AF082339"	1550	2397	848	"*"	275	10353
"3"	"KC503852|KC503852"	701	938	"+"	3	114.445	78	6.90695e-27	1084	1320	701	1	1	159	159	1	238	9804	10353	"AF082339|AF082339"	78	7	TRUE	"AF082339|AF082339"	1084	1320	237	"*"	78	10353
"16"	"KC503852|KC503852"	631	648	"+"	16	26.0715	16	2.85621	2284	2301	631	1	1	17	17	NA	18	9804	10353	"AF082339|AF082339"	16	6	TRUE	"AF082339|AF082339"	2284	2301	18	"*"	16	10353
"9"	"KC503852|KC503852"	545	581	"+"	9	43.1761	28	2.01477e-05	838	876	545	1	1	35	35	2	39	9804	10353	"AF082339|AF082339"	28	5	TRUE	"AF082339|AF082339"	838	876	39	"*"	28	10353
"13"	"KC503852|KC503852"	245	292	"+"	13	27.4968	17	1.0629	429	477	245	1	1	34	34	1	49	9804	10353	"AF082339|AF082339"	17	3	TRUE	"AF082339|AF082339"	429	477	49	"*"	17	10353
"7"	"KC503852|KC503852"	1	203	"+"	7	54.5791	36	7.41044e-09	78	274	1	1	1	129	129	10	205	9804	10353	"AF082339|AF082339"	36	1	TRUE	"AF082339|AF082339"	78	274	197	"*"	36	10353
