"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"3"	"MH705144|MH705144"	9036	9433	"+"	3	147.229	101	8.55e-37	8869	9260	9036	1	1	255	255	6	398	9802	9607	"AY530889|AY530889"	101	17	TRUE	"AY530889|AY530889"	8869	9260	392	"*"	101	9607
"10"	"MH705144|MH705144"	8843	8873	"+"	10	30.3476	19	0.136515	8574	8604	8843	1	1	25	25	NA	31	9802	9607	"AY530889|AY530889"	19	16	TRUE	"AY530889|AY530889"	8574	8604	31	"*"	19	9607
"4"	"MH705144|MH705144"	7840	8122	"+"	4	104.468	71	6.47494e-24	7729	8012	7840	1	1	191	191	13	290	9802	9607	"AY530889|AY530889"	71	15	TRUE	"AY530889|AY530889"	7729	8012	284	"*"	71	9607
"16"	"MH705144|MH705144"	7803	7821	"+"	16	24.6461	15	7.11867	3793	3811	7803	1	1	17	17	NA	19	9802	9607	"AY530889|AY530889"	15	13	TRUE	"AY530889|AY530889"	3793	3811	19	"*"	15	9607
"15"	"MH705144|MH705144"	7730	7765	"+"	15	26.0715	16	2.64907	6481	6516	7730	1	1	26	26	NA	36	9802	9607	"AY530889|AY530889"	16	12	TRUE	"AY530889|AY530889"	6481	6516	36	"*"	16	9607
"9"	"MH705144|MH705144"	6483	6600	"+"	9	40.3253	26	0.000134909	6364	6481	6483	1	1	72	72	NA	118	9802	9607	"AY530889|AY530889"	26	11	TRUE	"AY530889|AY530889"	6364	6481	118	"*"	26	9607
"12"	"MH705144|MH705144"	6389	6407	"+"	12	27.4968	17	0.985801	9145	9163	6389	1	1	18	18	NA	19	9802	9607	"AY530889|AY530889"	17	10	TRUE	"AY530889|AY530889"	9145	9163	19	"*"	17	9607
"7"	"MH705144|MH705144"	5897	5973	"+"	7	58.8553	39	3.54051e-10	6014	6090	5897	1	1	58	58	NA	77	9802	9607	"AY530889|AY530889"	39	9	TRUE	"AY530889|AY530889"	6014	6090	77	"*"	39	9607
"6"	"MH705144|MH705144"	5564	5807	"+"	6	83.0868	56	1.78177e-17	5717	5960	5564	1	1	150	150	NA	244	9802	9607	"AY530889|AY530889"	56	8	TRUE	"AY530889|AY530889"	5717	5960	244	"*"	56	9607
"1"	"MH705144|MH705144"	2252	5500	"+"	1	1187.76	831	0	2120	5367	2252	1	1	2118	2118	65	3281	9802	9607	"AY530889|AY530889"	831	7	TRUE	"AY530889|AY530889"	2120	5367	3248	"*"	831	9607
"11"	"MH705144|MH705144"	2151	2170	"+"	11	28.9222	18	0.366846	1959	1978	2151	1	1	19	19	NA	20	9802	9607	"AY530889|AY530889"	18	4	TRUE	"AY530889|AY530889"	1959	1978	20	"*"	18	9607
"2"	"MH705144|MH705144"	1134	2093	"+"	2	363.887	253	4.7442e-102	937	1895	1134	1	1	634	634	27	973	9802	9607	"AY530889|AY530889"	253	3	TRUE	"AY530889|AY530889"	937	1895	959	"*"	253	9607
"8"	"MH705144|MH705144"	636	683	"+"	8	48.8776	32	3.58268e-07	334	384	636	1	1	44	44	3	51	9802	9607	"AY530889|AY530889"	32	2	TRUE	"AY530889|AY530889"	334	384	51	"*"	32	9607
"5"	"MH705144|MH705144"	1	281	"+"	5	91.6391	62	4.73158e-20	8986	9260	1	1	1	177	177	6	281	9802	9607	"AY530889|AY530889"	62	1	TRUE	"AY530889|AY530889"	8986	9260	275	"*"	62	9607
