"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"12"	"MH705134|MH705134"	9508	9567	"+"	12	37.4745	24	0.00104538	415	475	9508	1	1	46	46	3	62	9792	10315	"DQ201174|DQ201174"	24	24	TRUE	"DQ201174|DQ201174"	415	475	61	"*"	24	10315
"4"	"MH705134|MH705134"	9054	9318	"+"	4	128.699	88	3.50032e-31	9390	9654	9054	1	1	179	179	2	266	9792	10315	"DQ201174|DQ201174"	88	23	TRUE	"DQ201174|DQ201174"	9390	9654	265	"*"	88	10315
"20"	"MH705134|MH705134"	8809	8863	"+"	20	26.0715	16	2.84219	348	403	8809	1	1	39	39	3	57	9792	10315	"DQ201174|DQ201174"	16	20	TRUE	"DQ201174|DQ201174"	348	403	56	"*"	16	10315
"9"	"MH705134|MH705134"	8113	8340	"+"	9	84.5122	57	7.11899e-18	8518	8745	8113	1	1	150	150	6	231	9792	10315	"DQ201174|DQ201174"	57	19	TRUE	"DQ201174|DQ201174"	8518	8745	228	"*"	57	10315
"3"	"MH705134|MH705134"	7496	8077	"+"	3	134.401	92	6.71277e-33	7916	8494	7496	1	1	361	361	25	593	9792	10315	"DQ201174|DQ201174"	92	18	TRUE	"DQ201174|DQ201174"	7916	8494	579	"*"	92	10315
"16"	"MH705134|MH705134"	7367	7431	"+"	16	33.1984	21	0.0202846	7754	7818	7367	1	1	43	43	NA	65	9792	10315	"DQ201174|DQ201174"	21	15	TRUE	"DQ201174|DQ201174"	7754	7818	65	"*"	21	10315
"17"	"MH705134|MH705134"	6126	6152	"+"	17	27.4968	17	1.05768	2692	2718	6126	1	1	22	22	NA	27	9792	10315	"DQ201174|DQ201174"	17	14	TRUE	"DQ201174|DQ201174"	2692	2718	27	"*"	17	10315
"22"	"MH705134|MH705134"	6092	6108	"+"	22	24.6461	15	7.63749	8745	8761	6092	1	1	16	16	NA	17	9792	10315	"DQ201174|DQ201174"	15	13	TRUE	"DQ201174|DQ201174"	8745	8761	17	"*"	15	10315
"10"	"MH705134|MH705134"	5927	6026	"+"	10	65.9822	44	2.71211e-12	6458	6558	5927	1	1	76	76	3	102	9792	10315	"DQ201174|DQ201174"	44	12	TRUE	"DQ201174|DQ201174"	6458	6558	101	"*"	44	10315
"5"	"MH705134|MH705134"	5594	5836	"+"	5	114.445	78	6.87253e-27	6161	6403	5594	1	1	163	163	2	244	9792	10315	"DQ201174|DQ201174"	78	10	TRUE	"DQ201174|DQ201174"	6161	6403	243	"*"	78	10315
"1"	"MH705134|MH705134"	2277	5077	"+"	1	1159.25	811	0	2549	5347	2277	1	1	1861	1861	48	2824	9792	10315	"DQ201174|DQ201174"	811	9	TRUE	"DQ201174|DQ201174"	2549	5347	2799	"*"	811	10315
"2"	"MH705134|MH705134"	812	2129	"+"	2	479.343	334	8.59563e-137	1051	2375	812	1	1	869	869	35	1339	9792	10315	"DQ201174|DQ201174"	334	7	TRUE	"DQ201174|DQ201174"	1051	2375	1325	"*"	334	10315
"11"	"MH705134|MH705134"	633	669	"+"	11	46.0268	30	2.77642e-06	820	858	633	1	1	36	36	2	39	9792	10315	"DQ201174|DQ201174"	30	5	TRUE	"DQ201174|DQ201174"	820	858	39	"*"	30	10315
"13"	"MH705134|MH705134"	361	420	"+"	13	37.4745	24	0.00104538	415	475	361	1	1	46	46	3	62	9792	10315	"DQ201174|DQ201174"	24	3	TRUE	"DQ201174|DQ201174"	415	475	61	"*"	24	10315
"7"	"MH705134|MH705134"	1	171	"+"	7	90.2137	61	1.36527e-19	1	171	1	1	1	116	116	NA	171	9792	10315	"DQ201174|DQ201174"	61	1	TRUE	"DQ201174|DQ201174"	1	171	171	"*"	61	10315
