"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"9"	"AF321523|AF321523"	9698	9736	"+"	9	46.0268	30	2.82088e-06	836	876	9698	1	1	37	37	2	41	9913	10351	"U27200|HIV2U27200"	30	23	TRUE	"U27200|HIV2U27200"	836	876	41	"*"	41	10351
"3"	"AF321523|AF321523"	8971	9231	"+"	3	103.042	70	1.89884e-23	9283	9543	8971	1	1	168	168	2	262	9913	10351	"U27200|HIV2U27200"	70	22	TRUE	"U27200|HIV2U27200"	9283	9543	261	"*"	262	10351
"23"	"AF321523|AF321523"	8571	8601	"+"	23	24.6461	15	7.75931	6437	6467	8571	1	1	23	23	NA	31	9913	10351	"U27200|HIV2U27200"	15	20	TRUE	"U27200|HIV2U27200"	6437	6467	31	"*"	31	10351
"15"	"AF321523|AF321523"	8061	8285	"+"	15	34.6238	22	0.00766925	8514	8738	8061	1	1	126	126	2	226	9913	10351	"U27200|HIV2U27200"	22	19	TRUE	"U27200|HIV2U27200"	8514	8738	225	"*"	226	10351
"4"	"AF321523|AF321523"	7650	8024	"+"	4	103.042	70	1.89884e-23	8112	8489	7650	1	1	238	238	13	383	9913	10351	"U27200|HIV2U27200"	70	18	TRUE	"U27200|HIV2U27200"	8112	8489	378	"*"	383	10351
"16"	"AF321523|AF321523"	7559	7603	"+"	16	27.4968	17	1.07456	6286	6330	7559	1	1	31	31	NA	45	9913	10351	"U27200|HIV2U27200"	17	17	TRUE	"U27200|HIV2U27200"	6286	6330	45	"*"	45	10351
"14"	"AF321523|AF321523"	7346	7377	"+"	14	37.4745	24	0.00106209	7826	7857	7346	1	1	28	28	NA	32	9913	10351	"U27200|HIV2U27200"	24	16	TRUE	"U27200|HIV2U27200"	7826	7857	32	"*"	32	10351
"13"	"AF321523|AF321523"	6634	7129	"+"	13	40.3253	26	0.000147085	7106	7594	6634	1	1	298	298	33	509	9913	10351	"U27200|HIV2U27200"	26	15	TRUE	"U27200|HIV2U27200"	7106	7594	489	"*"	509	10351
"22"	"AF321523|AF321523"	6102	6124	"+"	22	24.6461	15	7.75931	8722	8744	6102	1	1	19	19	NA	23	9913	10351	"U27200|HIV2U27200"	15	14	TRUE	"U27200|HIV2U27200"	8722	8744	23	"*"	23	10351
"6"	"AF321523|AF321523"	5876	5953	"+"	6	60.2807	40	1.43687e-10	6524	6601	5876	1	1	59	59	NA	78	9913	10351	"U27200|HIV2U27200"	40	13	TRUE	"U27200|HIV2U27200"	6524	6601	78	"*"	78	10351
"1"	"AF321523|AF321523"	2235	5027	"+"	1	1170.65	819	0	2609	5398	2235	1	1	1863	1863	49	2816	9913	10351	"U27200|HIV2U27200"	819	12	TRUE	"U27200|HIV2U27200"	2609	5398	2790	"*"	2816	10351
"2"	"AF321523|AF321523"	790	2085	"+"	2	453.686	316	4.67065e-129	1077	2375	790	1	1	841	841	31	1313	9913	10351	"U27200|HIV2U27200"	316	6	TRUE	"U27200|HIV2U27200"	1077	2375	1299	"*"	1313	10351
"10"	"AF321523|AF321523"	620	658	"+"	10	46.0268	30	2.82088e-06	836	876	620	1	1	37	37	2	41	9913	10351	"U27200|HIV2U27200"	30	4	TRUE	"U27200|HIV2U27200"	836	876	41	"*"	41	10351
"19"	"AF321523|AF321523"	230	251	"+"	19	26.0715	16	2.88754	9279	9300	230	1	1	19	19	NA	22	9913	10351	"U27200|HIV2U27200"	16	3	TRUE	"U27200|HIV2U27200"	9279	9300	22	"*"	22	10351
"7"	"AF321523|AF321523"	1	152	"+"	7	60.2807	40	1.43687e-10	1	152	1	1	1	96	96	NA	152	9913	10351	"U27200|HIV2U27200"	40	1	TRUE	"U27200|HIV2U27200"	1	152	152	"*"	152	10351
