"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"17"	"AB253712|AB253712"	10104	10138	"+"	17	26.0715	16	2.92039	6428	6463	10104	1	1	27	27	1	36	10340	10036	"U04005|SIU04005"	16	25	TRUE	"U04005|SIU04005"	6428	6463	36	"*"	16	10036
"4"	"AB253712|AB253712"	9688	10062	"+"	4	158.632	109	3.47406e-40	9164	9532	9688	1	1	255	255	12	378	10340	10036	"U04005|SIU04005"	109	24	TRUE	"U04005|SIU04005"	9164	9532	369	"*"	109	10036
"11"	"AB253712|AB253712"	8781	9139	"+"	11	63.1314	42	2.01266e-11	8377	8735	8781	1	1	208	208	6	362	10340	10036	"U04005|SIU04005"	42	22	TRUE	"U04005|SIU04005"	8377	8735	359	"*"	42	10036
"5"	"AB253712|AB253712"	8345	8683	"+"	5	145.804	100	2.53821e-36	7956	8294	8345	1	1	227	227	6	342	10340	10036	"U04005|SIU04005"	100	21	TRUE	"U04005|SIU04005"	7956	8294	339	"*"	100	10036
"12"	"AB253712|AB253712"	7523	7663	"+"	12	53.1537	35	2.03628e-08	7095	7235	7523	1	1	93	93	4	143	10340	10036	"U04005|SIU04005"	35	20	TRUE	"U04005|SIU04005"	7095	7235	141	"*"	35	10036
"14"	"AB253712|AB253712"	7148	7280	"+"	14	33.1984	21	0.0208434	6675	6813	7148	1	1	85	85	6	139	10340	10036	"U04005|SIU04005"	21	19	TRUE	"U04005|SIU04005"	6675	6813	139	"*"	21	10036
"15"	"AB253712|AB253712"	6675	6731	"+"	15	30.3476	19	0.150507	6426	6482	6675	1	1	38	38	NA	57	10340	10036	"U04005|SIU04005"	19	18	TRUE	"U04005|SIU04005"	6426	6482	57	"*"	19	10036
"24"	"AB253712|AB253712"	6636	6650	"-"	24	24.6461	15	7.84757	3277	3291	6636	1	-1	15	15	NA	15	10340	10036	"U04005|SIU04005"	15	17	TRUE	"U04005|SIU04005"	3277	3291	15	"*"	15	10036
"2"	"AB253712|AB253712"	5322	5855	"+"	2	366.738	255	7.28706e-103	5041	5574	5322	1	1	399	399	4	536	10340	10036	"U04005|SIU04005"	255	16	TRUE	"U04005|SIU04005"	5041	5574	534	"*"	255	10036
"1"	"AB253712|AB253712"	2264	5151	"+"	1	1544.1	1081	0	2649	5536	2264	1	1	2018	2018	28	2902	10340	10036	"U04005|SIU04005"	1081	12	TRUE	"U04005|SIU04005"	2649	5536	2888	"*"	1081	10036
"6"	"AB253712|AB253712"	1970	2179	"+"	6	103.042	70	1.92074e-23	2262	2465	1970	1	1	149	149	10	212	10340	10036	"U04005|SIU04005"	70	7	TRUE	"U04005|SIU04005"	2262	2465	204	"*"	70	10036
"3"	"AB253712|AB253712"	1229	1910	"+"	3	333.954	232	5.45266e-93	1476	2160	1229	1	1	464	464	5	686	10340	10036	"U04005|SIU04005"	232	6	TRUE	"U04005|SIU04005"	1476	2160	685	"*"	232	10036
"7"	"AB253712|AB253712"	805	1157	"+"	7	95.9152	65	2.69125e-21	1013	1369	805	1	1	231	231	18	364	10340	10036	"U04005|SIU04005"	65	5	TRUE	"U04005|SIU04005"	1013	1369	357	"*"	65	10036
"13"	"AB253712|AB253712"	617	656	"+"	13	51.7284	34	5.47184e-08	751	790	617	1	1	37	37	NA	40	10340	10036	"U04005|SIU04005"	34	3	TRUE	"U04005|SIU04005"	751	790	40	"*"	34	10036
"9"	"AB253712|AB253712"	12	269	"+"	9	78.8106	53	3.81516e-16	9	263	12	1	1	173	173	15	264	10340	10036	"U04005|SIU04005"	53	1	TRUE	"U04005|SIU04005"	9	263	255	"*"	53	10036
